n,app,level_precision
1,RUPEE Fast,1
2,RUPEE Fast,0.983870967741935
3,RUPEE Fast,0.983870967741935
4,RUPEE Fast,0.983870967741935
5,RUPEE Fast,0.987096774193548
6,RUPEE Fast,0.989247311827957
7,RUPEE Fast,0.986175115207373
8,RUPEE Fast,0.987903225806452
9,RUPEE Fast,0.987455197132617
10,RUPEE Fast,0.987096774193548
11,RUPEE Fast,0.986803519061584
12,RUPEE Fast,0.985215053763441
13,RUPEE Fast,0.986352357320099
14,RUPEE Fast,0.986175115207373
15,RUPEE Fast,0.986021505376344
16,RUPEE Fast,0.984879032258065
17,RUPEE Fast,0.984819734345351
18,RUPEE Fast,0.983870967741935
19,RUPEE Fast,0.982173174872666
20,RUPEE Fast,0.981451612903226
21,RUPEE Fast,0.978494623655914
22,RUPEE Fast,0.975806451612903
23,RUPEE Fast,0.973352033660589
24,RUPEE Fast,0.97244623655914
25,RUPEE Fast,0.970967741935484
26,RUPEE Fast,0.969602977667494
27,RUPEE Fast,0.968339307048985
28,RUPEE Fast,0.967165898617512
29,RUPEE Fast,0.96440489432703
30,RUPEE Fast,0.962365591397849
31,RUPEE Fast,0.960978147762747
32,RUPEE Fast,0.958165322580645
33,RUPEE Fast,0.956011730205279
34,RUPEE Fast,0.953984819734345
35,RUPEE Fast,0.951612903225806
36,RUPEE Fast,0.948476702508961
37,RUPEE Fast,0.945945945945946
38,RUPEE Fast,0.943123938879457
39,RUPEE Fast,0.940860215053763
40,RUPEE Fast,0.939112903225806
41,RUPEE Fast,0.93705743509048
42,RUPEE Fast,0.934715821812596
43,RUPEE Fast,0.932858214553638
44,RUPEE Fast,0.93108504398827
45,RUPEE Fast,0.929390681003584
46,RUPEE Fast,0.927769985974755
47,RUPEE Fast,0.925531914893617
48,RUPEE Fast,0.92372311827957
49,RUPEE Fast,0.921988150098749
50,RUPEE Fast,0.920322580645161
1,RUPEE RMSD,1
2,RUPEE RMSD,0.991935483870968
3,RUPEE RMSD,0.989247311827957
4,RUPEE RMSD,0.983870967741935
5,RUPEE RMSD,0.974193548387097
6,RUPEE RMSD,0.973118279569892
7,RUPEE RMSD,0.972350230414747
8,RUPEE RMSD,0.971774193548387
9,RUPEE RMSD,0.96594982078853
10,RUPEE RMSD,0.961290322580645
11,RUPEE RMSD,0.958944281524927
12,RUPEE RMSD,0.956989247311828
13,RUPEE RMSD,0.950372208436725
14,RUPEE RMSD,0.945852534562212
15,RUPEE RMSD,0.940860215053763
16,RUPEE RMSD,0.936491935483871
17,RUPEE RMSD,0.935483870967742
18,RUPEE RMSD,0.932795698924731
19,RUPEE RMSD,0.932088285229202
20,RUPEE RMSD,0.929032258064516
21,RUPEE RMSD,0.926267281105991
22,RUPEE RMSD,0.92375366568915
23,RUPEE RMSD,0.918653576437588
24,RUPEE RMSD,0.916666666666667
25,RUPEE RMSD,0.916129032258065
26,RUPEE RMSD,0.915632754342432
27,RUPEE RMSD,0.914575866188769
28,RUPEE RMSD,0.911866359447005
29,RUPEE RMSD,0.909343715239155
30,RUPEE RMSD,0.906989247311828
31,RUPEE RMSD,0.904786680541103
32,RUPEE RMSD,0.903225806451613
33,RUPEE RMSD,0.900782013685239
34,RUPEE RMSD,0.897058823529412
35,RUPEE RMSD,0.894470046082949
36,RUPEE RMSD,0.892921146953405
37,RUPEE RMSD,0.890584132519616
38,RUPEE RMSD,0.889219015280136
39,RUPEE RMSD,0.887510339123242
40,RUPEE RMSD,0.885483870967742
41,RUPEE RMSD,0.883556254917388
42,RUPEE RMSD,0.881720430107527
43,RUPEE RMSD,0.879594898724681
44,RUPEE RMSD,0.878299120234604
45,RUPEE RMSD,0.877060931899642
46,RUPEE RMSD,0.875525946704067
47,RUPEE RMSD,0.87302676733013
48,RUPEE RMSD,0.871975806451613
49,RUPEE RMSD,0.87063857801185
50,RUPEE RMSD,0.868709677419355
1,RUPEE TM-Score,1
2,RUPEE TM-Score,0.991935483870968
3,RUPEE TM-Score,0.989247311827957
4,RUPEE TM-Score,0.983870967741935
5,RUPEE TM-Score,0.987096774193548
6,RUPEE TM-Score,0.989247311827957
7,RUPEE TM-Score,0.990783410138249
8,RUPEE TM-Score,0.991935483870968
9,RUPEE TM-Score,0.992831541218638
10,RUPEE TM-Score,0.990322580645161
11,RUPEE TM-Score,0.991202346041056
12,RUPEE TM-Score,0.990591397849462
13,RUPEE TM-Score,0.990074441687345
14,RUPEE TM-Score,0.990783410138249
15,RUPEE TM-Score,0.991397849462366
16,RUPEE TM-Score,0.990927419354839
17,RUPEE TM-Score,0.989563567362429
18,RUPEE TM-Score,0.988351254480287
19,RUPEE TM-Score,0.98811544991511
20,RUPEE TM-Score,0.987096774193548
21,RUPEE TM-Score,0.986943164362519
22,RUPEE TM-Score,0.986070381231672
23,RUPEE TM-Score,0.985974754558205
24,RUPEE TM-Score,0.985215053763441
25,RUPEE TM-Score,0.985161290322581
26,RUPEE TM-Score,0.983870967741935
27,RUPEE TM-Score,0.982676224611708
28,RUPEE TM-Score,0.981566820276498
29,RUPEE TM-Score,0.979421579532814
30,RUPEE TM-Score,0.977956989247312
31,RUPEE TM-Score,0.976066597294485
32,RUPEE TM-Score,0.972782258064516
33,RUPEE TM-Score,0.970185728250244
34,RUPEE TM-Score,0.968216318785579
35,RUPEE TM-Score,0.966359447004608
36,RUPEE TM-Score,0.96415770609319
37,RUPEE TM-Score,0.96207497820401
38,RUPEE TM-Score,0.960526315789474
39,RUPEE TM-Score,0.959057071960298
40,RUPEE TM-Score,0.957258064516129
41,RUPEE TM-Score,0.955546813532651
42,RUPEE TM-Score,0.953917050691244
43,RUPEE TM-Score,0.952363090772693
44,RUPEE TM-Score,0.950879765395894
45,RUPEE TM-Score,0.949462365591398
46,RUPEE TM-Score,0.948106591865358
47,RUPEE TM-Score,0.946808510638298
48,RUPEE TM-Score,0.945564516129032
49,RUPEE TM-Score,0.944042132982225
50,RUPEE TM-Score,0.942903225806452
1,SSM,0.983870967741935
2,SSM,0.975806451612903
3,SSM,0.978494623655914
4,SSM,0.979838709677419
5,SSM,0.97741935483871
6,SSM,0.973118279569892
7,SSM,0.970046082949309
8,SSM,0.969758064516129
9,SSM,0.967741935483871
10,SSM,0.966129032258065
11,SSM,0.964809384164223
12,SSM,0.963709677419355
13,SSM,0.964019851116625
14,SSM,0.961981566820276
15,SSM,0.958064516129032
16,SSM,0.956653225806452
17,SSM,0.953510436432638
18,SSM,0.950716845878136
19,SSM,0.948217317487267
20,SSM,0.945967741935484
21,SSM,0.943164362519201
22,SSM,0.941348973607038
23,SSM,0.939691444600281
24,SSM,0.939516129032258
25,SSM,0.936129032258065
26,SSM,0.93424317617866
27,SSM,0.933094384707288
28,SSM,0.930875576036866
29,SSM,0.92825361512792
30,SSM,0.926344086021505
31,SSM,0.924037460978148
32,SSM,0.920362903225806
33,SSM,0.915933528836755
34,SSM,0.912713472485769
35,SSM,0.909216589861751
36,SSM,0.905913978494624
37,SSM,0.903225806451613
38,SSM,0.900679117147708
39,SSM,0.897849462365591
40,SSM,0.895967741935484
41,SSM,0.893784421715185
42,SSM,0.891321044546851
43,SSM,0.889347336834209
44,SSM,0.887463343108504
45,SSM,0.885304659498208
46,SSM,0.883239831697055
47,SSM,0.881262868908717
48,SSM,0.879032258064516
49,SSM,0.876892692560895
50,SSM,0.874838709677419
