n,app,alg,score_type,avg_cume_score
1,WBOTH,CE-CP,RMSD,0.00000000000000000000
2,WBOTH,CE-CP,RMSD,1.28664893617021276596
3,WBOTH,CE-CP,RMSD,1.86865248226950354681
4,WBOTH,CE-CP,RMSD,2.22313829787234042553
5,WBOTH,CE-CP,RMSD,2.46225531914893617021
6,WBOTH,CE-CP,RMSD,2.64464539007092199220
7,WBOTH,CE-CP,RMSD,2.79626139817629179377
8,WBOTH,CE-CP,RMSD,2.91688829787234042553
9,WBOTH,CE-CP,RMSD,3.02419621749408983416
10,WBOTH,CE-CP,RMSD,3.1166170212765957
11,WBOTH,CE-CP,RMSD,3.1845841392649903
12,WBOTH,CE-CP,RMSD,3.2686790780141844
13,WBOTH,CE-CP,RMSD,3.3295335515548282
14,WBOTH,CE-CP,RMSD,3.3853039513677812
15,WBOTH,CE-CP,RMSD,3.4340141843971631
16,WBOTH,CE-CP,RMSD,3.4859042553191489
17,WBOTH,CE-CP,RMSD,3.5327659574468085
18,WBOTH,CE-CP,RMSD,3.5698049645390071
19,WBOTH,CE-CP,RMSD,3.6073964165733483
20,WBOTH,CE-CP,RMSD,3.6295265957446809
21,WBOTH,CE-CP,RMSD,3.6523302938196555
22,WBOTH,CE-CP,RMSD,3.6792843326885880
23,WBOTH,CE-CP,RMSD,3.7074051803885291
24,WBOTH,CE-CP,RMSD,3.7368040780141844
25,WBOTH,CE-CP,RMSD,3.7604510638297872
26,WBOTH,CE-CP,RMSD,3.7924549918166939
27,WBOTH,CE-CP,RMSD,3.8206343577620173
28,WBOTH,CE-CP,RMSD,3.8425835866261398
29,WBOTH,CE-CP,RMSD,3.8658400586940572
30,WBOTH,CE-CP,RMSD,3.8847340425531915
31,WBOTH,CE-CP,RMSD,3.9040528483184626
32,WBOTH,CE-CP,RMSD,3.9213896276595745
33,WBOTH,CE-CP,RMSD,3.9361637653127015
34,WBOTH,CE-CP,RMSD,3.9576501877346683
35,WBOTH,CE-CP,RMSD,3.9722826747720365
36,WBOTH,CE-CP,RMSD,3.9894799054373522
37,WBOTH,CE-CP,RMSD,4.0046923519263945
38,WBOTH,CE-CP,RMSD,4.0197508398656215
39,WBOTH,CE-CP,RMSD,4.0334942716857610
40,WBOTH,CE-CP,RMSD,4.0511994680851064
41,WBOTH,CE-CP,RMSD,4.0618629994810586
42,WBOTH,CE-CP,RMSD,4.0810081053698075
43,WBOTH,CE-CP,RMSD,4.0943814943097477
