n,app,level_precision
1,RUPEE,1
2,RUPEE,0.983870967741935
3,RUPEE,0.989247311827957
4,RUPEE,0.987903225806452
5,RUPEE,0.987096774193548
6,RUPEE,0.986559139784946
7,RUPEE,0.986175115207373
8,RUPEE,0.985887096774194
9,RUPEE,0.987455197132617
10,RUPEE,0.988709677419355
11,RUPEE,0.989736070381232
12,RUPEE,0.987903225806452
13,RUPEE,0.983870967741935
14,RUPEE,0.982718894009217
15,RUPEE,0.982795698924731
16,RUPEE,0.980846774193548
17,RUPEE,0.981024667931689
18,RUPEE,0.982078853046595
19,RUPEE,0.982173174872666
20,RUPEE,0.981451612903226
21,RUPEE,0.981566820276498
22,RUPEE,0.980938416422287
23,RUPEE,0.979663394109397
24,RUPEE,0.977822580645161
25,RUPEE,0.976129032258064
26,RUPEE,0.974565756823821
27,RUPEE,0.973118279569892
28,RUPEE,0.971774193548387
29,RUPEE,0.969966629588432
30,RUPEE,0.967741935483871
31,RUPEE,0.966181061394381
32,RUPEE,0.964717741935484
33,RUPEE,0.962854349951124
34,RUPEE,0.960626185958254
35,RUPEE,0.958986175115207
36,RUPEE,0.956989247311828
37,RUPEE,0.954664341761116
38,RUPEE,0.952037351443124
39,RUPEE,0.949545078577337
40,RUPEE,0.947177419354839
41,RUPEE,0.945712037765539
42,RUPEE,0.943548387096774
43,RUPEE,0.941485371342836
44,RUPEE,0.939516129032258
45,RUPEE,0.937634408602151
46,RUPEE,0.935483870967742
47,RUPEE,0.933768016472203
48,RUPEE,0.931451612903226
49,RUPEE,0.929229756418697
50,RUPEE,0.92741935483871
1,RUPEE Fast,1
2,RUPEE Fast,0.983870967741935
3,RUPEE Fast,0.983870967741935
4,RUPEE Fast,0.983870967741935
5,RUPEE Fast,0.987096774193548
6,RUPEE Fast,0.986559139784946
7,RUPEE Fast,0.986175115207373
8,RUPEE Fast,0.987903225806452
9,RUPEE Fast,0.989247311827957
10,RUPEE Fast,0.988709677419355
11,RUPEE Fast,0.988269794721408
12,RUPEE Fast,0.986559139784946
13,RUPEE Fast,0.986352357320099
14,RUPEE Fast,0.985023041474654
15,RUPEE Fast,0.981720430107527
16,RUPEE Fast,0.97883064516129
17,RUPEE Fast,0.976280834914611
18,RUPEE Fast,0.973118279569892
19,RUPEE Fast,0.971137521222411
20,RUPEE Fast,0.968548387096774
21,RUPEE Fast,0.966205837173579
22,RUPEE Fast,0.963343108504399
23,RUPEE Fast,0.961430575035063
24,RUPEE Fast,0.958333333333333
25,RUPEE Fast,0.956129032258065
26,RUPEE Fast,0.95409429280397
27,RUPEE Fast,0.95221027479092
28,RUPEE Fast,0.949884792626728
29,RUPEE Fast,0.946607341490545
30,RUPEE Fast,0.944086021505376
31,RUPEE Fast,0.940686784599376
32,RUPEE Fast,0.938508064516129
33,RUPEE Fast,0.935972629521017
34,RUPEE Fast,0.933586337760911
35,RUPEE Fast,0.930414746543779
36,RUPEE Fast,0.92741935483871
37,RUPEE Fast,0.924149956408021
38,RUPEE Fast,0.921477079796265
39,RUPEE Fast,0.918941273779983
40,RUPEE Fast,0.915725806451613
41,RUPEE Fast,0.913060582218725
42,RUPEE Fast,0.910906298003072
43,RUPEE Fast,0.908852213053263
44,RUPEE Fast,0.906891495601173
45,RUPEE Fast,0.904301075268817
46,RUPEE Fast,0.902524544179523
47,RUPEE Fast,0.900823610157859
48,RUPEE Fast,0.899529569892473
49,RUPEE Fast,0.897630019749835
50,RUPEE Fast,0.895483870967742
1,SSM,0.983870967741935
2,SSM,0.975806451612903
3,SSM,0.978494623655914
4,SSM,0.979838709677419
5,SSM,0.97741935483871
6,SSM,0.973118279569892
7,SSM,0.970046082949309
8,SSM,0.969758064516129
9,SSM,0.967741935483871
10,SSM,0.966129032258065
11,SSM,0.964809384164223
12,SSM,0.963709677419355
13,SSM,0.964019851116625
14,SSM,0.961981566820276
15,SSM,0.958064516129032
16,SSM,0.956653225806452
17,SSM,0.953510436432638
18,SSM,0.950716845878136
19,SSM,0.948217317487267
20,SSM,0.945967741935484
21,SSM,0.943164362519201
22,SSM,0.941348973607038
23,SSM,0.939691444600281
24,SSM,0.939516129032258
25,SSM,0.936129032258065
26,SSM,0.93424317617866
27,SSM,0.933094384707288
28,SSM,0.930875576036866
29,SSM,0.92825361512792
30,SSM,0.926344086021505
31,SSM,0.924037460978148
32,SSM,0.920362903225806
33,SSM,0.915933528836755
34,SSM,0.912713472485769
35,SSM,0.909216589861751
36,SSM,0.905913978494624
37,SSM,0.903225806451613
38,SSM,0.900679117147708
39,SSM,0.897849462365591
40,SSM,0.895967741935484
41,SSM,0.893784421715185
42,SSM,0.891321044546851
43,SSM,0.889347336834209
44,SSM,0.887463343108504
45,SSM,0.885304659498208
46,SSM,0.883239831697055
47,SSM,0.881262868908717
48,SSM,0.879032258064516
49,SSM,0.876892692560895
50,SSM,0.874838709677419
