benchmark,app,db_id,timing,n,gram_count
scop_d62,mTM,d1ogbb1,56.2350000000000000,1,49
scop_d62,mTM,d4otaa_,147.2600000000000000,2,56
scop_d62,mTM,d1cklf1,61.3160000000000000,3,58
scop_d62,mTM,d1f9qa_,67.6040000000000000,4,60
scop_d62,mTM,d1brwa1,201.2190000000000000,5,66
scop_d62,mTM,d2nvqi2,56.5260000000000000,6,67
scop_d62,mTM,d1hc7c3,62.2140000000000000,7,70
scop_d62,mTM,d1d8la1,83.0970000000000000,8,72
scop_d62,mTM,d1v54u_,45.5560000000000000,9,75
scop_d62,mTM,d1v1tb1,86.9070000000000000,10,78
scop_d62,mTM,d2f4vp1,114.4230000000000000,11,79
scop_d62,mTM,d1tzyd_,83.6050000000000000,12,79
scop_d62,mTM,d1i6hf_,72.8070000000000000,13,80
scop_d62,mTM,d1kkmj_,78.3770000000000000,14,83
scop_d62,mTM,d1gqme_,106.0110000000000000,15,83
scop_d62,mTM,d1gg3b2,72.0700000000000000,16,88
scop_d62,mTM,d1pf9i3,137.1800000000000000,17,91
scop_d62,mTM,d1jrqb2,71.0650000000000000,18,91
scop_d62,mTM,d1fyfa1,111.2510000000000000,19,106
scop_d62,mTM,d1isba2,61.6030000000000000,20,106
scop_d62,mTM,d2c64a2,84.5730000000000000,21,108
scop_d62,mTM,d1srgb_,183.2660000000000000,22,110
scop_d62,mTM,d1bzqd_,111.6530000000000000,23,120
scop_d62,mTM,d1zdja_,83.9030000000000000,24,125
scop_d62,mTM,d2iw6b1,67.2590000000000000,25,130
scop_d62,mTM,d1zr4e2,45.4880000000000000,26,136
scop_d62,mTM,d1rhgc_,44.8600000000000000,27,137
scop_d62,mTM,d2igad1,62.3220000000000000,28,140
scop_d62,mTM,d1di0c_,166.8460000000000000,29,142
scop_d62,mTM,d1j6va_,94.6930000000000000,30,148
scop_d62,mTM,d1kpsc_,62.4230000000000000,31,152
scop_d62,mTM,d220la_,65.9080000000000000,32,159
scop_d62,mTM,d2rmaq_,62.1200000000000000,33,161
scop_d62,mTM,d1zqqa4,86.6360000000000000,34,183
scop_d62,mTM,d1ia2a_,108.4590000000000000,35,188
scop_d62,mTM,d1ao6b1,413.7360000000000000,36,188
scop_d62,mTM,d1b0ea_,220.9940000000000000,37,238
scop_d62,mTM,d1ndqa_,103.6330000000000000,38,268
scop_d62,mTM,d1bspa_,193.5260000000000000,39,271
scop_d62,mTM,d2puga2,111.4180000000000000,40,278
scop_d62,mTM,d1px3b4,139.0130000000000000,41,285
scop_d62,mTM,d7ccpa_,100.5680000000000000,42,288
scop_d62,mTM,d1e9ha_,304.9660000000000000,43,292
scop_d62,mTM,d5rlaa_,122.2860000000000000,44,310
scop_d62,mTM,d1dm5c_,84.4760000000000000,45,311
scop_d62,mTM,d1qrqa_,270.4460000000000000,46,321
scop_d62,mTM,d1g3it_,122.4570000000000000,47,321
scop_d62,mTM,d1tyzd_,122.1630000000000000,48,323
scop_d62,mTM,d1iwao1,351.6840000000000000,49,324
scop_d62,mTM,d1o1cv_,124.7990000000000000,50,368
scop_d62,mTM,d1xyla_,187.7890000000000000,51,382
scop_d62,mTM,d1s5ma_,183.2860000000000000,52,383
scop_d62,mTM,d3ximd_,172.8470000000000000,53,388
scop_d62,mTM,d1roma_,237.7710000000000000,54,396
scop_d62,mTM,d1jxja2,182.3100000000000000,55,399
scop_d62,mTM,d1egya_,395.7080000000000000,56,400
scop_d62,mTM,d1qj3b_,285.2280000000000000,57,405
scop_d62,mTM,d1c1ba2,143.8510000000000000,58,415
scop_d62,mTM,d1szsa1,274.7640000000000000,59,421
scop_d62,mTM,d1hnvb_,140.5530000000000000,60,423
scop_d62,mTM,d2oqef1,122.4540000000000000,61,432
scop_d62,mTM,d1nzwb_,291.8670000000000000,62,490
scop_d62,RUPEE,d1ogbb1,10.1550000000000000,1,49
scop_d62,RUPEE,d4otaa_,17.4050000000000000,2,56
scop_d62,RUPEE,d1cklf1,14.6330000000000000,3,58
scop_d62,RUPEE,d1f9qa_,13.4390000000000000,4,60
scop_d62,RUPEE,d1brwa1,21.6240000000000000,5,66
scop_d62,RUPEE,d2nvqi2,18.4320000000000000,6,67
scop_d62,RUPEE,d1hc7c3,20.7420000000000000,7,70
scop_d62,RUPEE,d1d8la1,23.9810000000000000,8,72
scop_d62,RUPEE,d1v54u_,21.7830000000000000,9,75
scop_d62,RUPEE,d1v1tb1,18.7420000000000000,10,78
scop_d62,RUPEE,d1tzyd_,26.7260000000000000,11,79
scop_d62,RUPEE,d2f4vp1,20.0480000000000000,12,79
scop_d62,RUPEE,d1i6hf_,21.9430000000000000,13,80
scop_d62,RUPEE,d1kkmj_,18.8630000000000000,14,83
scop_d62,RUPEE,d1gqme_,29.4970000000000000,15,83
scop_d62,RUPEE,d1gg3b2,23.7260000000000000,16,88
scop_d62,RUPEE,d1pf9i3,24.6430000000000000,17,91
scop_d62,RUPEE,d1jrqb2,29.4420000000000000,18,91
scop_d62,RUPEE,d1isba2,34.0690000000000000,19,106
scop_d62,RUPEE,d1fyfa1,35.8790000000000000,20,106
scop_d62,RUPEE,d2c64a2,32.1710000000000000,21,108
scop_d62,RUPEE,d1srgb_,31.8450000000000000,22,110
scop_d62,RUPEE,d1bzqd_,35.6990000000000000,23,120
scop_d62,RUPEE,d1zdja_,34.8970000000000000,24,125
scop_d62,RUPEE,d2iw6b1,88.2420000000000000,25,130
scop_d62,RUPEE,d1zr4e2,65.6590000000000000,26,136
scop_d62,RUPEE,d1rhgc_,66.0810000000000000,27,137
scop_d62,RUPEE,d2igad1,47.3620000000000000,28,140
scop_d62,RUPEE,d1di0c_,43.9870000000000000,29,142
scop_d62,RUPEE,d1j6va_,61.5330000000000000,30,148
scop_d62,RUPEE,d1kpsc_,63.3960000000000000,31,152
scop_d62,RUPEE,d220la_,76.8240000000000000,32,159
scop_d62,RUPEE,d2rmaq_,54.8360000000000000,33,161
scop_d62,RUPEE,d1zqqa4,77.6120000000000000,34,183
scop_d62,RUPEE,d1ao6b1,142.5770000000000000,35,188
scop_d62,RUPEE,d1ia2a_,75.7130000000000000,36,188
scop_d62,RUPEE,d1b0ea_,78.6870000000000000,37,238
scop_d62,RUPEE,d1ndqa_,241.5910000000000000,38,268
scop_d62,RUPEE,d1bspa_,186.9130000000000000,39,271
scop_d62,RUPEE,d2puga2,301.7250000000000000,40,278
scop_d62,RUPEE,d1px3b4,191.1000000000000000,41,285
scop_d62,RUPEE,d7ccpa_,363.6110000000000000,42,288
scop_d62,RUPEE,d1e9ha_,170.1720000000000000,43,292
scop_d62,RUPEE,d5rlaa_,313.6480000000000000,44,310
scop_d62,RUPEE,d1dm5c_,1116.8060000000000000,45,311
scop_d62,RUPEE,d1qrqa_,436.2790000000000000,46,321
scop_d62,RUPEE,d1g3it_,407.2540000000000000,47,321
scop_d62,RUPEE,d1tyzd_,423.7990000000000000,48,323
scop_d62,RUPEE,d1iwao1,396.5360000000000000,49,324
scop_d62,RUPEE,d1o1cv_,447.4490000000000000,50,368
scop_d62,RUPEE,d1xyla_,550.6850000000000000,51,382
scop_d62,RUPEE,d1s5ma_,546.3840000000000000,52,383
scop_d62,RUPEE,d3ximd_,576.6140000000000000,53,388
scop_d62,RUPEE,d1roma_,711.1120000000000000,54,396
scop_d62,RUPEE,d1jxja2,638.5410000000000000,55,399
scop_d62,RUPEE,d1egya_,793.0680000000000000,56,400
scop_d62,RUPEE,d1qj3b_,618.4880000000000000,57,405
scop_d62,RUPEE,d1c1ba2,584.2230000000000000,58,415
scop_d62,RUPEE,d1szsa1,706.9760000000000000,59,421
scop_d62,RUPEE,d1hnvb_,643.1450000000000000,60,423
scop_d62,RUPEE,d2oqef1,527.3400000000000000,61,432
scop_d62,RUPEE,d1nzwb_,662.3120000000000000,62,490
scop_d62,RUPEE Fast,d1ogbb1,3.5010000000000000,1,49
scop_d62,RUPEE Fast,d4otaa_,5.1660000000000000,2,56
scop_d62,RUPEE Fast,d1cklf1,5.2730000000000000,3,58
scop_d62,RUPEE Fast,d1f9qa_,6.1620000000000000,4,60
scop_d62,RUPEE Fast,d1brwa1,5.1530000000000000,5,66
scop_d62,RUPEE Fast,d2nvqi2,5.8860000000000000,6,67
scop_d62,RUPEE Fast,d1hc7c3,7.4540000000000000,7,70
scop_d62,RUPEE Fast,d1d8la1,6.0640000000000000,8,72
scop_d62,RUPEE Fast,d1v54u_,7.5790000000000000,9,75
scop_d62,RUPEE Fast,d1v1tb1,6.3100000000000000,10,78
scop_d62,RUPEE Fast,d2f4vp1,6.8150000000000000,11,79
scop_d62,RUPEE Fast,d1tzyd_,5.3400000000000000,12,79
scop_d62,RUPEE Fast,d1i6hf_,6.2590000000000000,13,80
scop_d62,RUPEE Fast,d1gqme_,6.0080000000000000,14,83
scop_d62,RUPEE Fast,d1kkmj_,4.7960000000000000,15,83
scop_d62,RUPEE Fast,d1gg3b2,6.5960000000000000,16,88
scop_d62,RUPEE Fast,d1pf9i3,6.6870000000000000,17,91
scop_d62,RUPEE Fast,d1jrqb2,5.9740000000000000,18,91
scop_d62,RUPEE Fast,d1fyfa1,6.2950000000000000,19,106
scop_d62,RUPEE Fast,d1isba2,6.4890000000000000,20,106
scop_d62,RUPEE Fast,d2c64a2,6.6700000000000000,21,108
scop_d62,RUPEE Fast,d1srgb_,6.1620000000000000,22,110
scop_d62,RUPEE Fast,d1bzqd_,6.5900000000000000,23,120
scop_d62,RUPEE Fast,d1zdja_,6.1170000000000000,24,125
scop_d62,RUPEE Fast,d2iw6b1,8.3590000000000000,25,130
scop_d62,RUPEE Fast,d1zr4e2,5.9770000000000000,26,136
scop_d62,RUPEE Fast,d1rhgc_,6.8800000000000000,27,137
scop_d62,RUPEE Fast,d2igad1,8.0220000000000000,28,140
scop_d62,RUPEE Fast,d1di0c_,5.7270000000000000,29,142
scop_d62,RUPEE Fast,d1j6va_,7.6250000000000000,30,148
scop_d62,RUPEE Fast,d1kpsc_,10.8570000000000000,31,152
scop_d62,RUPEE Fast,d220la_,11.7590000000000000,32,159
scop_d62,RUPEE Fast,d2rmaq_,7.0850000000000000,33,161
scop_d62,RUPEE Fast,d1zqqa4,9.5020000000000000,34,183
scop_d62,RUPEE Fast,d1ia2a_,7.5050000000000000,35,188
scop_d62,RUPEE Fast,d1ao6b1,7.6860000000000000,36,188
scop_d62,RUPEE Fast,d1b0ea_,6.5710000000000000,37,238
scop_d62,RUPEE Fast,d1ndqa_,10.8840000000000000,38,268
scop_d62,RUPEE Fast,d1bspa_,9.4130000000000000,39,271
scop_d62,RUPEE Fast,d2puga2,9.4430000000000000,40,278
scop_d62,RUPEE Fast,d1px3b4,8.5280000000000000,41,285
scop_d62,RUPEE Fast,d7ccpa_,16.4340000000000000,42,288
scop_d62,RUPEE Fast,d1e9ha_,14.1370000000000000,43,292
scop_d62,RUPEE Fast,d5rlaa_,16.1130000000000000,44,310
