n,app,alg,score_type,avg_cume_score
1,CATHEDRAL,FATCAT,RMSD,0.00000000000000000000
2,CATHEDRAL,FATCAT,RMSD,1.02371486387626701064
3,CATHEDRAL,FATCAT,RMSD,1.49437501470140563050
4,CATHEDRAL,FATCAT,RMSD,1.85960619461930703670
5,CATHEDRAL,FATCAT,RMSD,2.07843401412675303447
6,CATHEDRAL,FATCAT,RMSD,2.2312129505960428
7,CATHEDRAL,FATCAT,RMSD,2.3586577567347917
8,CATHEDRAL,FATCAT,RMSD,2.4384205565502089
9,CATHEDRAL,FATCAT,RMSD,2.5058628430355988
10,CATHEDRAL,FATCAT,RMSD,2.5529003848847475
11,CATHEDRAL,FATCAT,RMSD,2.5902125023989153
12,CATHEDRAL,FATCAT,RMSD,2.6252739683590829
13,CATHEDRAL,FATCAT,RMSD,2.6583678069791537
14,CATHEDRAL,FATCAT,RMSD,2.6832033542124812
15,CATHEDRAL,FATCAT,RMSD,2.7087581787509818
16,CATHEDRAL,FATCAT,RMSD,2.7244741346560224
17,CATHEDRAL,FATCAT,RMSD,2.7367539281413524
18,CATHEDRAL,FATCAT,RMSD,2.7535916793335929
19,CATHEDRAL,FATCAT,RMSD,2.7725683521760297
20,CATHEDRAL,FATCAT,RMSD,2.7886684603455799
21,CATHEDRAL,FATCAT,RMSD,2.7972582512897957
22,CATHEDRAL,FATCAT,RMSD,2.8095850334508038
23,CATHEDRAL,FATCAT,RMSD,2.8204734933167231
24,CATHEDRAL,FATCAT,RMSD,2.8294083581175148
25,CATHEDRAL,FATCAT,RMSD,2.8392429445312662
26,CATHEDRAL,FATCAT,RMSD,2.8475719112069908
27,CATHEDRAL,FATCAT,RMSD,2.8574278854447016
28,CATHEDRAL,FATCAT,RMSD,2.8641580973308551
29,CATHEDRAL,FATCAT,RMSD,2.8696845713410830
30,CATHEDRAL,FATCAT,RMSD,2.8743766200522849
31,CATHEDRAL,FATCAT,RMSD,2.8797539149537349
32,CATHEDRAL,FATCAT,RMSD,2.8875495681362251
33,CATHEDRAL,FATCAT,RMSD,2.8930019336428836
34,CATHEDRAL,FATCAT,RMSD,2.8997609094489183
35,CATHEDRAL,FATCAT,RMSD,2.9053949399180611
36,CATHEDRAL,FATCAT,RMSD,2.9109062704864801
37,CATHEDRAL,FATCAT,RMSD,2.9174023445905309
38,CATHEDRAL,FATCAT,RMSD,2.9208688864584894
39,CATHEDRAL,FATCAT,RMSD,2.9251082227885044
40,CATHEDRAL,FATCAT,RMSD,2.9293405124603657
41,CATHEDRAL,FATCAT,RMSD,2.9326324393599017
42,CATHEDRAL,FATCAT,RMSD,2.9346233106299023
43,CATHEDRAL,FATCAT,RMSD,2.9370650046083320
44,CATHEDRAL,FATCAT,RMSD,2.9397576068718755
45,CATHEDRAL,FATCAT,RMSD,2.9420090476162063
46,CATHEDRAL,FATCAT,RMSD,2.9428489720160186
47,CATHEDRAL,FATCAT,RMSD,2.9449795443310889
48,CATHEDRAL,FATCAT,RMSD,2.9476219096364579
49,CATHEDRAL,FATCAT,RMSD,2.9508864428790656
50,CATHEDRAL,FATCAT,RMSD,2.9519852825552203
1,RUPEE,FATCAT,RMSD,0.00000000000000000000
2,RUPEE,FATCAT,RMSD,0.91447506812292851809
3,RUPEE,FATCAT,RMSD,1.30535597379451438723
4,RUPEE,FATCAT,RMSD,1.53674775194798778298
5,RUPEE,FATCAT,RMSD,1.69566505561487865489
6,RUPEE,FATCAT,RMSD,1.80629339097236728777
7,RUPEE,FATCAT,RMSD,1.89527229788724487432
8,RUPEE,FATCAT,RMSD,1.96770286914691829508
