n,app,alg,avg_cume_score
1,mTM,TM_Q,0.57163881665420840650
2,mTM,TM_Q,0.56214347122577130035
3,mTM,TM_Q,0.55754490802060822997
4,mTM,TM_Q,0.55466931429218835835
5,mTM,TM_Q,0.55130322241204672021
6,mTM,TM_Q,0.54848279864809486946
7,mTM,TM_Q,0.54610096884806988105
8,mTM,TM_Q,0.54367298962682608740
9,mTM,TM_Q,0.54166693209919610881
10,mTM,TM_Q,0.53958231306194465001
11,mTM,TM_Q,0.52232883896070102680
12,mTM,TM_Q,0.50771317200613193036
13,mTM,TM_Q,0.49512100109968134119
14,mTM,TM_Q,0.48412112545940283317
15,mTM,TM_Q,0.47451524376907936562
16,mTM,TM_Q,0.46607589617905094610
17,mTM,TM_Q,0.45860066104704943085
18,mTM,TM_Q,0.45192814232817453101
19,mTM,TM_Q,0.44583073306996634423
20,mTM,TM_Q,0.44012309940648225314
21,mTM,TM_Q,0.43474141522416031948
22,mTM,TM_Q,0.42964456883366884247
23,mTM,TM_Q,0.42497373668591486395
24,mTM,TM_Q,0.42050646267233049987
25,mTM,TM_Q,0.41629416229706453519
26,mTM,TM_Q,0.41223376461052854084
27,mTM,TM_Q,0.40838875533503427578
28,mTM,TM_Q,0.40473781299158014356
29,mTM,TM_Q,0.40126136392758312268
30,mTM,TM_Q,0.39800627000293635977
31,mTM,TM_Q,0.39495349235849533831
32,mTM,TM_Q,0.39208207334134793006
33,mTM,TM_Q,0.38931276990695441317
34,mTM,TM_Q,0.38669862803042236092
35,mTM,TM_Q,0.38417054545587756698
36,mTM,TM_Q,0.38166061954190884211
37,mTM,TM_Q,0.37927918702016315935
38,mTM,TM_Q,0.37694859957384678982
39,mTM,TM_Q,0.37467773109623541835
40,mTM,TM_Q,0.37241333553724433760
41,mTM,TM_Q,0.37025095120712746355
42,mTM,TM_Q,0.36813818011461053917
43,mTM,TM_Q,0.36607213269318579714
44,mTM,TM_Q,0.36400334591488684697
45,mTM,TM_Q,0.36193170975132980832
46,mTM,TM_Q,0.35994718770189277375
47,mTM,TM_Q,0.35804442643327713834
48,mTM,TM_Q,0.35613335353413695261
49,mTM,TM_Q,0.35429706432629923050
50,mTM,TM_Q,0.35253195033183106335
51,mTM,TM_Q,0.35083295246204354263
52,mTM,TM_Q,0.34919699559188611403
53,mTM,TM_Q,0.34761975670163888409
54,mTM,TM_Q,0.34609821312502241680
55,mTM,TM_Q,0.34462946946414562131
56,mTM,TM_Q,0.34317464414364123285
