n,app,avg_cume_score
1,CATHEDRAL,2.70676849221341940040
2,CATHEDRAL,2.8234974167969886
3,CATHEDRAL,2.9061225200924139
4,CATHEDRAL,2.9729002736866743
5,CATHEDRAL,3.0282438405183354
6,CATHEDRAL,3.0754027210821426
7,CATHEDRAL,3.1170960757953111
8,CATHEDRAL,3.1548287621835675
9,CATHEDRAL,3.1890539558343885
10,CATHEDRAL,3.2200717438540609
11,CATHEDRAL,3.2493388412433522
12,CATHEDRAL,3.2763750492205150
13,CATHEDRAL,3.3019352248030085
14,CATHEDRAL,3.3260563278709913
15,CATHEDRAL,3.3489817959687513
16,CATHEDRAL,3.3710665830301683
17,CATHEDRAL,3.3923197904895927
18,CATHEDRAL,3.4127929084720572
19,CATHEDRAL,3.4325433418127071
20,CATHEDRAL,3.4515823048845130
21,CATHEDRAL,3.4700540812464470
22,CATHEDRAL,3.4880342716211766
23,CATHEDRAL,3.5054822382284904
24,CATHEDRAL,3.5225405870982309
25,CATHEDRAL,3.5391241791919814
26,CATHEDRAL,3.5554421834845026
27,CATHEDRAL,3.5714453588234759
28,CATHEDRAL,3.5871164784411261
29,CATHEDRAL,3.6025308705398945
30,CATHEDRAL,3.6176284136545768
31,CATHEDRAL,3.6324647458451134
32,CATHEDRAL,3.6470672914226769
33,CATHEDRAL,3.6615379971921140
34,CATHEDRAL,3.6757976805163427
35,CATHEDRAL,3.6898700454365476
36,CATHEDRAL,3.7037472243046023
37,CATHEDRAL,3.7174750491422353
38,CATHEDRAL,3.7310165438538538
39,CATHEDRAL,3.7444213570350000
40,CATHEDRAL,3.7576300955175205
41,CATHEDRAL,3.7707804881362526
42,CATHEDRAL,3.7838592715310852
43,CATHEDRAL,3.7968300893584361
44,CATHEDRAL,3.8097248189857387
45,CATHEDRAL,3.8225058528264160
46,CATHEDRAL,3.8351949265974004
47,CATHEDRAL,3.8477859723601417
48,CATHEDRAL,3.8602936927720296
49,CATHEDRAL,3.8727309302135816
50,CATHEDRAL,3.8850638272364389
51,CATHEDRAL,3.8973041632083865
52,CATHEDRAL,3.9095078527629004
53,CATHEDRAL,3.9216736640279704
54,CATHEDRAL,3.9338165124627093
55,CATHEDRAL,3.9458964811703677
56,CATHEDRAL,3.9579998580068253
57,CATHEDRAL,3.9700884793206784
58,CATHEDRAL,3.9822076834039150
59,CATHEDRAL,3.9943108994263378
60,CATHEDRAL,4.0064223325806108
61,CATHEDRAL,4.0185503590157987
62,CATHEDRAL,4.0307266004263708
63,CATHEDRAL,4.0429707538133143
64,CATHEDRAL,4.0552931173336153
65,CATHEDRAL,4.0677115593576442
66,CATHEDRAL,4.0801867766793938
67,CATHEDRAL,4.0927403624458427
68,CATHEDRAL,4.1052994501421114
69,CATHEDRAL,4.1179730421543568
70,CATHEDRAL,4.1307187327596615
71,CATHEDRAL,4.1435489184657548
72,CATHEDRAL,4.1565139683188169
73,CATHEDRAL,4.1695303185720730
74,CATHEDRAL,4.1826280640696199
75,CATHEDRAL,4.1959472155600666
76,CATHEDRAL,4.2094542352730097
77,CATHEDRAL,4.2230743700721254
78,CATHEDRAL,4.2368673715962734
79,CATHEDRAL,4.2508789025616096
80,CATHEDRAL,4.2650907269493596
81,CATHEDRAL,4.2795134132292400
82,CATHEDRAL,4.2942161353592627
83,CATHEDRAL,4.3091635936720484
84,CATHEDRAL,4.3243687227295023
85,CATHEDRAL,4.3398825790193576
86,CATHEDRAL,4.3557509667903722
87,CATHEDRAL,4.3720097356382921
88,CATHEDRAL,4.3886946503673954
89,CATHEDRAL,4.4059181334629812
90,CATHEDRAL,4.4235855803241974
91,CATHEDRAL,4.4418543521280903
92,CATHEDRAL,4.4607817752168458
93,CATHEDRAL,4.4804339187873599
94,CATHEDRAL,4.5010185305393808
95,CATHEDRAL,4.5225719863355052
96,CATHEDRAL,4.5452045733964335
97,CATHEDRAL,4.5694698788987729
98,CATHEDRAL,4.5957538385959464
99,CATHEDRAL,4.6249190708837206
100,CATHEDRAL,4.6605231684213388
1,RUPEE All-Aligned,0.62525876585877148045
2,RUPEE All-Aligned,0.72078974270218506895
3,RUPEE All-Aligned,0.79952649476382768304
4,RUPEE All-Aligned,0.86364290236616091161
5,RUPEE All-Aligned,0.92845779365942043798
6,RUPEE All-Aligned,0.99375869977826013516
7,RUPEE All-Aligned,1.05753420678873705070
8,RUPEE All-Aligned,1.12615677802742737515
