n,app,alg,avg_cume_score
1,CATHEDRAL,TM_AVG,0.41221562143101468148
2,CATHEDRAL,TM_AVG,0.40440029595365481872
3,CATHEDRAL,TM_AVG,0.39774661819312971351
4,CATHEDRAL,TM_AVG,0.38879819406059669237
5,CATHEDRAL,TM_AVG,0.38323310655518071674
6,CATHEDRAL,TM_AVG,0.38004857964574781280
7,CATHEDRAL,TM_AVG,0.37733610577155134381
8,CATHEDRAL,TM_AVG,0.37440548436185629680
9,CATHEDRAL,TM_AVG,0.37252160288822567163
10,CATHEDRAL,TM_AVG,0.37130803927926743287
11,CATHEDRAL,TM_AVG,0.37001199816787994423
12,CATHEDRAL,TM_AVG,0.36890327099056597681
13,CATHEDRAL,TM_AVG,0.36718122241191290934
14,CATHEDRAL,TM_AVG,0.36577254803691608179
15,CATHEDRAL,TM_AVG,0.36484711567298909698
16,CATHEDRAL,TM_AVG,0.36395663550159708976
17,CATHEDRAL,TM_AVG,0.36291276799335746330
18,CATHEDRAL,TM_AVG,0.36247509357330242084
19,CATHEDRAL,TM_AVG,0.36144790453718359831
20,CATHEDRAL,TM_AVG,0.36078752511540904390
21,CATHEDRAL,TM_AVG,0.36094852642842968913
22,CATHEDRAL,TM_AVG,0.36010511468579679924
23,CATHEDRAL,TM_AVG,0.35911442887015850215
24,CATHEDRAL,TM_AVG,0.35857438490335832122
25,CATHEDRAL,TM_AVG,0.35799870133871418755
26,CATHEDRAL,TM_AVG,0.35738788057377263017
27,CATHEDRAL,TM_AVG,0.35667274582101318058
28,CATHEDRAL,TM_AVG,0.35615237295208162675
29,CATHEDRAL,TM_AVG,0.35539634314395386954
30,CATHEDRAL,TM_AVG,0.35511236512646609179
31,CATHEDRAL,TM_AVG,0.35474885857647711450
32,CATHEDRAL,TM_AVG,0.35400940876899295079
33,CATHEDRAL,TM_AVG,0.35352534133587767311
34,CATHEDRAL,TM_AVG,0.35293040239073700383
35,CATHEDRAL,TM_AVG,0.35265787068483186265
36,CATHEDRAL,TM_AVG,0.35246374649220375348
37,CATHEDRAL,TM_AVG,0.35204654708777657140
38,CATHEDRAL,TM_AVG,0.35159236748575535951
39,CATHEDRAL,TM_AVG,0.35112932559427410995
40,CATHEDRAL,TM_AVG,0.35085890656167351194
41,CATHEDRAL,TM_AVG,0.35055218961678888444
42,CATHEDRAL,TM_AVG,0.35029661890050415968
43,CATHEDRAL,TM_AVG,0.35001881342744219574
44,CATHEDRAL,TM_AVG,0.34979295599450418118
45,CATHEDRAL,TM_AVG,0.34956227727345716431
46,CATHEDRAL,TM_AVG,0.34922773601316092000
47,CATHEDRAL,TM_AVG,0.34886427507701454522
48,CATHEDRAL,TM_AVG,0.34854251568153593854
49,CATHEDRAL,TM_AVG,0.34824398869318053906
50,CATHEDRAL,TM_AVG,0.34791906448093710225
51,CATHEDRAL,TM_AVG,0.34764907126560941357
52,CATHEDRAL,TM_AVG,0.34733473315152585207
53,CATHEDRAL,TM_AVG,0.34721516160234017221
54,CATHEDRAL,TM_AVG,0.34693635195754695293
55,CATHEDRAL,TM_AVG,0.34673401648510358974
56,CATHEDRAL,TM_AVG,0.34637769659548169636
57,CATHEDRAL,TM_AVG,0.34619786351583272479
58,CATHEDRAL,TM_AVG,0.34595728237023089667
59,CATHEDRAL,TM_AVG,0.34569855360426144210
60,CATHEDRAL,TM_AVG,0.34538796950044911959
61,CATHEDRAL,TM_AVG,0.34514429357377503610
62,CATHEDRAL,TM_AVG,0.34498307978304109687
63,CATHEDRAL,TM_AVG,0.34468145105541199398
64,CATHEDRAL,TM_AVG,0.34441365365624912020
65,CATHEDRAL,TM_AVG,0.34413442684331653121
66,CATHEDRAL,TM_AVG,0.34392645091679226075
67,CATHEDRAL,TM_AVG,0.34375524036344349832
68,CATHEDRAL,TM_AVG,0.34350873617189943532
69,CATHEDRAL,TM_AVG,0.34336317989021789027
70,CATHEDRAL,TM_AVG,0.34318658151931503913
71,CATHEDRAL,TM_AVG,0.34304690598884830695
72,CATHEDRAL,TM_AVG,0.34276857852198046511
73,CATHEDRAL,TM_AVG,0.34249928742026969670
74,CATHEDRAL,TM_AVG,0.34233327035128212127
75,CATHEDRAL,TM_AVG,0.34206137113466850231
76,CATHEDRAL,TM_AVG,0.34188827192864522332
77,CATHEDRAL,TM_AVG,0.34173885509772380474
78,CATHEDRAL,TM_AVG,0.34154983971308296545
79,CATHEDRAL,TM_AVG,0.34137167003840533573
80,CATHEDRAL,TM_AVG,0.34122199476376297718
81,CATHEDRAL,TM_AVG,0.34102559990661594454
82,CATHEDRAL,TM_AVG,0.34087208851040344770
83,CATHEDRAL,TM_AVG,0.34068761317113584077
84,CATHEDRAL,TM_AVG,0.34049789486904598363
