n,app,avg_cume_score
1,CATHEDRAL,1.05000750708279108480
2,CATHEDRAL,1.28197253760071886112
3,CATHEDRAL,1.46720583699714217694
4,CATHEDRAL,1.62712102955383536027
5,CATHEDRAL,1.76335916051595406593
6,CATHEDRAL,1.87940952919822535374
7,CATHEDRAL,1.98147319676945377395
8,CATHEDRAL,2.07106970134079332689
9,CATHEDRAL,2.14942265417475132171
10,CATHEDRAL,2.21860162181266624570
11,CATHEDRAL,2.28022100601650586304
12,CATHEDRAL,2.33588259295761660987
13,CATHEDRAL,2.38562311292518830067
14,CATHEDRAL,2.43102637838913376237
15,CATHEDRAL,2.472190539823739705
16,CATHEDRAL,2.509865959787426637
17,CATHEDRAL,2.544037431355856178
18,CATHEDRAL,2.575820637054003758
19,CATHEDRAL,2.605276832498869648
20,CATHEDRAL,2.632891936883613483
21,CATHEDRAL,2.658752929735451097
22,CATHEDRAL,2.683123094814166354
23,CATHEDRAL,2.706057011694054933
24,CATHEDRAL,2.727701622451188898
25,CATHEDRAL,2.748320832447399565
26,CATHEDRAL,2.768027776801400838
27,CATHEDRAL,2.786909141598636650
28,CATHEDRAL,2.805028519894217937
29,CATHEDRAL,2.822552169743325378
30,CATHEDRAL,2.839507418133842506
31,CATHEDRAL,2.855901508068453156
32,CATHEDRAL,2.871893962007921965
33,CATHEDRAL,2.887456133881662495
34,CATHEDRAL,2.902691114123132558
35,CATHEDRAL,2.917555097435003333
36,CATHEDRAL,2.932162975414604120
37,CATHEDRAL,2.946463604017953635
38,CATHEDRAL,2.960530758180406748
39,CATHEDRAL,2.974361265476274273
40,CATHEDRAL,2.988024528936902344
41,CATHEDRAL,3.001529496783012453
42,CATHEDRAL,3.014929401699640336
43,CATHEDRAL,3.028143522677288921
44,CATHEDRAL,3.041260742331380110
45,CATHEDRAL,3.054319333179905636
46,CATHEDRAL,3.067341092283410489
47,CATHEDRAL,3.080264608817425802
48,CATHEDRAL,3.093154320054858966
49,CATHEDRAL,3.106047849377947570
50,CATHEDRAL,3.119019966420549309
51,CATHEDRAL,3.132095158261749510
52,CATHEDRAL,3.145167463309704899
53,CATHEDRAL,3.158232454810280593
54,CATHEDRAL,3.171303143308406985
55,CATHEDRAL,3.184394648914661240
56,CATHEDRAL,3.197508240940144043
57,CATHEDRAL,3.210668814188946450
58,CATHEDRAL,3.223856665492497793
59,CATHEDRAL,3.237181687982165755
60,CATHEDRAL,3.250593285887420897
61,CATHEDRAL,3.264076915684904538
62,CATHEDRAL,3.277656438681328900
63,CATHEDRAL,3.291437926145443561
64,CATHEDRAL,3.305420417843628118
65,CATHEDRAL,3.319536030124769795
66,CATHEDRAL,3.333771073926278128
67,CATHEDRAL,3.348222706801456023
68,CATHEDRAL,3.362851321685852818
69,CATHEDRAL,3.377710425903669985
70,CATHEDRAL,3.392774956966351543
71,CATHEDRAL,3.408031270030877240
72,CATHEDRAL,3.423449584122865177
73,CATHEDRAL,3.439212187218241019
74,CATHEDRAL,3.455152336951553294
75,CATHEDRAL,3.471368810326653423
76,CATHEDRAL,3.487823811048236019
77,CATHEDRAL,3.504542766908190219
78,CATHEDRAL,3.521553598620991349
79,CATHEDRAL,3.538985186685290849
80,CATHEDRAL,3.556868209460523055
81,CATHEDRAL,3.575137329004973866
82,CATHEDRAL,3.593832585399259132
83,CATHEDRAL,3.612973840582502866
