n,app,alg,score_type,avg_cume_score
1,CATHEDRAL,TM_AVG,RMSD,0.172106172207813214369061
2,CATHEDRAL,TM_AVG,RMSD,1.092307406654968864761
3,CATHEDRAL,TM_AVG,RMSD,1.515423412250070725328
4,CATHEDRAL,TM_AVG,RMSD,1.892754094102764685410
5,CATHEDRAL,TM_AVG,RMSD,2.138881378881205808530
6,CATHEDRAL,TM_AVG,RMSD,2.321268650425096760981
7,CATHEDRAL,TM_AVG,RMSD,2.462148370855890660205
8,CATHEDRAL,TM_AVG,RMSD,2.564465724710655384372
9,CATHEDRAL,TM_AVG,RMSD,2.660222037287575570059
10,CATHEDRAL,TM_AVG,RMSD,2.726959667196913065882
11,CATHEDRAL,TM_AVG,RMSD,2.790408847211302101398
12,CATHEDRAL,TM_AVG,RMSD,2.843843270995517101365
13,CATHEDRAL,TM_AVG,RMSD,2.892298444374641022473
14,CATHEDRAL,TM_AVG,RMSD,2.931783923409586886163
15,CATHEDRAL,TM_AVG,RMSD,2.965765600336121203516
16,CATHEDRAL,TM_AVG,RMSD,3.001299751366398097489
17,CATHEDRAL,TM_AVG,RMSD,3.034177846264765263828
18,CATHEDRAL,TM_AVG,RMSD,3.061746793537194946029
19,CATHEDRAL,TM_AVG,RMSD,3.089953242333759391825
20,CATHEDRAL,TM_AVG,RMSD,3.115467771803086619809
21,CATHEDRAL,TM_AVG,RMSD,3.139845342014011894094
22,CATHEDRAL,TM_AVG,RMSD,3.162779766180982343628
23,CATHEDRAL,TM_AVG,RMSD,3.181070278831334588503
24,CATHEDRAL,TM_AVG,RMSD,3.199771579827245460110
25,CATHEDRAL,TM_AVG,RMSD,3.215640688852871508777
26,CATHEDRAL,TM_AVG,RMSD,3.232904855542445237460
27,CATHEDRAL,TM_AVG,RMSD,3.245660866636467688411
28,CATHEDRAL,TM_AVG,RMSD,3.261254093399599360470
29,CATHEDRAL,TM_AVG,RMSD,3.275109660389699712233
30,CATHEDRAL,TM_AVG,RMSD,3.289813811197453697718
31,CATHEDRAL,TM_AVG,RMSD,3.305339032137304449633
32,CATHEDRAL,TM_AVG,RMSD,3.316709168728549077027
33,CATHEDRAL,TM_AVG,RMSD,3.329881631805260044084
34,CATHEDRAL,TM_AVG,RMSD,3.342107867320760369109
35,CATHEDRAL,TM_AVG,RMSD,3.354928418783520229790
36,CATHEDRAL,TM_AVG,RMSD,3.367366134169176584743
37,CATHEDRAL,TM_AVG,RMSD,3.376257306507329348382
38,CATHEDRAL,TM_AVG,RMSD,3.387992460560150960133
39,CATHEDRAL,TM_AVG,RMSD,3.397132696044162869211
40,CATHEDRAL,TM_AVG,RMSD,3.404528493721996367986
41,CATHEDRAL,TM_AVG,RMSD,3.411661532810653464726
42,CATHEDRAL,TM_AVG,RMSD,3.421216425882802247288
43,CATHEDRAL,TM_AVG,RMSD,3.431446316266151587837
44,CATHEDRAL,TM_AVG,RMSD,3.438869344998253292108
45,CATHEDRAL,TM_AVG,RMSD,3.445706052093553570196
46,CATHEDRAL,TM_AVG,RMSD,3.454898903218822252750
47,CATHEDRAL,TM_AVG,RMSD,3.461898483801851488830
48,CATHEDRAL,TM_AVG,RMSD,3.468638067351858727867
49,CATHEDRAL,TM_AVG,RMSD,3.475652263414261121093
50,CATHEDRAL,TM_AVG,RMSD,3.481565351280101321055
51,CATHEDRAL,TM_AVG,RMSD,3.490396189604866402005
52,CATHEDRAL,TM_AVG,RMSD,3.497182795661113877549
53,CATHEDRAL,TM_AVG,RMSD,3.504790433897913372636
54,CATHEDRAL,TM_AVG,RMSD,3.511938465868573534721
55,CATHEDRAL,TM_AVG,RMSD,3.517401417013047559362
56,CATHEDRAL,TM_AVG,RMSD,3.523383678069612962703
57,CATHEDRAL,TM_AVG,RMSD,3.530755213893716828215
58,CATHEDRAL,TM_AVG,RMSD,3.536888883194128860122
59,CATHEDRAL,TM_AVG,RMSD,3.542134562791544843096
60,CATHEDRAL,TM_AVG,RMSD,3.549013610938939002563
61,CATHEDRAL,TM_AVG,RMSD,3.555617704181699671870
62,CATHEDRAL,TM_AVG,RMSD,3.559913793312118788013
63,CATHEDRAL,TM_AVG,RMSD,3.565643672689757974061
64,CATHEDRAL,TM_AVG,RMSD,3.571221829181526682832
65,CATHEDRAL,TM_AVG,RMSD,3.574825903723494797470
66,CATHEDRAL,TM_AVG,RMSD,3.580966943290448184301
67,CATHEDRAL,TM_AVG,RMSD,3.587099549112535181052
68,CATHEDRAL,TM_AVG,RMSD,3.592314483095881952351
69,CATHEDRAL,TM_AVG,RMSD,3.597485510720297360360
70,CATHEDRAL,TM_AVG,RMSD,3.601463521136944458907
71,CATHEDRAL,TM_AVG,RMSD,3.606724904659108335670
72,CATHEDRAL,TM_AVG,RMSD,3.611726116620534653314
73,CATHEDRAL,TM_AVG,RMSD,3.617740457796350698689
74,CATHEDRAL,TM_AVG,RMSD,3.622988002919876601068
75,CATHEDRAL,TM_AVG,RMSD,3.627605709972685881040
76,CATHEDRAL,TM_AVG,RMSD,3.631796296783795701917
77,CATHEDRAL,TM_AVG,RMSD,3.635432577478026230215
78,CATHEDRAL,TM_AVG,RMSD,3.640168352456266663899
79,CATHEDRAL,TM_AVG,RMSD,3.643873424192734317226
80,CATHEDRAL,TM_AVG,RMSD,3.647982389114345379195
81,CATHEDRAL,TM_AVG,RMSD,3.652166833311752258851
82,CATHEDRAL,TM_AVG,RMSD,3.656836337179365456938
83,CATHEDRAL,TM_AVG,RMSD,3.661185619803646939433
84,CATHEDRAL,TM_AVG,RMSD,3.665265462055731495337
85,CATHEDRAL,TM_AVG,RMSD,3.668100737711144169367
86,CATHEDRAL,TM_AVG,RMSD,3.672313573548420646585
87,CATHEDRAL,TM_AVG,RMSD,3.675846710179371899515
88,CATHEDRAL,TM_AVG,RMSD,3.679191022744524828239
89,CATHEDRAL,TM_AVG,RMSD,3.682150110576298357692
90,CATHEDRAL,TM_AVG,RMSD,3.684850449086395732124
91,CATHEDRAL,TM_AVG,RMSD,3.687944716484202142049
92,CATHEDRAL,TM_AVG,RMSD,3.691164557313320450596
93,CATHEDRAL,TM_AVG,RMSD,3.694314336070210910973
94,CATHEDRAL,TM_AVG,RMSD,3.696905789549013546962
95,CATHEDRAL,TM_AVG,RMSD,3.699596708503917791890
96,CATHEDRAL,TM_AVG,RMSD,3.702604518320265427359
97,CATHEDRAL,TM_AVG,RMSD,3.705523871258724144863
98,CATHEDRAL,TM_AVG,RMSD,3.709127076010535857825
99,CATHEDRAL,TM_AVG,RMSD,3.713163672880296034335
100,CATHEDRAL,TM_AVG,RMSD,3.716723731825802457497
1,RUPEE Fast,TM_AVG,RMSD,0.000000538430999843996051
2,RUPEE Fast,TM_AVG,RMSD,1.026979715522438517959
3,RUPEE Fast,TM_AVG,RMSD,1.447092601990385640592
4,RUPEE Fast,TM_AVG,RMSD,1.679682336796109079686
5,RUPEE Fast,TM_AVG,RMSD,1.882238699138424993042
6,RUPEE Fast,TM_AVG,RMSD,2.019243770671452488478
7,RUPEE Fast,TM_AVG,RMSD,2.124744954160665314799
8,RUPEE Fast,TM_AVG,RMSD,2.213876985404766007014
9,RUPEE Fast,TM_AVG,RMSD,2.298268256189447278963
10,RUPEE Fast,TM_AVG,RMSD,2.370834735808885954097
11,RUPEE Fast,TM_AVG,RMSD,2.430509431993634818600
12,RUPEE Fast,TM_AVG,RMSD,2.484522217330285158717
13,RUPEE Fast,TM_AVG,RMSD,2.538946077850191663990
14,RUPEE Fast,TM_AVG,RMSD,2.586727265610390197803
15,RUPEE Fast,TM_AVG,RMSD,2.629790880023380448186
16,RUPEE Fast,TM_AVG,RMSD,2.663126375958303604013
17,RUPEE Fast,TM_AVG,RMSD,2.699158805267650837882
18,RUPEE Fast,TM_AVG,RMSD,2.730293937374507196047
19,RUPEE Fast,TM_AVG,RMSD,2.760708666799121913214
20,RUPEE Fast,TM_AVG,RMSD,2.794858078801569113412
21,RUPEE Fast,TM_AVG,RMSD,2.820005261462256032254
22,RUPEE Fast,TM_AVG,RMSD,2.847876601379051097684
23,RUPEE Fast,TM_AVG,RMSD,2.873049855012370932260
24,RUPEE Fast,TM_AVG,RMSD,2.897821971524752187103
25,RUPEE Fast,TM_AVG,RMSD,2.921997577777405029719
26,RUPEE Fast,TM_AVG,RMSD,2.943855661238468046525
27,RUPEE Fast,TM_AVG,RMSD,2.963153372364908221756
28,RUPEE Fast,TM_AVG,RMSD,2.980617136558920777112
29,RUPEE Fast,TM_AVG,RMSD,3.001288627888026353415
30,RUPEE Fast,TM_AVG,RMSD,3.017273159136547315675
31,RUPEE Fast,TM_AVG,RMSD,3.034764871254302349644
32,RUPEE Fast,TM_AVG,RMSD,3.054807697301169651817
33,RUPEE Fast,TM_AVG,RMSD,3.073268758774354826158
34,RUPEE Fast,TM_AVG,RMSD,3.092638638322904416743
35,RUPEE Fast,TM_AVG,RMSD,3.110864709046085475629
36,RUPEE Fast,TM_AVG,RMSD,3.129263471524501454364
37,RUPEE Fast,TM_AVG,RMSD,3.142454217977566270313
38,RUPEE Fast,TM_AVG,RMSD,3.156810059756747122211
39,RUPEE Fast,TM_AVG,RMSD,3.172197140216299914829
40,RUPEE Fast,TM_AVG,RMSD,3.184946758168276262262
41,RUPEE Fast,TM_AVG,RMSD,3.195456729472439081462
42,RUPEE Fast,TM_AVG,RMSD,3.209748509867573719566
43,RUPEE Fast,TM_AVG,RMSD,3.222447112842052451551
44,RUPEE Fast,TM_AVG,RMSD,3.237705553862136811514
45,RUPEE Fast,TM_AVG,RMSD,3.248342574634457797992
46,RUPEE Fast,TM_AVG,RMSD,3.259656380912954938330
47,RUPEE Fast,TM_AVG,RMSD,3.271460137748287320924
48,RUPEE Fast,TM_AVG,RMSD,3.281769135006863738249
49,RUPEE Fast,TM_AVG,RMSD,3.297120431249615597703
50,RUPEE Fast,TM_AVG,RMSD,3.307702897686322030617
51,RUPEE Fast,TM_AVG,RMSD,3.320619644288751014231
52,RUPEE Fast,TM_AVG,RMSD,3.332014629337415179129
53,RUPEE Fast,TM_AVG,RMSD,3.342747528480551616306
54,RUPEE Fast,TM_AVG,RMSD,3.353097471073908596289
55,RUPEE Fast,TM_AVG,RMSD,3.363331842306209433160
56,RUPEE Fast,TM_AVG,RMSD,3.375245386999359339711
57,RUPEE Fast,TM_AVG,RMSD,3.388191738769489342275
58,RUPEE Fast,TM_AVG,RMSD,3.399122008870992426742
59,RUPEE Fast,TM_AVG,RMSD,3.410651514081976877788
60,RUPEE Fast,TM_AVG,RMSD,3.421187525576757500430
61,RUPEE Fast,TM_AVG,RMSD,3.431098588322705041688
62,RUPEE Fast,TM_AVG,RMSD,3.442996994252357739485
63,RUPEE Fast,TM_AVG,RMSD,3.454526779129863076424
64,RUPEE Fast,TM_AVG,RMSD,3.464246112225820994722
65,RUPEE Fast,TM_AVG,RMSD,3.472350450056283548882
66,RUPEE Fast,TM_AVG,RMSD,3.481683757750503284964
67,RUPEE Fast,TM_AVG,RMSD,3.490758557751226879460
68,RUPEE Fast,TM_AVG,RMSD,3.498274656562482010302
69,RUPEE Fast,TM_AVG,RMSD,3.507292404070178724690
70,RUPEE Fast,TM_AVG,RMSD,3.514497919584671895896
71,RUPEE Fast,TM_AVG,RMSD,3.520813890176300415501
72,RUPEE Fast,TM_AVG,RMSD,3.529109045061833792670
73,RUPEE Fast,TM_AVG,RMSD,3.537482361712286367089
74,RUPEE Fast,TM_AVG,RMSD,3.546199999570538185880
75,RUPEE Fast,TM_AVG,RMSD,3.553518719546416741624
76,RUPEE Fast,TM_AVG,RMSD,3.560300097390616067219
