n,app,alg,score_type,avg_cume_score
1,CATHEDRAL,TM_Q,RMSD,0.172106172207813210328650
2,CATHEDRAL,TM_Q,RMSD,1.09230740665496875632602
3,CATHEDRAL,TM_Q,RMSD,1.51542341225007049647325
4,CATHEDRAL,TM_Q,RMSD,1.89275409410276451654680
5,CATHEDRAL,TM_Q,RMSD,2.13888137888120565263139
6,CATHEDRAL,TM_Q,RMSD,2.32126865042509660550931
7,CATHEDRAL,TM_Q,RMSD,2.46214837085589053957073
8,CATHEDRAL,TM_Q,RMSD,2.56446572471065532420774
9,CATHEDRAL,TM_Q,RMSD,2.66022203728757554540130
10,CATHEDRAL,TM_Q,RMSD,2.72695966719691299766929
11,CATHEDRAL,TM_Q,RMSD,2.79040884721130201811069
12,CATHEDRAL,TM_Q,RMSD,2.84384327099551702593649
13,CATHEDRAL,TM_Q,RMSD,2.89229844437464097136177
14,CATHEDRAL,TM_Q,RMSD,2.93178392340958684002346
15,CATHEDRAL,TM_Q,RMSD,2.96576560033612113962460
16,CATHEDRAL,TM_Q,RMSD,3.00129975136639801749527
17,CATHEDRAL,TM_Q,RMSD,3.03417784626476517678701
18,CATHEDRAL,TM_Q,RMSD,3.06174679353719484300365
19,CATHEDRAL,TM_Q,RMSD,3.08995324233375929675309
20,CATHEDRAL,TM_Q,RMSD,3.11546777180308653630933
21,CATHEDRAL,TM_Q,RMSD,3.13984534201401180321912
22,CATHEDRAL,TM_Q,RMSD,3.16277976618098226735191
23,CATHEDRAL,TM_Q,RMSD,3.18107027883133449961899
24,CATHEDRAL,TM_Q,RMSD,3.19977157982724538216012
25,CATHEDRAL,TM_Q,RMSD,3.21564068885287145630002
26,CATHEDRAL,TM_Q,RMSD,3.23290485554244519309738
27,CATHEDRAL,TM_Q,RMSD,3.24566086663646763043119
28,CATHEDRAL,TM_Q,RMSD,3.26125409339959930614453
29,CATHEDRAL,TM_Q,RMSD,3.27510966038969966605106
30,CATHEDRAL,TM_Q,RMSD,3.28981381119745365888635
31,CATHEDRAL,TM_Q,RMSD,3.30533903213730438118358
32,CATHEDRAL,TM_Q,RMSD,3.31670916872854901290799
33,CATHEDRAL,TM_Q,RMSD,3.32988163180525998460437
34,CATHEDRAL,TM_Q,RMSD,3.34210786732076032620102
35,CATHEDRAL,TM_Q,RMSD,3.35492841878352017722733
36,CATHEDRAL,TM_Q,RMSD,3.36736613416917653403270
37,CATHEDRAL,TM_Q,RMSD,3.37625730650732930461991
38,CATHEDRAL,TM_Q,RMSD,3.38799246056015092044463
39,CATHEDRAL,TM_Q,RMSD,3.39713269604416283460311
40,CATHEDRAL,TM_Q,RMSD,3.40452849372199631913956
41,CATHEDRAL,TM_Q,RMSD,3.41166153281065342284616
42,CATHEDRAL,TM_Q,RMSD,3.42121642588280219851676
43,CATHEDRAL,TM_Q,RMSD,3.43144631626615153533066
44,CATHEDRAL,TM_Q,RMSD,3.43886934499825324981000
45,CATHEDRAL,TM_Q,RMSD,3.44570605209355352832604
46,CATHEDRAL,TM_Q,RMSD,3.45489890321882221083719
47,CATHEDRAL,TM_Q,RMSD,3.46189848380185143959002
48,CATHEDRAL,TM_Q,RMSD,3.46863806735185866879889
49,CATHEDRAL,TM_Q,RMSD,3.47565226341426106683213
50,CATHEDRAL,TM_Q,RMSD,3.48156535128010127613996
51,CATHEDRAL,TM_Q,RMSD,3.49039618960486635744553
52,CATHEDRAL,TM_Q,RMSD,3.49718279566111382685947
53,CATHEDRAL,TM_Q,RMSD,3.50479043389791332031309
54,CATHEDRAL,TM_Q,RMSD,3.51193846586857349188415
55,CATHEDRAL,TM_Q,RMSD,3.51740141701304752429615
56,CATHEDRAL,TM_Q,RMSD,3.52338367806961292771148
57,CATHEDRAL,TM_Q,RMSD,3.53075521389371679652362
58,CATHEDRAL,TM_Q,RMSD,3.53688888319412881756056
59,CATHEDRAL,TM_Q,RMSD,3.54213456279154481150357
60,CATHEDRAL,TM_Q,RMSD,3.54901361093893897047008
61,CATHEDRAL,TM_Q,RMSD,3.55561770418169963572820
62,CATHEDRAL,TM_Q,RMSD,3.55991379331211875522196
63,CATHEDRAL,TM_Q,RMSD,3.56564367268975795529458
64,CATHEDRAL,TM_Q,RMSD,3.57122182918152665829744
65,CATHEDRAL,TM_Q,RMSD,3.57482590372349476749693
66,CATHEDRAL,TM_Q,RMSD,3.58096694329044816219666
67,CATHEDRAL,TM_Q,RMSD,3.58709954911253515851687
68,CATHEDRAL,TM_Q,RMSD,3.59231448309588192859364
69,CATHEDRAL,TM_Q,RMSD,3.59748551072029733474781
70,CATHEDRAL,TM_Q,RMSD,3.60146352113694443305807
71,CATHEDRAL,TM_Q,RMSD,3.60672490465910830957638
72,CATHEDRAL,TM_Q,RMSD,3.61172611662053463569195
73,CATHEDRAL,TM_Q,RMSD,3.61774045779635068495809
74,CATHEDRAL,TM_Q,RMSD,3.62298800291987658400386
75,CATHEDRAL,TM_Q,RMSD,3.62760570997268585386434
76,CATHEDRAL,TM_Q,RMSD,3.63179629678379567841211
77,CATHEDRAL,TM_Q,RMSD,3.63543257747802620628132
78,CATHEDRAL,TM_Q,RMSD,3.64016835245626663951989
79,CATHEDRAL,TM_Q,RMSD,3.64387342419273429241688
80,CATHEDRAL,TM_Q,RMSD,3.64798238911434535367332
81,CATHEDRAL,TM_Q,RMSD,3.65216683331175224715830
82,CATHEDRAL,TM_Q,RMSD,3.65683633717936543874261
