n,app,alg,avg_cume_score
1,mTM,TM_AVG,1.00000000000000000000
2,mTM,TM_AVG,0.99155307853146615926
3,mTM,TM_AVG,0.98517664779632880008
4,mTM,TM_AVG,0.98070116036530719017
5,mTM,TM_AVG,0.97555947617550292977
6,mTM,TM_AVG,0.97145457123505336031
7,mTM,TM_AVG,0.96780038305738645306
8,mTM,TM_AVG,0.96446137700640997156
9,mTM,TM_AVG,0.96188372980348688870
10,mTM,TM_AVG,0.95935079630631850702
11,mTM,TM_AVG,0.95682326543510417841
12,mTM,TM_AVG,0.95461868159525713744
13,mTM,TM_AVG,0.95223791428707579609
14,mTM,TM_AVG,0.95000102590464120886
15,mTM,TM_AVG,0.94775008653584941429
16,mTM,TM_AVG,0.94574397863716090413
17,mTM,TM_AVG,0.94396901352392366325
18,mTM,TM_AVG,0.94222945848567006631
19,mTM,TM_AVG,0.94030783990152878473
20,mTM,TM_AVG,0.93860632571224672713
21,mTM,TM_AVG,0.93687033436062154348
22,mTM,TM_AVG,0.93507210126814305107
23,mTM,TM_AVG,0.93322536272350484542
24,mTM,TM_AVG,0.93134981942043419152
25,mTM,TM_AVG,0.92960623811673989119
26,mTM,TM_AVG,0.92792824815885240484
27,mTM,TM_AVG,0.92621405240059323914
28,mTM,TM_AVG,0.92449740403878292012
29,mTM,TM_AVG,0.92289610393032376693
30,mTM,TM_AVG,0.92122857358557980513
31,mTM,TM_AVG,0.91968629172548110493
32,mTM,TM_AVG,0.91813689680674707892
33,mTM,TM_AVG,0.91658208207811626345
34,mTM,TM_AVG,0.91511141360885195137
35,mTM,TM_AVG,0.91367115099074840174
36,mTM,TM_AVG,0.91223271054401745128
37,mTM,TM_AVG,0.91078188053010420726
38,mTM,TM_AVG,0.90935027668701480380
39,mTM,TM_AVG,0.90790090408737538108
40,mTM,TM_AVG,0.90652097930878726044
41,mTM,TM_AVG,0.90516682719301736943
42,mTM,TM_AVG,0.90376740682924496786
43,mTM,TM_AVG,0.90239480455927491145
44,mTM,TM_AVG,0.90103507264087645245
45,mTM,TM_AVG,0.89967241180519059348
46,mTM,TM_AVG,0.89834031287407925534
47,mTM,TM_AVG,0.89699598251756140415
48,mTM,TM_AVG,0.89570314180687957780
49,mTM,TM_AVG,0.89436953544950056058
50,mTM,TM_AVG,0.89307957168598838210
51,mTM,TM_AVG,0.89186383313986908086
52,mTM,TM_AVG,0.89065215758090218013
53,mTM,TM_AVG,0.88942035427633520195
54,mTM,TM_AVG,0.88821618063968176046
55,mTM,TM_AVG,0.88695154643783318765
56,mTM,TM_AVG,0.88578310246108463211
57,mTM,TM_AVG,0.88463902380881872741
58,mTM,TM_AVG,0.88348567659068892982
59,mTM,TM_AVG,0.88233181782903285539
60,mTM,TM_AVG,0.88115308754601460422
61,mTM,TM_AVG,0.88001563231865299026
62,mTM,TM_AVG,0.87879879932096887061
63,mTM,TM_AVG,0.87765997382783250256
64,mTM,TM_AVG,0.87656957871777274131
65,mTM,TM_AVG,0.87552339758468552950
66,mTM,TM_AVG,0.87443289923365327393
67,mTM,TM_AVG,0.87341976544273740638
68,mTM,TM_AVG,0.87236562567253876840
69,mTM,TM_AVG,0.87132669398685128135
70,mTM,TM_AVG,0.87031608848237110163
71,mTM,TM_AVG,0.86937616968857464612
72,mTM,TM_AVG,0.86841759886390951685
73,mTM,TM_AVG,0.86736492945460181517
74,mTM,TM_AVG,0.86632819289360492778
75,mTM,TM_AVG,0.86531070448861652209
76,mTM,TM_AVG,0.86435502775833465089
77,mTM,TM_AVG,0.86337414921658573986
78,mTM,TM_AVG,0.86245142759075771800
79,mTM,TM_AVG,0.86151805640686336158
80,mTM,TM_AVG,0.86055573306217932620
81,mTM,TM_AVG,0.85958846283887201597
82,mTM,TM_AVG,0.85870600128588658169
83,mTM,TM_AVG,0.85780764892322031694
84,mTM,TM_AVG,0.85690534255045090881
85,mTM,TM_AVG,0.85596959203703016427
86,mTM,TM_AVG,0.85501310848646532194
87,mTM,TM_AVG,0.85410508542036915819
88,mTM,TM_AVG,0.85316891012617045013
89,mTM,TM_AVG,0.85223538527523370073
90,mTM,TM_AVG,0.85134867758909944242
91,mTM,TM_AVG,0.85045621316897675243
92,mTM,TM_AVG,0.84953024283173978435
93,mTM,TM_AVG,0.84861476612994846174
94,mTM,TM_AVG,0.84772767667508180466
95,mTM,TM_AVG,0.84683404576558239358
96,mTM,TM_AVG,0.84591840784868868453
97,mTM,TM_AVG,0.84504675420635044668
98,mTM,TM_AVG,0.84419838598979684061
99,mTM,TM_AVG,0.84329803200887212501
100,mTM,TM_AVG,0.84242819912411541561
1,RUPEE Top-Aligned,TM_AVG,1.00000000000000000000
2,RUPEE Top-Aligned,TM_AVG,0.99393306736219313847
3,RUPEE Top-Aligned,TM_AVG,0.98890219441337442917
4,RUPEE Top-Aligned,TM_AVG,0.98522298242957913347
5,RUPEE Top-Aligned,TM_AVG,0.98146600838387224183
6,RUPEE Top-Aligned,TM_AVG,0.97831432064248507574
