n,app,alg,score_type,avg_cume_score
1,mTM,TM_AVG,RMSD,0.000001500343295519721906
2,mTM,TM_AVG,RMSD,0.160648778134685750405
3,mTM,TM_AVG,RMSD,0.257098520529566372144
4,mTM,TM_AVG,RMSD,0.319658834734501368069
5,mTM,TM_AVG,RMSD,0.376513904028385031605
6,mTM,TM_AVG,RMSD,0.421068081577705693002
7,mTM,TM_AVG,RMSD,0.462262514789685178199
8,mTM,TM_AVG,RMSD,0.498028229984814991589
9,mTM,TM_AVG,RMSD,0.526880003960060223842
10,mTM,TM_AVG,RMSD,0.554330490111455679657
11,mTM,TM_AVG,RMSD,0.580730167378610774697
12,mTM,TM_AVG,RMSD,0.603602574223665128597
13,mTM,TM_AVG,RMSD,0.627381687265607246887
14,mTM,TM_AVG,RMSD,0.648532946958191668636
15,mTM,TM_AVG,RMSD,0.668724596371932323407
16,mTM,TM_AVG,RMSD,0.687327346803505417170
17,mTM,TM_AVG,RMSD,0.705359809358670388547
18,mTM,TM_AVG,RMSD,0.722676067721224360850
19,mTM,TM_AVG,RMSD,0.740556971236125885497
20,mTM,TM_AVG,RMSD,0.756961973280751034985
21,mTM,TM_AVG,RMSD,0.773482862504353433710
22,mTM,TM_AVG,RMSD,0.789425236343588938881
23,mTM,TM_AVG,RMSD,0.805660523961541319855
24,mTM,TM_AVG,RMSD,0.821619630084133179708
25,mTM,TM_AVG,RMSD,0.837383243185698486084
26,mTM,TM_AVG,RMSD,0.852390666372260179212
27,mTM,TM_AVG,RMSD,0.867141315472226372753
28,mTM,TM_AVG,RMSD,0.881876060292936445781
29,mTM,TM_AVG,RMSD,0.895552278383112139076
30,mTM,TM_AVG,RMSD,0.909308984509879810259
31,mTM,TM_AVG,RMSD,0.922906739707484696425
32,mTM,TM_AVG,RMSD,0.936685616641581613281
33,mTM,TM_AVG,RMSD,0.949961956064382343333
34,mTM,TM_AVG,RMSD,0.962820328682055365794
35,mTM,TM_AVG,RMSD,0.975018639584138933769
36,mTM,TM_AVG,RMSD,0.987468303790253570410
37,mTM,TM_AVG,RMSD,0.999768961198881638807
38,mTM,TM_AVG,RMSD,1.011683404440028563713
39,mTM,TM_AVG,RMSD,1.023710623001955744133
40,mTM,TM_AVG,RMSD,1.035498747073079869427
41,mTM,TM_AVG,RMSD,1.046613684814058179788
42,mTM,TM_AVG,RMSD,1.058090857018358805766
43,mTM,TM_AVG,RMSD,1.069305796376931802263
44,mTM,TM_AVG,RMSD,1.080454452023914659077
45,mTM,TM_AVG,RMSD,1.091389452166764404077
46,mTM,TM_AVG,RMSD,1.102322297802406231600
47,mTM,TM_AVG,RMSD,1.113453817588675709299
48,mTM,TM_AVG,RMSD,1.123844525221348252801
