n,app,alg,score_type,avg_cume_score
1,mTM,TM_Q,RMSD,0.000001500343295519721819
2,mTM,TM_Q,RMSD,0.16064877813468577954101
3,mTM,TM_Q,RMSD,0.25709852052956637887286
4,mTM,TM_Q,RMSD,0.31965883473450137563678
5,mTM,TM_Q,RMSD,0.37651390402838502375661
6,mTM,TM_Q,RMSD,0.42106808157770568309215
7,mTM,TM_Q,RMSD,0.46226251478968516194302
8,mTM,TM_Q,RMSD,0.49802822998481499019029
9,mTM,TM_Q,RMSD,0.52688000396006022155252
10,mTM,TM_Q,RMSD,0.55433049011145568662770
11,mTM,TM_Q,RMSD,0.58073016737861079374887
12,mTM,TM_Q,RMSD,0.60360257422366514302551
13,mTM,TM_Q,RMSD,0.62738168726560727003868
14,mTM,TM_Q,RMSD,0.64853294695819167705630
15,mTM,TM_Q,RMSD,0.66872459637193232701096
16,mTM,TM_Q,RMSD,0.68732734680350541956065
17,mTM,TM_Q,RMSD,0.70535980935867040034132
18,mTM,TM_Q,RMSD,0.72267606772122437273257
19,mTM,TM_Q,RMSD,0.74055697123612589589174
20,mTM,TM_Q,RMSD,0.75696197328075104104842
21,mTM,TM_Q,RMSD,0.77348286250435343888775
22,mTM,TM_Q,RMSD,0.78942523634358893735563
23,mTM,TM_Q,RMSD,0.80566052396154131968313
24,mTM,TM_Q,RMSD,0.82161963008413317373706
25,mTM,TM_Q,RMSD,0.83738324318569847691266
26,mTM,TM_Q,RMSD,0.85239066637226017748294
27,mTM,TM_Q,RMSD,0.86714131547222636925889
28,mTM,TM_Q,RMSD,0.88187606029293644539318
29,mTM,TM_Q,RMSD,0.89555227838311213983784
30,mTM,TM_Q,RMSD,0.90930898450987981061933
31,mTM,TM_Q,RMSD,0.92290673970748470533426
32,mTM,TM_Q,RMSD,0.93668561664158162038882
33,mTM,TM_Q,RMSD,0.94996195606438234862656
34,mTM,TM_Q,RMSD,0.96282032868205537456637
35,mTM,TM_Q,RMSD,0.97501863958413893522515
36,mTM,TM_Q,RMSD,0.98746830379025356630092
37,mTM,TM_Q,RMSD,0.99976896119888163613184
38,mTM,TM_Q,RMSD,1.01168340444002856413931
39,mTM,TM_Q,RMSD,1.02371062300195574518029
40,mTM,TM_Q,RMSD,1.03549874707307986517901
41,mTM,TM_Q,RMSD,1.04661368481405817916316
