n,app,alg,score_type,avg_cume_score
1,RUPEE 1,TM_AVG,TM-Score,1.00000000000000000000
2,RUPEE 1,TM_AVG,TM-Score,0.99390716177257746250
3,RUPEE 1,TM_AVG,TM-Score,0.98880847471783227407
4,RUPEE 1,TM_AVG,TM-Score,0.98509866345000110694
5,RUPEE 1,TM_AVG,TM-Score,0.98132418896490112111
6,RUPEE 1,TM_AVG,TM-Score,0.97819215526701826481
7,RUPEE 1,TM_AVG,TM-Score,0.97512718217223843872
8,RUPEE 1,TM_AVG,TM-Score,0.97253538122292549360
9,RUPEE 1,TM_AVG,TM-Score,0.97019697775394046406
10,RUPEE 1,TM_AVG,TM-Score,0.96788214189025542321
11,RUPEE 1,TM_AVG,TM-Score,0.96538945741144199282
12,RUPEE 1,TM_AVG,TM-Score,0.96317056603264887814
13,RUPEE 1,TM_AVG,TM-Score,0.96086153755453599692
14,RUPEE 1,TM_AVG,TM-Score,0.95875967025412896979
15,RUPEE 1,TM_AVG,TM-Score,0.95671697084399214754
16,RUPEE 1,TM_AVG,TM-Score,0.95481814470232047009
17,RUPEE 1,TM_AVG,TM-Score,0.95297126154404373264
18,RUPEE 1,TM_AVG,TM-Score,0.95123094716677673777
19,RUPEE 1,TM_AVG,TM-Score,0.94945369963339938255
20,RUPEE 1,TM_AVG,TM-Score,0.94772645596190539745
21,RUPEE 1,TM_AVG,TM-Score,0.94600566091542194281
22,RUPEE 1,TM_AVG,TM-Score,0.94433197541372010223
23,RUPEE 1,TM_AVG,TM-Score,0.94265474364069780660
24,RUPEE 1,TM_AVG,TM-Score,0.94098231532504881408
25,RUPEE 1,TM_AVG,TM-Score,0.93933638252749670218
26,RUPEE 1,TM_AVG,TM-Score,0.93773349361134203329
27,RUPEE 1,TM_AVG,TM-Score,0.93614403598431758570
28,RUPEE 1,TM_AVG,TM-Score,0.93454489667390480893
29,RUPEE 1,TM_AVG,TM-Score,0.93298639941425563075
30,RUPEE 1,TM_AVG,TM-Score,0.93142640652813741926
31,RUPEE 1,TM_AVG,TM-Score,0.92991134983223287841
32,RUPEE 1,TM_AVG,TM-Score,0.92839265129726263504
33,RUPEE 1,TM_AVG,TM-Score,0.92691308305757272054
34,RUPEE 1,TM_AVG,TM-Score,0.92546910553597197957
35,RUPEE 1,TM_AVG,TM-Score,0.92404207731256642770
36,RUPEE 1,TM_AVG,TM-Score,0.92260993599843316993
37,RUPEE 1,TM_AVG,TM-Score,0.92119533594737787585
38,RUPEE 1,TM_AVG,TM-Score,0.91979750516166533456
39,RUPEE 1,TM_AVG,TM-Score,0.91842918702225040964
40,RUPEE 1,TM_AVG,TM-Score,0.91707824732661439093
41,RUPEE 1,TM_AVG,TM-Score,0.91575648825066141073
42,RUPEE 1,TM_AVG,TM-Score,0.91445610663770192562
43,RUPEE 1,TM_AVG,TM-Score,0.91316729355316075164
44,RUPEE 1,TM_AVG,TM-Score,0.91187412554072474894
45,RUPEE 1,TM_AVG,TM-Score,0.91056565030338609275
46,RUPEE 1,TM_AVG,TM-Score,0.90926880304596562473
47,RUPEE 1,TM_AVG,TM-Score,0.90797044894770391339
48,RUPEE 1,TM_AVG,TM-Score,0.90670342189908611437
49,RUPEE 1,TM_AVG,TM-Score,0.90543686401429534394
50,RUPEE 1,TM_AVG,TM-Score,0.90419308175728898679
51,RUPEE 1,TM_AVG,TM-Score,0.90296583146611053816
52,RUPEE 1,TM_AVG,TM-Score,0.90177300693451892733
53,RUPEE 1,TM_AVG,TM-Score,0.90058852304552092697
54,RUPEE 1,TM_AVG,TM-Score,0.89942542947417550835
55,RUPEE 1,TM_AVG,TM-Score,0.89825872879838462272
56,RUPEE 1,TM_AVG,TM-Score,0.89710254481106159617
57,RUPEE 1,TM_AVG,TM-Score,0.89595401510846741932
58,RUPEE 1,TM_AVG,TM-Score,0.89480873143507271962
59,RUPEE 1,TM_AVG,TM-Score,0.89367494853505126880
60,RUPEE 1,TM_AVG,TM-Score,0.89256002603736767796
61,RUPEE 1,TM_AVG,TM-Score,0.89143605651288774658
62,RUPEE 1,TM_AVG,TM-Score,0.89032593303036348551
63,RUPEE 1,TM_AVG,TM-Score,0.88921477200675976830
64,RUPEE 1,TM_AVG,TM-Score,0.88812590816072187843
65,RUPEE 1,TM_AVG,TM-Score,0.88704152287019363255
66,RUPEE 1,TM_AVG,TM-Score,0.88595714346931366018
67,RUPEE 1,TM_AVG,TM-Score,0.88488800819979589268
68,RUPEE 1,TM_AVG,TM-Score,0.88382699143129263365
69,RUPEE 1,TM_AVG,TM-Score,0.88277912657608060215
70,RUPEE 1,TM_AVG,TM-Score,0.88174223663592903420
71,RUPEE 1,TM_AVG,TM-Score,0.88070630814540615561
72,RUPEE 1,TM_AVG,TM-Score,0.87968757795300228939
73,RUPEE 1,TM_AVG,TM-Score,0.87866440909439433411
74,RUPEE 1,TM_AVG,TM-Score,0.87765225308537610157
75,RUPEE 1,TM_AVG,TM-Score,0.87665273754526403215
76,RUPEE 1,TM_AVG,TM-Score,0.87566804723404680125
77,RUPEE 1,TM_AVG,TM-Score,0.87469663476139998275
78,RUPEE 1,TM_AVG,TM-Score,0.87372554914545127226
79,RUPEE 1,TM_AVG,TM-Score,0.87276444339824522998
80,RUPEE 1,TM_AVG,TM-Score,0.87181128160067723202
81,RUPEE 1,TM_AVG,TM-Score,0.87086620040211022258
82,RUPEE 1,TM_AVG,TM-Score,0.86993192841790265090
83,RUPEE 1,TM_AVG,TM-Score,0.86900153354098656569
84,RUPEE 1,TM_AVG,TM-Score,0.86806562906984192187
85,RUPEE 1,TM_AVG,TM-Score,0.86712429513098107261
86,RUPEE 1,TM_AVG,TM-Score,0.86619282695764184713
87,RUPEE 1,TM_AVG,TM-Score,0.86525678973266831442
88,RUPEE 1,TM_AVG,TM-Score,0.86431950325322123682
89,RUPEE 1,TM_AVG,TM-Score,0.86338651992926595500
90,RUPEE 1,TM_AVG,TM-Score,0.86245757563076675389
91,RUPEE 1,TM_AVG,TM-Score,0.86153073411062893484
92,RUPEE 1,TM_AVG,TM-Score,0.86060470171098628344
93,RUPEE 1,TM_AVG,TM-Score,0.85968959760582492143
94,RUPEE 1,TM_AVG,TM-Score,0.85877971763954702980
95,RUPEE 1,TM_AVG,TM-Score,0.85787708002601162003
96,RUPEE 1,TM_AVG,TM-Score,0.85697240615530074812
97,RUPEE 1,TM_AVG,TM-Score,0.85607421610463983978
98,RUPEE 1,TM_AVG,TM-Score,0.85518471528954907171
99,RUPEE 1,TM_AVG,TM-Score,0.85430645322724512804
100,RUPEE 1,TM_AVG,TM-Score,0.85342704069960939403
1,RUPEE 2,TM_AVG,TM-Score,1.00000000000000000000
2,RUPEE 2,TM_AVG,TM-Score,0.99618203356927980586
3,RUPEE 2,TM_AVG,TM-Score,0.99279787650213261172
4,RUPEE 2,TM_AVG,TM-Score,0.99009899603292270788
5,RUPEE 2,TM_AVG,TM-Score,0.98773125552079405275
6,RUPEE 2,TM_AVG,TM-Score,0.98563166240947160623
7,RUPEE 2,TM_AVG,TM-Score,0.98352972516427948666
8,RUPEE 2,TM_AVG,TM-Score,0.98170116158535478068
9,RUPEE 2,TM_AVG,TM-Score,0.98006078267687019332
10,RUPEE 2,TM_AVG,TM-Score,0.97842274874438862930
11,RUPEE 2,TM_AVG,TM-Score,0.97674801817617340626
12,RUPEE 2,TM_AVG,TM-Score,0.97526996643132693864
13,RUPEE 2,TM_AVG,TM-Score,0.97380500530911122936
14,RUPEE 2,TM_AVG,TM-Score,0.97247960408763722632
15,RUPEE 2,TM_AVG,TM-Score,0.97123144689638386935
16,RUPEE 2,TM_AVG,TM-Score,0.97005492706401554876
17,RUPEE 2,TM_AVG,TM-Score,0.96892626900484326912
18,RUPEE 2,TM_AVG,TM-Score,0.96787999440354295035
19,RUPEE 2,TM_AVG,TM-Score,0.96686134073294870619
20,RUPEE 2,TM_AVG,TM-Score,0.96586170118778552125
21,RUPEE 2,TM_AVG,TM-Score,0.96486591850365463230
22,RUPEE 2,TM_AVG,TM-Score,0.96387163713050522744
23,RUPEE 2,TM_AVG,TM-Score,0.96287670871381295397
24,RUPEE 2,TM_AVG,TM-Score,0.96190797764980820208
25,RUPEE 2,TM_AVG,TM-Score,0.96094325302869823912
26,RUPEE 2,TM_AVG,TM-Score,0.95998028820947546450
27,RUPEE 2,TM_AVG,TM-Score,0.95902424528366293081
