n,app,avg_cume_score
1,RUPEE All-Aligned,0.51149702438517386720
2,RUPEE All-Aligned,0.50943507444730366013
3,RUPEE All-Aligned,0.50716785195737510960
4,RUPEE All-Aligned,0.50513657213742782245
5,RUPEE All-Aligned,0.50279138528168028396
6,RUPEE All-Aligned,0.50083439022479565149
7,RUPEE All-Aligned,0.49920295688309553245
8,RUPEE All-Aligned,0.49778115191787518846
9,RUPEE All-Aligned,0.49645989611823787687
10,RUPEE All-Aligned,0.49523006649446505467
11,RUPEE All-Aligned,0.49410573197148863845
12,RUPEE All-Aligned,0.49259165646191877909
13,RUPEE All-Aligned,0.49123526207077811405
14,RUPEE All-Aligned,0.49002504371876760567
15,RUPEE All-Aligned,0.48892596997004466159
16,RUPEE All-Aligned,0.48790134654520586621
17,RUPEE All-Aligned,0.48695877371325488419
18,RUPEE All-Aligned,0.48608756084416563307
19,RUPEE All-Aligned,0.48527205815938054833
20,RUPEE All-Aligned,0.48450556411368498697
21,RUPEE All-Aligned,0.48377950691575743374
22,RUPEE All-Aligned,0.48308160305206740313
23,RUPEE All-Aligned,0.48238172668322955789
24,RUPEE All-Aligned,0.48166087631196769855
25,RUPEE All-Aligned,0.48092741772793824029
26,RUPEE All-Aligned,0.48018115760822743145
27,RUPEE All-Aligned,0.47942943042175387860
28,RUPEE All-Aligned,0.47870800046836887294
29,RUPEE All-Aligned,0.47802134861532078304
30,RUPEE All-Aligned,0.47736425391240180509
31,RUPEE All-Aligned,0.47672803568661607393
32,RUPEE All-Aligned,0.47611459614735172578
33,RUPEE All-Aligned,0.47550050355301229450
34,RUPEE All-Aligned,0.47490975602116453048
35,RUPEE All-Aligned,0.47434004115071932911
36,RUPEE All-Aligned,0.47378904129053283653
37,RUPEE All-Aligned,0.47325611777176869042
38,RUPEE All-Aligned,0.47273858803562514987
39,RUPEE All-Aligned,0.47223740933930381488
40,RUPEE All-Aligned,0.47174947492055365633
41,RUPEE All-Aligned,0.47127474564369905541
42,RUPEE All-Aligned,0.47081274647301989718
43,RUPEE All-Aligned,0.47036504878751879165
44,RUPEE All-Aligned,0.46992850170967897514
45,RUPEE All-Aligned,0.46950443573460905786
46,RUPEE All-Aligned,0.46909286553170362104
47,RUPEE All-Aligned,0.46869080699681462124
48,RUPEE All-Aligned,0.46830006175077724449
49,RUPEE All-Aligned,0.46792009665410907836
50,RUPEE All-Aligned,0.46754877163308773095
51,RUPEE All-Aligned,0.46718604143655454480
52,RUPEE All-Aligned,0.46683171768532927221
53,RUPEE All-Aligned,0.46648508947463087208
54,RUPEE All-Aligned,0.46614557118611133963
55,RUPEE All-Aligned,0.46581402667953603493
56,RUPEE All-Aligned,0.46549005790316560929
57,RUPEE All-Aligned,0.46517285347776528535
58,RUPEE All-Aligned,0.46485999579862995185
59,RUPEE All-Aligned,0.46455167520996935846
60,RUPEE All-Aligned,0.46424987256675863364
61,RUPEE All-Aligned,0.46395344313142594961
62,RUPEE All-Aligned,0.46366180905049565865
63,RUPEE All-Aligned,0.46337503088452437240
64,RUPEE All-Aligned,0.46309204752759718558
65,RUPEE All-Aligned,0.46281435447077416323
66,RUPEE All-Aligned,0.46254205743573157951
67,RUPEE All-Aligned,0.46227448444313056784
68,RUPEE All-Aligned,0.46201165992719652072
69,RUPEE All-Aligned,0.46175286955572753745
70,RUPEE All-Aligned,0.46149720958572956907
71,RUPEE All-Aligned,0.46124558366146389428
72,RUPEE All-Aligned,0.46099825537228259158
73,RUPEE All-Aligned,0.46075482709931578557
74,RUPEE All-Aligned,0.46051455210337193395
75,RUPEE All-Aligned,0.46027726345981246590
76,RUPEE All-Aligned,0.46004337612629067453
77,RUPEE All-Aligned,0.45981255686233020081
78,RUPEE All-Aligned,0.45958487892874649381
79,RUPEE All-Aligned,0.45935988684987654474
80,RUPEE All-Aligned,0.45913699968303661116
81,RUPEE All-Aligned,0.45891707072365047207
82,RUPEE All-Aligned,0.45869966285092131095
83,RUPEE All-Aligned,0.45848419356888638174
84,RUPEE All-Aligned,0.45827128609359026974
85,RUPEE All-Aligned,0.45806089064157534764
86,RUPEE All-Aligned,0.45785283230253228219
87,RUPEE All-Aligned,0.45764715766714957377
88,RUPEE All-Aligned,0.45744347532970085099
89,RUPEE All-Aligned,0.45724250217260612971
90,RUPEE All-Aligned,0.45704409057072573327
91,RUPEE All-Aligned,0.45684774940282833207
92,RUPEE All-Aligned,0.45665368229530900909
93,RUPEE All-Aligned,0.45646101312489864455
94,RUPEE All-Aligned,0.45627059029632093053
95,RUPEE All-Aligned,0.45608180052091168843
96,RUPEE All-Aligned,0.45589307719682814967
97,RUPEE All-Aligned,0.45570647110393509655
98,RUPEE All-Aligned,0.45552195565713741845
99,RUPEE All-Aligned,0.45533911539262770817
100,RUPEE All-Aligned,0.45515808509423516005
1,RUPEE Top-Aligned,0.50279000144069864667
2,RUPEE Top-Aligned,0.49981780118116258033
3,RUPEE Top-Aligned,0.49751479887550396378
4,RUPEE Top-Aligned,0.49546005417786217087
5,RUPEE Top-Aligned,0.49303294141349406375
6,RUPEE Top-Aligned,0.49106757752650760502
7,RUPEE Top-Aligned,0.48935813643217549730
8,RUPEE Top-Aligned,0.48775315455612108184
9,RUPEE Top-Aligned,0.48633343245909960364
10,RUPEE Top-Aligned,0.48506947739234656467
11,RUPEE Top-Aligned,0.48391889713711425402
12,RUPEE Top-Aligned,0.48237157458812074668
13,RUPEE Top-Aligned,0.48098521364178004673
14,RUPEE Top-Aligned,0.47973461927984114964
15,RUPEE Top-Aligned,0.47856527855807492294
16,RUPEE Top-Aligned,0.47749475433099955287
17,RUPEE Top-Aligned,0.47651418629873170639
18,RUPEE Top-Aligned,0.47560746148779289729
19,RUPEE Top-Aligned,0.47476955094465269641
20,RUPEE Top-Aligned,0.47397331755098504196
21,RUPEE Top-Aligned,0.47322287648466371872
22,RUPEE Top-Aligned,0.47251405291289606165
23,RUPEE Top-Aligned,0.47183075462526394445
24,RUPEE Top-Aligned,0.47113532889870920002
25,RUPEE Top-Aligned,0.47038910478627887091
26,RUPEE Top-Aligned,0.46963580034258396004
27,RUPEE Top-Aligned,0.46886308286526897010
28,RUPEE Top-Aligned,0.46812340120009868038
29,RUPEE Top-Aligned,0.46741461249912181140
30,RUPEE Top-Aligned,0.46673529421712868532
