n,app,alg,score_type,avg_cume_score
1,RUPEE Fast,CE,RMSD,0.00251560907774787290
2,RUPEE Fast,CE,RMSD,0.15776527717111819156
3,RUPEE Fast,CE,RMSD,0.22636403937850657558
4,RUPEE Fast,CE,RMSD,0.26870191963612404851
5,RUPEE Fast,CE,RMSD,0.30270547398623248178
6,RUPEE Fast,CE,RMSD,0.33288571888124912361
7,RUPEE Fast,CE,RMSD,0.36343656104192603677
8,RUPEE Fast,CE,RMSD,0.39312616205534893231
9,RUPEE Fast,CE,RMSD,0.41954688225795177928
10,RUPEE Fast,CE,RMSD,0.44410931493881391934
11,RUPEE Fast,CE,RMSD,0.46847625083605950719
12,RUPEE Fast,CE,RMSD,0.48635418852139623096
13,RUPEE Fast,CE,RMSD,0.50663774702429109592
14,RUPEE Fast,CE,RMSD,0.52614203380677742429
15,RUPEE Fast,CE,RMSD,0.54803241582940782972
16,RUPEE Fast,CE,RMSD,0.56922143526056246548
17,RUPEE Fast,CE,RMSD,0.58836150281691906429
18,RUPEE Fast,CE,RMSD,0.60332683553376487158
19,RUPEE Fast,CE,RMSD,0.62089011169442032876
20,RUPEE Fast,CE,RMSD,0.63814124719414938252
21,RUPEE Fast,CE,RMSD,0.65739180941348846295
22,RUPEE Fast,CE,RMSD,0.67395696398574238480
23,RUPEE Fast,CE,RMSD,0.69693315753357390538
24,RUPEE Fast,CE,RMSD,0.72056280178748611751
25,RUPEE Fast,CE,RMSD,0.74204699374714166082
26,RUPEE Fast,CE,RMSD,0.76468256058847905275
27,RUPEE Fast,CE,RMSD,0.78973153757166462171
28,RUPEE Fast,CE,RMSD,0.80862481953800391676
29,RUPEE Fast,CE,RMSD,0.83286647548566953083
30,RUPEE Fast,CE,RMSD,0.85524468121367978818
31,RUPEE Fast,CE,RMSD,0.87531530412906679671
32,RUPEE Fast,CE,RMSD,0.89567227798640101225
33,RUPEE Fast,CE,RMSD,0.91915738324852842950
34,RUPEE Fast,CE,RMSD,0.94115997065449381251
35,RUPEE Fast,CE,RMSD,0.96548669640999117906
36,RUPEE Fast,CE,RMSD,0.99323591246216919048
37,RUPEE Fast,CE,RMSD,1.01696485231337931228
38,RUPEE Fast,CE,RMSD,1.03857925007769336451
39,RUPEE Fast,CE,RMSD,1.05681021535115865343
40,RUPEE Fast,CE,RMSD,1.07557651003484612411
41,RUPEE Fast,CE,RMSD,1.09496070727185088554
42,RUPEE Fast,CE,RMSD,1.11252223644983688951
43,RUPEE Fast,CE,RMSD,1.13123124810958241255
44,RUPEE Fast,CE,RMSD,1.14862666087437306188
45,RUPEE Fast,CE,RMSD,1.16507692601609489216
46,RUPEE Fast,CE,RMSD,1.18122602885153656778
47,RUPEE Fast,CE,RMSD,1.19596628329510660390
48,RUPEE Fast,CE,RMSD,1.21046099116135396535
49,RUPEE Fast,CE,RMSD,1.22534166956950149573
50,RUPEE Fast,CE,RMSD,1.24173060394511745152
1,RUPEE RMSD,CE,RMSD,0.00000000000000000000
2,RUPEE RMSD,CE,RMSD,0.11272533069844352690
3,RUPEE RMSD,CE,RMSD,0.16670350615267515798
4,RUPEE RMSD,CE,RMSD,0.21369096452625557396
5,RUPEE RMSD,CE,RMSD,0.25158263598568120101
6,RUPEE RMSD,CE,RMSD,0.28423297353319186621
7,RUPEE RMSD,CE,RMSD,0.30958012298664954266
8,RUPEE RMSD,CE,RMSD,0.34289355143240224764
9,RUPEE RMSD,CE,RMSD,0.39088300629787491810
10,RUPEE RMSD,CE,RMSD,0.43477652449909922070
11,RUPEE RMSD,CE,RMSD,0.47224079894796197795
12,RUPEE RMSD,CE,RMSD,0.50207769905869137898
13,RUPEE RMSD,CE,RMSD,0.52818748530827245539
14,RUPEE RMSD,CE,RMSD,0.55423584583685794605
15,RUPEE RMSD,CE,RMSD,0.58610584858492388076
16,RUPEE RMSD,CE,RMSD,0.61005025446126236654
17,RUPEE RMSD,CE,RMSD,0.62225180927273498609
18,RUPEE RMSD,CE,RMSD,0.64900800901164456670
19,RUPEE RMSD,CE,RMSD,0.66928380104552802466
20,RUPEE RMSD,CE,RMSD,0.69177550212800120574
21,RUPEE RMSD,CE,RMSD,0.70964416646933859713
22,RUPEE RMSD,CE,RMSD,0.72826604173257463957
23,RUPEE RMSD,CE,RMSD,0.76061991232977954682
24,RUPEE RMSD,CE,RMSD,0.78646751966096922846
25,RUPEE RMSD,CE,RMSD,0.80697207928511625894
26,RUPEE RMSD,CE,RMSD,0.82534237201189608277
27,RUPEE RMSD,CE,RMSD,0.84634451187167524909
28,RUPEE RMSD,CE,RMSD,0.86812982541599048273
29,RUPEE RMSD,CE,RMSD,0.88924599928879189081
30,RUPEE RMSD,CE,RMSD,0.91462248365895356250
31,RUPEE RMSD,CE,RMSD,0.93715159295892951457
32,RUPEE RMSD,CE,RMSD,0.95210981474514525417
33,RUPEE RMSD,CE,RMSD,0.97220081447139270797
34,RUPEE RMSD,CE,RMSD,0.99307500244444964879
35,RUPEE RMSD,CE,RMSD,1.01341421624143460460
36,RUPEE RMSD,CE,RMSD,1.03101332154509914052
37,RUPEE RMSD,CE,RMSD,1.04269886818299210823
38,RUPEE RMSD,CE,RMSD,1.05608452734041709340
39,RUPEE RMSD,CE,RMSD,1.06708796364479727970
40,RUPEE RMSD,CE,RMSD,1.08210273954480417856
41,RUPEE RMSD,CE,RMSD,1.09462024006196981495
42,RUPEE RMSD,CE,RMSD,1.11267911991698940114
43,RUPEE RMSD,CE,RMSD,1.12956557688588790436
44,RUPEE RMSD,CE,RMSD,1.14154405639179141658
45,RUPEE RMSD,CE,RMSD,1.15429948846608470394
46,RUPEE RMSD,CE,RMSD,1.16543065632900978094
47,RUPEE RMSD,CE,RMSD,1.18378894988692178142
48,RUPEE RMSD,CE,RMSD,1.19660307209563662328
49,RUPEE RMSD,CE,RMSD,1.20651793314690227052
50,RUPEE RMSD,CE,RMSD,1.21927422423920506199
1,SSM,CE,RMSD,0.34866946026564834233
2,SSM,CE,RMSD,0.43337036187145475912
3,SSM,CE,RMSD,0.43923266462240279047
4,SSM,CE,RMSD,0.46424716925392579432
5,SSM,CE,RMSD,0.48982165366976793740
6,SSM,CE,RMSD,0.52085581206522008337
7,SSM,CE,RMSD,0.54235429118815508012
8,SSM,CE,RMSD,0.55488770965550810036
9,SSM,CE,RMSD,0.58598860709041969696
10,SSM,CE,RMSD,0.62375631401849622152
11,SSM,CE,RMSD,0.65149293969290826119
12,SSM,CE,RMSD,0.67472638624736937049
13,SSM,CE,RMSD,0.69875598094526665925
14,SSM,CE,RMSD,0.72045185460931241028
15,SSM,CE,RMSD,0.75060547794276435414
16,SSM,CE,RMSD,0.77879611490519091810
17,SSM,CE,RMSD,0.79743304963782779195
18,SSM,CE,RMSD,0.81872589025504558391
19,SSM,CE,RMSD,0.84019699101868855180
20,SSM,CE,RMSD,0.86271007111454909633
21,SSM,CE,RMSD,0.88271721085192913136
22,SSM,CE,RMSD,0.90472754734573803228
23,SSM,CE,RMSD,0.93045111679944498330
24,SSM,CE,RMSD,0.95142439602208530059
25,SSM,CE,RMSD,0.97988785987033501336
26,SSM,CE,RMSD,0.99473912313877875014
27,SSM,CE,RMSD,1.01619482311893619949
28,SSM,CE,RMSD,1.03527169087770876692
29,SSM,CE,RMSD,1.06082101536984115085
30,SSM,CE,RMSD,1.08055321069456211608
31,SSM,CE,RMSD,1.10531881432323836701
32,SSM,CE,RMSD,1.12645858356402681207
33,SSM,CE,RMSD,1.15529141473015751439
34,SSM,CE,RMSD,1.17781027122122038762
35,SSM,CE,RMSD,1.19928490624033096754
36,SSM,CE,RMSD,1.21720484998751528691
37,SSM,CE,RMSD,1.23260945078783466577
38,SSM,CE,RMSD,1.24474356293033864529
