n,app,alg,avg_cume_score
1,RUPEE Top-Aligned,TM_AVG,1.00000000000000000000
2,RUPEE Top-Aligned,TM_AVG,0.99743209804729217903
3,RUPEE Top-Aligned,TM_AVG,0.99527163688591909462
4,RUPEE Top-Aligned,TM_AVG,0.99320290945649086331
5,RUPEE Top-Aligned,TM_AVG,0.99145999530774116258
6,RUPEE Top-Aligned,TM_AVG,0.98976444157642047930
7,RUPEE Top-Aligned,TM_AVG,0.98805328287519347650
8,RUPEE Top-Aligned,TM_AVG,0.98643176793779216935
9,RUPEE Top-Aligned,TM_AVG,0.98415688318569389319
10,RUPEE Top-Aligned,TM_AVG,0.98222299235161366952
11,RUPEE Top-Aligned,TM_AVG,0.98041615602213107287
12,RUPEE Top-Aligned,TM_AVG,0.97872777210232188548
13,RUPEE Top-Aligned,TM_AVG,0.97684752030096810385
14,RUPEE Top-Aligned,TM_AVG,0.97506673735744046025
15,RUPEE Top-Aligned,TM_AVG,0.97316065977538406968
16,RUPEE Top-Aligned,TM_AVG,0.97116304798735433780
17,RUPEE Top-Aligned,TM_AVG,0.96912417257779213102
18,RUPEE Top-Aligned,TM_AVG,0.96715178824531336138
19,RUPEE Top-Aligned,TM_AVG,0.96511942797633420781
20,RUPEE Top-Aligned,TM_AVG,0.96325180361040643532
21,RUPEE Top-Aligned,TM_AVG,0.96132128175350852227
22,RUPEE Top-Aligned,TM_AVG,0.95941945784498848732
23,RUPEE Top-Aligned,TM_AVG,0.95711884302743996431
24,RUPEE Top-Aligned,TM_AVG,0.95495867023536188641
25,RUPEE Top-Aligned,TM_AVG,0.95265867382662260054
26,RUPEE Top-Aligned,TM_AVG,0.95048019090795358370
27,RUPEE Top-Aligned,TM_AVG,0.94842637520047679741
28,RUPEE Top-Aligned,TM_AVG,0.94644578155914977736
29,RUPEE Top-Aligned,TM_AVG,0.94416113571694054892
30,RUPEE Top-Aligned,TM_AVG,0.94192095436977883458
31,RUPEE Top-Aligned,TM_AVG,0.93977458929617248641
32,RUPEE Top-Aligned,TM_AVG,0.93763977894904582312
33,RUPEE Top-Aligned,TM_AVG,0.93558748672265087749
34,RUPEE Top-Aligned,TM_AVG,0.93358332694679538476
35,RUPEE Top-Aligned,TM_AVG,0.93142934815516052586
36,RUPEE Top-Aligned,TM_AVG,0.92925218684941415899
37,RUPEE Top-Aligned,TM_AVG,0.92708231175816170335
38,RUPEE Top-Aligned,TM_AVG,0.92483180935137688494
39,RUPEE Top-Aligned,TM_AVG,0.92264872875412331986
40,RUPEE Top-Aligned,TM_AVG,0.92054013514463543550
41,RUPEE Top-Aligned,TM_AVG,0.91848174890295201367
42,RUPEE Top-Aligned,TM_AVG,0.91648742963651231351
43,RUPEE Top-Aligned,TM_AVG,0.91456973900456123329
44,RUPEE Top-Aligned,TM_AVG,0.91272248442461148393
45,RUPEE Top-Aligned,TM_AVG,0.91091491626637674088
46,RUPEE Top-Aligned,TM_AVG,0.90916970305399421564
47,RUPEE Top-Aligned,TM_AVG,0.90748559603827291727
48,RUPEE Top-Aligned,TM_AVG,0.90586114351663282906
49,RUPEE Top-Aligned,TM_AVG,0.90425425224367196182
50,RUPEE Top-Aligned,TM_AVG,0.90268946203001543816
1,SSM,TM_AVG,0.98034111529065491452
2,SSM,TM_AVG,0.96951122371987715919
3,SSM,TM_AVG,0.97317011590252178785
4,SSM,TM_AVG,0.97056198315355194895
5,SSM,TM_AVG,0.96763449203977645626
6,SSM,TM_AVG,0.96428839094792176704
7,SSM,TM_AVG,0.96147053703031591982
8,SSM,TM_AVG,0.95975048737022957331
9,SSM,TM_AVG,0.95571217224063263111
10,SSM,TM_AVG,0.95154828657738329871
11,SSM,TM_AVG,0.94835221402340261965
12,SSM,TM_AVG,0.94575414672069228156
13,SSM,TM_AVG,0.94327985366820498865
14,SSM,TM_AVG,0.94059221079929321734
15,SSM,TM_AVG,0.93666863970849042238
16,SSM,TM_AVG,0.93384266196207371737
17,SSM,TM_AVG,0.93111729838124765768
18,SSM,TM_AVG,0.92748373633487639842
19,SSM,TM_AVG,0.92393010461795987130
20,SSM,TM_AVG,0.92107361606334439092
21,SSM,TM_AVG,0.91812247207739114611
22,SSM,TM_AVG,0.91542567964248791294
23,SSM,TM_AVG,0.91242157982882290983
24,SSM,TM_AVG,0.91006662282306257964
25,SSM,TM_AVG,0.90696616787072627119
26,SSM,TM_AVG,0.90484647537124000391
27,SSM,TM_AVG,0.90239450423148428855
28,SSM,TM_AVG,0.89996171027590829120
29,SSM,TM_AVG,0.89673797218604156757
30,SSM,TM_AVG,0.89417946232090729184
31,SSM,TM_AVG,0.89153973765633896598
32,SSM,TM_AVG,0.88860308919382001035
33,SSM,TM_AVG,0.88517086495629561315
34,SSM,TM_AVG,0.88222617459208632420
35,SSM,TM_AVG,0.87919080366312458277
36,SSM,TM_AVG,0.87674092350573763564
37,SSM,TM_AVG,0.87455698187310497868
38,SSM,TM_AVG,0.87269361401213495559
39,SSM,TM_AVG,0.87036269966824716461
40,SSM,TM_AVG,0.86876420811746736900
41,SSM,TM_AVG,0.86675483461476726295
42,SSM,TM_AVG,0.86499690598190685560
43,SSM,TM_AVG,0.86317119089820893117
44,SSM,TM_AVG,0.86161765482649599564
45,SSM,TM_AVG,0.85941250842551261087
46,SSM,TM_AVG,0.85761304158796524979
47,SSM,TM_AVG,0.85592061706048738991
48,SSM,TM_AVG,0.85387169509200219750
49,SSM,TM_AVG,0.85205260108242703659
50,SSM,TM_AVG,0.85020506358993068161
