n,app,alg,score_type,avg_cume_score
1,RUPEE Fast,FATCAT,RMSD,0.00251560907774787290
2,RUPEE Fast,FATCAT,RMSD,0.15814997401818292102
3,RUPEE Fast,FATCAT,RMSD,0.22950754939407691256
4,RUPEE Fast,FATCAT,RMSD,0.27660184243342000674
5,RUPEE Fast,FATCAT,RMSD,0.31177000082778134957
6,RUPEE Fast,FATCAT,RMSD,0.34235944816639905304
7,RUPEE Fast,FATCAT,RMSD,0.37514306387951720322
8,RUPEE Fast,FATCAT,RMSD,0.40136219317257156485
9,RUPEE Fast,FATCAT,RMSD,0.43353167403970417073
10,RUPEE Fast,FATCAT,RMSD,0.46026827826633062311
11,RUPEE Fast,FATCAT,RMSD,0.48975773032494586238
12,RUPEE Fast,FATCAT,RMSD,0.51070470676785552982
13,RUPEE Fast,FATCAT,RMSD,0.53418762272480515524
14,RUPEE Fast,FATCAT,RMSD,0.55380971638196722053
15,RUPEE Fast,FATCAT,RMSD,0.57476215517466085414
16,RUPEE Fast,FATCAT,RMSD,0.59382198653161001049
17,RUPEE Fast,FATCAT,RMSD,0.61372111918484108164
18,RUPEE Fast,FATCAT,RMSD,0.62782279603465994114
19,RUPEE Fast,FATCAT,RMSD,0.64491686929786133949
20,RUPEE Fast,FATCAT,RMSD,0.66124000923494332499
21,RUPEE Fast,FATCAT,RMSD,0.67758508606017840044
22,RUPEE Fast,FATCAT,RMSD,0.69326321667796499352
23,RUPEE Fast,FATCAT,RMSD,0.71533229144104307359
24,RUPEE Fast,FATCAT,RMSD,0.73605921815541481506
25,RUPEE Fast,FATCAT,RMSD,0.75500091850722724994
26,RUPEE Fast,FATCAT,RMSD,0.77357151971731236377
27,RUPEE Fast,FATCAT,RMSD,0.79516301015454456268
28,RUPEE Fast,FATCAT,RMSD,0.81101282950996204840
29,RUPEE Fast,FATCAT,RMSD,0.83134775109782913085
30,RUPEE Fast,FATCAT,RMSD,0.84972396494919977326
31,RUPEE Fast,FATCAT,RMSD,0.86670521773357124943
32,RUPEE Fast,FATCAT,RMSD,0.88173925232532128690
33,RUPEE Fast,FATCAT,RMSD,0.89878051714377538430
