n,app,alg,score_type,avg_cume_score
1,RUPEE Fast,TM_AVG,RMSD,1.00000000000000000000
2,RUPEE Fast,TM_AVG,RMSD,0.99268776686908226452
3,RUPEE Fast,TM_AVG,RMSD,0.98956554981497324247
4,RUPEE Fast,TM_AVG,RMSD,0.98759455831952326048
5,RUPEE Fast,TM_AVG,RMSD,0.98512819190083442065
6,RUPEE Fast,TM_AVG,RMSD,0.98291565356899161774
7,RUPEE Fast,TM_AVG,RMSD,0.98088287133801242396
8,RUPEE Fast,TM_AVG,RMSD,0.97909116426838385242
9,RUPEE Fast,TM_AVG,RMSD,0.97635296342508795323
10,RUPEE Fast,TM_AVG,RMSD,0.97371643301350277200
11,RUPEE Fast,TM_AVG,RMSD,0.97179072181881911692
12,RUPEE Fast,TM_AVG,RMSD,0.96990961233254711806
13,RUPEE Fast,TM_AVG,RMSD,0.96744333292422712851
14,RUPEE Fast,TM_AVG,RMSD,0.96440401325206530236
15,RUPEE Fast,TM_AVG,RMSD,0.96174436324174806615
16,RUPEE Fast,TM_AVG,RMSD,0.95976583460705589579
17,RUPEE Fast,TM_AVG,RMSD,0.95777221819180753214
18,RUPEE Fast,TM_AVG,RMSD,0.95541502648145867843
19,RUPEE Fast,TM_AVG,RMSD,0.95268632304924356133
20,RUPEE Fast,TM_AVG,RMSD,0.95031151184521326164
21,RUPEE Fast,TM_AVG,RMSD,0.94864392525176730491
22,RUPEE Fast,TM_AVG,RMSD,0.94700199902091168118
23,RUPEE Fast,TM_AVG,RMSD,0.94395866627256853978
24,RUPEE Fast,TM_AVG,RMSD,0.94156761251446453859
25,RUPEE Fast,TM_AVG,RMSD,0.93907815372458062934
26,RUPEE Fast,TM_AVG,RMSD,0.93680857231991010522
27,RUPEE Fast,TM_AVG,RMSD,0.93445654741415302924
28,RUPEE Fast,TM_AVG,RMSD,0.93162238653860890053
29,RUPEE Fast,TM_AVG,RMSD,0.92806644842833465289
30,RUPEE Fast,TM_AVG,RMSD,0.92544344631668205718
31,RUPEE Fast,TM_AVG,RMSD,0.92266276863851748161
32,RUPEE Fast,TM_AVG,RMSD,0.92003892294902530742
33,RUPEE Fast,TM_AVG,RMSD,0.91759893425706630901
34,RUPEE Fast,TM_AVG,RMSD,0.91552904652716576538
35,RUPEE Fast,TM_AVG,RMSD,0.91317742244172501730
36,RUPEE Fast,TM_AVG,RMSD,0.91056239992128869740
37,RUPEE Fast,TM_AVG,RMSD,0.90785975581894752174
38,RUPEE Fast,TM_AVG,RMSD,0.90518901260488534680
39,RUPEE Fast,TM_AVG,RMSD,0.90266306974238425368
40,RUPEE Fast,TM_AVG,RMSD,0.90027070472498157048
41,RUPEE Fast,TM_AVG,RMSD,0.89798555660438056393
42,RUPEE Fast,TM_AVG,RMSD,0.89588824130973085847
43,RUPEE Fast,TM_AVG,RMSD,0.89380607160021151744
44,RUPEE Fast,TM_AVG,RMSD,0.89192261804571882523
45,RUPEE Fast,TM_AVG,RMSD,0.88998165086453367286
46,RUPEE Fast,TM_AVG,RMSD,0.88782266286702003765
47,RUPEE Fast,TM_AVG,RMSD,0.88564990555146033918
48,RUPEE Fast,TM_AVG,RMSD,0.88340827068725228917
49,RUPEE Fast,TM_AVG,RMSD,0.88115057160418479599
50,RUPEE Fast,TM_AVG,RMSD,0.87896992184287224123
1,RUPEE RMSD,TM_AVG,RMSD,1.00000000000000000000
2,RUPEE RMSD,TM_AVG,RMSD,0.99093035765232937016
3,RUPEE RMSD,TM_AVG,RMSD,0.98330118776010871806
4,RUPEE RMSD,TM_AVG,RMSD,0.97868347594748350810
5,RUPEE RMSD,TM_AVG,RMSD,0.97299234850213994361
6,RUPEE RMSD,TM_AVG,RMSD,0.96497492896846248406
7,RUPEE RMSD,TM_AVG,RMSD,0.95975543827332552134
8,RUPEE RMSD,TM_AVG,RMSD,0.95662049976868647980
9,RUPEE RMSD,TM_AVG,RMSD,0.95052366815915462839
10,RUPEE RMSD,TM_AVG,RMSD,0.94692918155723082716
11,RUPEE RMSD,TM_AVG,RMSD,0.94396919837739202053
12,RUPEE RMSD,TM_AVG,RMSD,0.94032183830679491992
13,RUPEE RMSD,TM_AVG,RMSD,0.93646903695320124262
14,RUPEE RMSD,TM_AVG,RMSD,0.93256444618271361435
15,RUPEE RMSD,TM_AVG,RMSD,0.92841828371155982182
16,RUPEE RMSD,TM_AVG,RMSD,0.92508737855483676013
17,RUPEE RMSD,TM_AVG,RMSD,0.92307110955776177696
18,RUPEE RMSD,TM_AVG,RMSD,0.92009532768403979799
19,RUPEE RMSD,TM_AVG,RMSD,0.91670441841429926725
20,RUPEE RMSD,TM_AVG,RMSD,0.91396868624699138428
21,RUPEE RMSD,TM_AVG,RMSD,0.91126937690482441091
22,RUPEE RMSD,TM_AVG,RMSD,0.90900876768570587367
23,RUPEE RMSD,TM_AVG,RMSD,0.90471055994291664268
24,RUPEE RMSD,TM_AVG,RMSD,0.90128609557465128299
25,RUPEE RMSD,TM_AVG,RMSD,0.89871808421216591958
26,RUPEE RMSD,TM_AVG,RMSD,0.89682239769493325490
27,RUPEE RMSD,TM_AVG,RMSD,0.89474702761571501592
28,RUPEE RMSD,TM_AVG,RMSD,0.89188291742595805181
29,RUPEE RMSD,TM_AVG,RMSD,0.88971524232629700479
30,RUPEE RMSD,TM_AVG,RMSD,0.88661447157312322621
31,RUPEE RMSD,TM_AVG,RMSD,0.88393056144224660493
32,RUPEE RMSD,TM_AVG,RMSD,0.88135404650638111394
33,RUPEE RMSD,TM_AVG,RMSD,0.87885011044439916126
34,RUPEE RMSD,TM_AVG,RMSD,0.87644066940160628588
35,RUPEE RMSD,TM_AVG,RMSD,0.87431917930009353587
36,RUPEE RMSD,TM_AVG,RMSD,0.87213232607112525604
37,RUPEE RMSD,TM_AVG,RMSD,0.87000351854947484524
38,RUPEE RMSD,TM_AVG,RMSD,0.86822836399879779830
39,RUPEE RMSD,TM_AVG,RMSD,0.86638295542461393246
