n,app,alg,score_type,avg_cume_score
1,RUPEE Fast,TM_Q,RMSD,0.000000921462532794126650
2,RUPEE Fast,TM_Q,RMSD,0.1673708565766441117570
3,RUPEE Fast,TM_Q,RMSD,0.2425293566699452387312
4,RUPEE Fast,TM_Q,RMSD,0.2851567536643075305300
5,RUPEE Fast,TM_Q,RMSD,0.3209348460952504019356
6,RUPEE Fast,TM_Q,RMSD,0.3600100580232014577984
7,RUPEE Fast,TM_Q,RMSD,0.3895439950317181423063
8,RUPEE Fast,TM_Q,RMSD,0.4170342561659202741453
9,RUPEE Fast,TM_Q,RMSD,0.4507701258379742074734
10,RUPEE Fast,TM_Q,RMSD,0.4798354456713795381566
11,RUPEE Fast,TM_Q,RMSD,0.5045397359128555819704
12,RUPEE Fast,TM_Q,RMSD,0.5290317798411318412153
13,RUPEE Fast,TM_Q,RMSD,0.5523538770281293064853
14,RUPEE Fast,TM_Q,RMSD,0.5807400077941707762411
15,RUPEE Fast,TM_Q,RMSD,0.6040352986498385479836
16,RUPEE Fast,TM_Q,RMSD,0.6247348508849399721111
17,RUPEE Fast,TM_Q,RMSD,0.6388412660771175898668
18,RUPEE Fast,TM_Q,RMSD,0.6562877847371705083361
19,RUPEE Fast,TM_Q,RMSD,0.6783009187419981794749
20,RUPEE Fast,TM_Q,RMSD,0.6971667668764343194814
21,RUPEE Fast,TM_Q,RMSD,0.7112875893377691448149
22,RUPEE Fast,TM_Q,RMSD,0.7261849935431387819578
23,RUPEE Fast,TM_Q,RMSD,0.7461883714353344722276
24,RUPEE Fast,TM_Q,RMSD,0.7662528873861685883422
25,RUPEE Fast,TM_Q,RMSD,0.7886104084619996522901
26,RUPEE Fast,TM_Q,RMSD,0.8075311630504192245671
27,RUPEE Fast,TM_Q,RMSD,0.8293183473040062556588
28,RUPEE Fast,TM_Q,RMSD,0.8491455819791355173870
29,RUPEE Fast,TM_Q,RMSD,0.8703243482808730446086
30,RUPEE Fast,TM_Q,RMSD,0.8895447636551152246257
