n,app,avg_cume_score
1,RUPEE All-Aligned,0.37246958099476109523
2,RUPEE All-Aligned,0.40062824230793789862
3,RUPEE All-Aligned,0.41662926066626164190
4,RUPEE All-Aligned,0.44348487924825540885
5,RUPEE All-Aligned,0.46792263204166137923
6,RUPEE All-Aligned,0.48887646419668747421
7,RUPEE All-Aligned,0.51002890439129867407
8,RUPEE All-Aligned,0.52834628856085860527
9,RUPEE All-Aligned,0.54460008142043693111
10,RUPEE All-Aligned,0.55900443826860775375
11,RUPEE All-Aligned,0.57187286580556051296
12,RUPEE All-Aligned,0.58385188626332280026
13,RUPEE All-Aligned,0.59553249481910912676
14,RUPEE All-Aligned,0.60645270760360542817
15,RUPEE All-Aligned,0.61696709680954496192
16,RUPEE All-Aligned,0.62672163503291707948
17,RUPEE All-Aligned,0.63681283814034689350
18,RUPEE All-Aligned,0.64669862843907625736
19,RUPEE All-Aligned,0.65641866401138466069
20,RUPEE All-Aligned,0.66569011419613477797
21,RUPEE All-Aligned,0.67476728089973547346
22,RUPEE All-Aligned,0.68365262935993376767
23,RUPEE All-Aligned,0.69336779942624780053
24,RUPEE All-Aligned,0.70261342195453120170
25,RUPEE All-Aligned,0.71142737179116251933
26,RUPEE All-Aligned,0.72059183428561853523
27,RUPEE All-Aligned,0.73115690602941841689
28,RUPEE All-Aligned,0.74174280784534931841
29,RUPEE All-Aligned,0.75217641126987068617
30,RUPEE All-Aligned,0.76231889029296950292
31,RUPEE All-Aligned,0.77235637564326498658
32,RUPEE All-Aligned,0.78252506415466870826
33,RUPEE All-Aligned,0.79277216119590442219
34,RUPEE All-Aligned,0.80290772271486715086
35,RUPEE All-Aligned,0.81307935376202590399
36,RUPEE All-Aligned,0.82344920817004618732
37,RUPEE All-Aligned,0.83389406140143788349
38,RUPEE All-Aligned,0.84425844668829009349
39,RUPEE All-Aligned,0.85448067281632167671
40,RUPEE All-Aligned,0.86454980682323510517
41,RUPEE All-Aligned,0.87451682698908791700
42,RUPEE All-Aligned,0.88443467383653425710
43,RUPEE All-Aligned,0.89423260116541529540
44,RUPEE All-Aligned,0.90421534778733362597
45,RUPEE All-Aligned,0.91406633726353101718
46,RUPEE All-Aligned,0.92385577785154665210
47,RUPEE All-Aligned,0.93367069966347244527
48,RUPEE All-Aligned,0.94347320134389576816
49,RUPEE All-Aligned,0.95367151239172712085
50,RUPEE All-Aligned,0.96382412365554487506
51,RUPEE All-Aligned,0.97392843937482160928
52,RUPEE All-Aligned,0.98417088426979748348
53,RUPEE All-Aligned,0.99434489473032572896
54,RUPEE All-Aligned,1.00444370917234037979
55,RUPEE All-Aligned,1.01445340282388355315
56,RUPEE All-Aligned,1.02443213422641213327
57,RUPEE All-Aligned,1.03424933549743243171
58,RUPEE All-Aligned,1.04389735168555892683
59,RUPEE All-Aligned,1.05372840103429626991
60,RUPEE All-Aligned,1.06341282802693901254
61,RUPEE All-Aligned,1.07311831299063307450
62,RUPEE All-Aligned,1.08279459711085808493
63,RUPEE All-Aligned,1.09272167220108192925
64,RUPEE All-Aligned,1.10323207349959412747
65,RUPEE All-Aligned,1.11388631278008287038
66,RUPEE All-Aligned,1.12456523601100350340
67,RUPEE All-Aligned,1.13547413372345352097
68,RUPEE All-Aligned,1.14647346580879159496
69,RUPEE All-Aligned,1.15750944470831808177
70,RUPEE All-Aligned,1.16868183000088212761
71,RUPEE All-Aligned,1.17987325808171058994
72,RUPEE All-Aligned,1.19129547885413070383
73,RUPEE All-Aligned,1.20333232150314830383
74,RUPEE All-Aligned,1.21539846554013013416
75,RUPEE All-Aligned,1.22745789229832506337
76,RUPEE All-Aligned,1.23972776947374266856
77,RUPEE All-Aligned,1.25224093616048892168
78,RUPEE All-Aligned,1.26510218133663794454
79,RUPEE All-Aligned,1.27824580866274631760
80,RUPEE All-Aligned,1.29189487061555974529
81,RUPEE All-Aligned,1.30558903047946920696
82,RUPEE All-Aligned,1.31930690151881263979
83,RUPEE All-Aligned,1.33327902257139391283
84,RUPEE All-Aligned,1.34738919852980500078
85,RUPEE All-Aligned,1.36167068769892096342
86,RUPEE All-Aligned,1.37602967322330936914
87,RUPEE All-Aligned,1.39106718988268265302
88,RUPEE All-Aligned,1.40667196866773471210
89,RUPEE All-Aligned,1.42303961175864762274
90,RUPEE All-Aligned,1.43990578053889353183
91,RUPEE All-Aligned,1.45721806625533507675
