n,app,avg_cume_score
1,RUPEE All-Aligned,0.55851816641778342765
2,RUPEE All-Aligned,0.60473778993303660768
3,RUPEE All-Aligned,0.63596877745305234901
4,RUPEE All-Aligned,0.66549550508040088377
5,RUPEE All-Aligned,0.68870896554202756672
6,RUPEE All-Aligned,0.70878044365878781964
7,RUPEE All-Aligned,0.72736686344778972873
8,RUPEE All-Aligned,0.74358538853784257821
9,RUPEE All-Aligned,0.75830053209465604051
10,RUPEE All-Aligned,0.77251366537625206008
11,RUPEE All-Aligned,0.78627036210905861049
12,RUPEE All-Aligned,0.79903709890275331200
13,RUPEE All-Aligned,0.81121757148258609241
14,RUPEE All-Aligned,0.82283781954428271861
15,RUPEE All-Aligned,0.83433865230429289651
16,RUPEE All-Aligned,0.84542713715779295254
17,RUPEE All-Aligned,0.85649243001085179544
18,RUPEE All-Aligned,0.86733909214164066037
19,RUPEE All-Aligned,0.87774935395436614952
20,RUPEE All-Aligned,0.88795278048056830514
21,RUPEE All-Aligned,0.89771905890119182855
22,RUPEE All-Aligned,0.90730913814985482448
23,RUPEE All-Aligned,0.91658274408772025880
24,RUPEE All-Aligned,0.92577589170559114940
25,RUPEE All-Aligned,0.93473326858554652612
26,RUPEE All-Aligned,0.94358057547468600565
27,RUPEE All-Aligned,0.95232705971591917910
28,RUPEE All-Aligned,0.96088619156979326197
29,RUPEE All-Aligned,0.96963322764116521556
30,RUPEE All-Aligned,0.97825500776512090957
31,RUPEE All-Aligned,0.98691852902461431982
32,RUPEE All-Aligned,0.99549279960670036642
33,RUPEE All-Aligned,1.00388928145805976736
34,RUPEE All-Aligned,1.01207170459157210486
35,RUPEE All-Aligned,1.02030806541009903340
36,RUPEE All-Aligned,1.02842727899852970563
37,RUPEE All-Aligned,1.03632290606075231296
38,RUPEE All-Aligned,1.04434250293403507884
39,RUPEE All-Aligned,1.05228610042072456604
40,RUPEE All-Aligned,1.06009461908699027835
41,RUPEE All-Aligned,1.06777925777015708874
42,RUPEE All-Aligned,1.07553721575636815559
43,RUPEE All-Aligned,1.08333367461587273331
44,RUPEE All-Aligned,1.09118314056505050254
45,RUPEE All-Aligned,1.09904176056634266136
46,RUPEE All-Aligned,1.10740833568854594049
47,RUPEE All-Aligned,1.11572966026492218205
48,RUPEE All-Aligned,1.12402772129990170431
49,RUPEE All-Aligned,1.13233412670986419753
50,RUPEE All-Aligned,1.14066357718718426507
51,RUPEE All-Aligned,1.14899488995034360912
52,RUPEE All-Aligned,1.15733477740728741011
53,RUPEE All-Aligned,1.16568236349132353430
54,RUPEE All-Aligned,1.17418031348684045678
55,RUPEE All-Aligned,1.18283212809408868406
56,RUPEE All-Aligned,1.19145218391237802172
57,RUPEE All-Aligned,1.20000817791896249368
58,RUPEE All-Aligned,1.20856185274475884300
59,RUPEE All-Aligned,1.21712638290276899166
60,RUPEE All-Aligned,1.22573855622489941560
61,RUPEE All-Aligned,1.23427842137865617253
62,RUPEE All-Aligned,1.24288566592274070744
63,RUPEE All-Aligned,1.25146308584343834682
64,RUPEE All-Aligned,1.26005377577821173477
65,RUPEE All-Aligned,1.26862357545014261509
66,RUPEE All-Aligned,1.27728183935081670301
67,RUPEE All-Aligned,1.28596627271894290182
68,RUPEE All-Aligned,1.29484766404553808201
69,RUPEE All-Aligned,1.30374361000120456474
70,RUPEE All-Aligned,1.31265964131801680207
71,RUPEE All-Aligned,1.32208239728428277883
72,RUPEE All-Aligned,1.33151552698190026758
73,RUPEE All-Aligned,1.34102455990433410385
74,RUPEE All-Aligned,1.35053730270062668268
75,RUPEE All-Aligned,1.36014349593597498538
76,RUPEE All-Aligned,1.36980636923297677540
77,RUPEE All-Aligned,1.37969779184493575133
78,RUPEE All-Aligned,1.38965099474828753046
79,RUPEE All-Aligned,1.39965985569700310618
80,RUPEE All-Aligned,1.40987455405826114683
81,RUPEE All-Aligned,1.42017665459294007813
82,RUPEE All-Aligned,1.43074263486266081640
83,RUPEE All-Aligned,1.44158403174241544505
84,RUPEE All-Aligned,1.45264791245758050222
85,RUPEE All-Aligned,1.46407554656939525024
86,RUPEE All-Aligned,1.47581522116365971359
87,RUPEE All-Aligned,1.48801355773798388318
88,RUPEE All-Aligned,1.50059315012608503186
89,RUPEE All-Aligned,1.51403976938601372922
90,RUPEE All-Aligned,1.52812424452169310222
91,RUPEE All-Aligned,1.54274124474268679978
92,RUPEE All-Aligned,1.55770596257172664799
93,RUPEE All-Aligned,1.57369455725712377243
94,RUPEE All-Aligned,1.59057447507635286532
95,RUPEE All-Aligned,1.60839714966563006871
96,RUPEE All-Aligned,1.62744786272720303147
97,RUPEE All-Aligned,1.64893587782918232031
98,RUPEE All-Aligned,1.67255704060780027299
99,RUPEE All-Aligned,1.69899173157536456592
100,RUPEE All-Aligned,1.73010401465315362298
1,RUPEE Top-Aligned,1.19865460537916311092
2,RUPEE Top-Aligned,1.39079146918523739887
3,RUPEE Top-Aligned,1.51442666961045223753
4,RUPEE Top-Aligned,1.61709623789280546079
5,RUPEE Top-Aligned,1.71281421221785110415
6,RUPEE Top-Aligned,1.79899270518535523186
7,RUPEE Top-Aligned,1.87423531763611172526
8,RUPEE Top-Aligned,1.94193829867664699524
9,RUPEE Top-Aligned,1.99925608970188889810
