n,app,avg_cume_score
1,RUPEE All-Aligned,0.56065055034453380392
2,RUPEE All-Aligned,0.54984418826327494167
3,RUPEE All-Aligned,0.54468837263852612654
4,RUPEE All-Aligned,0.54117164473488631574
5,RUPEE All-Aligned,0.53518191688111541161
6,RUPEE All-Aligned,0.53072704187391230510
7,RUPEE All-Aligned,0.52694935275205788636
8,RUPEE All-Aligned,0.52386892304414356184
9,RUPEE All-Aligned,0.52135178184016430126
10,RUPEE All-Aligned,0.51917306567287068775
11,RUPEE All-Aligned,0.51725077763867112341
12,RUPEE All-Aligned,0.51554603413564501691
13,RUPEE All-Aligned,0.51404137802058864789
14,RUPEE All-Aligned,0.51261726771825120849
15,RUPEE All-Aligned,0.51132594013441489797
16,RUPEE All-Aligned,0.51013356225613038038
17,RUPEE All-Aligned,0.50902908603912082555
18,RUPEE All-Aligned,0.50802255233994977805
19,RUPEE All-Aligned,0.50708323833075559844
20,RUPEE All-Aligned,0.50619045471449497402
21,RUPEE All-Aligned,0.50534996511483902747
22,RUPEE All-Aligned,0.50455910715297226507
23,RUPEE All-Aligned,0.50380984365096750141
24,RUPEE All-Aligned,0.50309169727648833846
25,RUPEE All-Aligned,0.50239688223200549307
26,RUPEE All-Aligned,0.50173074759343375724
27,RUPEE All-Aligned,0.50109516816003679165
28,RUPEE All-Aligned,0.50048509280247891720
29,RUPEE All-Aligned,0.49988402305987985484
30,RUPEE All-Aligned,0.49930503847651329369
31,RUPEE All-Aligned,0.49871971193165020397
32,RUPEE All-Aligned,0.49811210234242425025
33,RUPEE All-Aligned,0.49752385187138853899
34,RUPEE All-Aligned,0.49695224677143285323
35,RUPEE All-Aligned,0.49640194373451877609
36,RUPEE All-Aligned,0.49587022341831337147
37,RUPEE All-Aligned,0.49535722717321432559
38,RUPEE All-Aligned,0.49485961574511724955
39,RUPEE All-Aligned,0.49437807686569298813
40,RUPEE All-Aligned,0.49391143021215930221
41,RUPEE All-Aligned,0.49345657675045683809
42,RUPEE All-Aligned,0.49300439330475747319
43,RUPEE All-Aligned,0.49256272398765577358
