No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 5f13A, 0.4397, 3.95, 0.082, 445, 73, STRUCTURE OF MN BOUND DUF89 FROM SACCHAROMYCES CEREVISIAE
2, 5f13C, 0.4364, 3.97, 0.082, 444, 73, STRUCTURE OF MN BOUND DUF89 FROM SACCHAROMYCES CEREVISIAE
3, 4h6hC, 0.4360, 2.70, 0.070, 80, 57, CRYSTAL STRUCTURE OF STAPHYLOCOCCAL COMPLEMENT INHIBITOR SCIN-B(4-85)
4, 5by0A, 0.4359, 3.99, 0.068, 458, 73, CRYSTAL STRUCTURE OF MAGNESIUM-BOUND DUF89 PROTEIN SACCHAROMYCES CEREVISIAE
5, 4h6hA, 0.4359, 2.70, 0.070, 79, 57, CRYSTAL STRUCTURE OF STAPHYLOCOCCAL COMPLEMENT INHIBITOR SCIN-B(4-85)
6, 4h6hB, 0.4358, 2.70, 0.070, 80, 57, CRYSTAL STRUCTURE OF STAPHYLOCOCCAL COMPLEMENT INHIBITOR SCIN-B(4-85)
7, 4h6hD, 0.4357, 2.70, 0.070, 80, 57, CRYSTAL STRUCTURE OF STAPHYLOCOCCAL COMPLEMENT INHIBITOR SCIN-B(4-85)
8, 3t4aG, 0.4338, 2.40, 0.036, 68, 56, STRUCTURE OF A TRUNCATED FORM OF STAPHYLOCOCCAL COMPLEMENT INHIBITOR B BOUND TO HUMAN C3C AT 3.4 ANGSTROM RESOLUTION
9, 3t4aH, 0.4337, 2.40, 0.036, 68, 56, STRUCTURE OF A TRUNCATED FORM OF STAPHYLOCOCCAL COMPLEMENT INHIBITOR B BOUND TO HUMAN C3C AT 3.4 ANGSTROM RESOLUTION
10, 1xfiA, 0.4283, 3.70, 0.101, 343, 69, X-RAY STRUCTURE OF GENE PRODUCT FROM ARABIDOPSIS THALIANA AT2G17340
