No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 6ic4B, 0.5559, 4.07, 0.138, 183, 94, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
2, 6ic4C, 0.5528, 4.00, 0.140, 183, 93, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
3, 6ic4A, 0.5474, 4.22, 0.125, 183, 96, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
4, 6ic4F, 0.5445, 3.93, 0.129, 183, 93, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
5, 6ic4D, 0.5445, 4.30, 0.135, 183, 96, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
6, 5uw2A, 0.5396, 3.99, 0.086, 112, 93, STRUCTURE OF E. COLI MCE PROTEIN MLAD PERIPLASMIC DOMAIN
7, 5uvnF, 0.5394, 4.17, 0.116, 416, 95, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
8, 5uvnE, 0.5394, 4.17, 0.116, 416, 95, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
9, 5uvnD, 0.5394, 4.17, 0.116, 416, 95, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
10, 5uvnC, 0.5394, 4.17, 0.116, 416, 95, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
11, 5uvnB, 0.5394, 4.17, 0.116, 416, 95, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
12, 5uvnA, 0.5394, 4.17, 0.116, 416, 95, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
13, 5uw2B, 0.5363, 3.94, 0.098, 110, 92, STRUCTURE OF E. COLI MCE PROTEIN MLAD PERIPLASMIC DOMAIN
14, 5uw2C, 0.5354, 3.96, 0.098, 110, 92, STRUCTURE OF E. COLI MCE PROTEIN MLAD PERIPLASMIC DOMAIN
15, 2pbkB, 0.5339, 4.01, 0.111, 227, 90, CRYSTAL STRUCTURE OF KSHV PROTEASE IN COMPLEX WITH HEXAPEPTIDE PHOSPHONATE INHIBITOR
16, 2pbkA, 0.5329, 4.02, 0.111, 228, 90, CRYSTAL STRUCTURE OF KSHV PROTEASE IN COMPLEX WITH HEXAPEPTIDE PHOSPHONATE INHIBITOR
17, 4v07A, 0.5284, 4.26, 0.130, 218, 92, DIMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.1 A RESOLUTION
18, 5uw8G, 0.5280, 3.79, 0.091, 106, 88, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
19, 5uw8D, 0.5270, 3.79, 0.091, 102, 88, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
20, 5uw8A, 0.5253, 3.81, 0.091, 105, 88, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
21, 5uw8E, 0.5244, 3.84, 0.091, 106, 88, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
22, 4v08B, 0.5244, 4.15, 0.132, 224, 91, INHIBITED DIMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2 A RESOLUTION
23, 4v07B, 0.5243, 4.15, 0.132, 224, 91, DIMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.1 A RESOLUTION
24, 4v08A, 0.5238, 3.94, 0.148, 213, 88, INHIBITED DIMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2 A RESOLUTION
25, 4v0tA, 0.5236, 4.03, 0.135, 220, 89, MONOMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.1 A RESOLUTION
26, 5uw8B, 0.5229, 3.78, 0.092, 98, 87, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
27, 4cx8A, 0.5228, 3.99, 0.135, 212, 89, MONOMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.5 A RESOLUTION
28, 1vzvA, 0.5223, 3.44, 0.098, 211, 82, STRUCTURE OF VARICELLA-ZOSTER VIRUS PROTEASE
29, 1fl1B, 0.5221, 3.92, 0.103, 207, 87, KSHV PROTEASE
30, 4v0tB, 0.5219, 3.94, 0.138, 215, 87, MONOMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.1 A RESOLUTION
31, 1njuC, 0.5213, 3.81, 0.093, 227, 86, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
32, 1njuD, 0.5201, 3.83, 0.093, 230, 86, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
33, 1at3A, 0.5201, 4.14, 0.078, 217, 90, HERPES SIMPLEX VIRUS TYPE II PROTEASE
34, 5uw8F, 0.5188, 3.83, 0.125, 103, 88, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
35, 5ur3B, 0.5187, 3.82, 0.094, 192, 85, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
36, 4cx8B, 0.5184, 3.96, 0.138, 206, 87, MONOMERIC PSEUDORABIES VIRUS PROTEASE PUL26N AT 2.5 A RESOLUTION
37, 2wpoA, 0.5182, 3.85, 0.093, 230, 86, HCMV PROTEASE INHIBITOR COMPLEX
38, 1nkkB, 0.5181, 3.93, 0.092, 226, 87, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
39, 2wpoB, 0.5180, 3.74, 0.106, 230, 85, HCMV PROTEASE INHIBITOR COMPLEX
40, 1njuA, 0.5179, 3.86, 0.093, 230, 86, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
41, 2wpoC, 0.5178, 3.76, 0.118, 230, 85, HCMV PROTEASE INHIBITOR COMPLEX
42, 1o6eB, 0.5174, 4.00, 0.089, 232, 90, EPSTEIN-BARR VIRUS PROTEASE
43, 5v5dB, 0.5170, 3.62, 0.110, 186, 82, ROOM TEMPERATURE (280K) CRYSTAL STRUCTURE OF KAPOSI S SARCOMA- ASSOCIATED HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR (COMPOUND 250)
44, 5uw8C, 0.5159, 3.61, 0.107, 101, 84, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
45, 2wpoD, 0.5157, 3.84, 0.081, 230, 86, HCMV PROTEASE INHIBITOR COMPLEX
46, 5v5eB, 0.5151, 3.64, 0.122, 181, 82, ROOM TEMPERATURE (280K) CRYSTAL STRUCTURE OF KAPOSI S SARCOMA- ASSOCIATED HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR (COMPOUND 733)
47, 5uv3B, 0.5151, 3.63, 0.110, 187, 82, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
48, 1njuB, 0.5146, 3.93, 0.093, 230, 86, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
49, 5uteB, 0.5139, 3.50, 0.111, 184, 81, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
50, 3njqB, 0.5139, 3.68, 0.096, 187, 83, CRYSTAL STRUCTURE OF KAPOSI S SARCOMA-ASSOCIATED HERPESVIRUS PROTEASE IN COMPLEX WITH DIMER DISRUPTOR
51, 1at3B, 0.5134, 4.25, 0.079, 217, 89, HERPES SIMPLEX VIRUS TYPE II PROTEASE
52, 1nkkC, 0.5131, 3.95, 0.069, 226, 87, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
53, 1nkkA, 0.5128, 3.93, 0.093, 222, 86, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
54, 4p2tA, 0.5126, 3.87, 0.095, 192, 84, CRYSTAL STRUCTURE OF KAPOSI S SARCOMA-ASSOCIATED HERPESVIRUS (KSHV) PROTEASE IN COMPLEX WITH A DIMER DISRUPTOR
55, 4p3hB, 0.5123, 3.76, 0.095, 185, 84, CRYSTAL STRUCTURE OF KAPOSI S SARCOMA-ASSOCIATED HERPESVIRUS (KSHV) PROTEASE IN COMPLEX WITH DIMER DISRUPTOR
56, 5utnA, 0.5115, 3.83, 0.095, 190, 84, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
57, 3njqA, 0.5110, 3.87, 0.095, 189, 84, CRYSTAL STRUCTURE OF KAPOSI S SARCOMA-ASSOCIATED HERPESVIRUS PROTEASE IN COMPLEX WITH DIMER DISRUPTOR
58, 5uvpB, 0.5109, 3.67, 0.096, 190, 83, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
59, 1nkkD, 0.5109, 3.87, 0.094, 220, 85, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
60, 4p3hA, 0.5101, 3.91, 0.095, 190, 84, CRYSTAL STRUCTURE OF KAPOSI S SARCOMA-ASSOCIATED HERPESVIRUS (KSHV) PROTEASE IN COMPLEX WITH DIMER DISRUPTOR
61, 5utnB, 0.5100, 3.88, 0.096, 188, 83, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
62, 4p2tB, 0.5097, 3.68, 0.096, 190, 83, CRYSTAL STRUCTURE OF KAPOSI S SARCOMA-ASSOCIATED HERPESVIRUS (KSHV) PROTEASE IN COMPLEX WITH A DIMER DISRUPTOR
63, 5v5eA, 0.5095, 4.03, 0.093, 188, 86, ROOM TEMPERATURE (280K) CRYSTAL STRUCTURE OF KAPOSI S SARCOMA- ASSOCIATED HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR (COMPOUND 733)
64, 5ur3A, 0.5093, 3.82, 0.096, 190, 83, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
65, 1njtD, 0.5087, 3.84, 0.094, 223, 85, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
66, 1njtB, 0.5087, 3.95, 0.094, 227, 85, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
67, 1o6eA, 0.5085, 4.05, 0.090, 225, 89, EPSTEIN-BARR VIRUS PROTEASE
68, 5v5dA, 0.5084, 3.94, 0.083, 191, 84, ROOM TEMPERATURE (280K) CRYSTAL STRUCTURE OF KAPOSI S SARCOMA- ASSOCIATED HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR (COMPOUND 250)
69, 5uteA, 0.5081, 3.83, 0.096, 191, 83, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
70, 1njtA, 0.5080, 3.93, 0.094, 226, 85, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
71, 5uvpA, 0.5076, 3.88, 0.096, 190, 83, KAPOSI S SARCOMA HERPESVIRUS PROTEASE IN COMPLEX WITH ALLOSTERIC INHIBITOR
72, 6ic4E, 0.5075, 4.29, 0.096, 183, 94, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
73, 1iedA, 0.5075, 3.93, 0.070, 214, 86, CRYSTAL STRUCTURE OF THE CATALYTIC SITE MUTANT (H157E) OF THE HUMAN CYTOMEGALOVIRUS PROTEASE
74, 1njtC, 0.5073, 3.85, 0.095, 222, 84, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
75, 1nkmA, 0.5072, 3.93, 0.094, 220, 85, COMPLEX STRUCTURE OF HCMV PROTEASE AND A PEPTIDOMIMETIC INHIBITOR
76, 1iegB, 0.5051, 3.75, 0.096, 223, 83, CRYSTAL STRUCTURE OF THE CATALYTIC SITE MUTANT S134A/H157A OF THE HUMAN CYTOMEGALOVIRUS PROTEASE
77, 1id4A, 0.5045, 3.69, 0.111, 208, 81, CRYSTAL STRUCTURE OF THE CATALYTIC SITE MUTANT (H157Q) OF THE HUMAN CYTOMEGALOVIRUS PROTEASE
78, 1jq7B, 0.5035, 3.85, 0.095, 217, 84, HCMV PROTEASE DIMER-INTERFACE MUTANT S225Y COMPLEXED TO INHIBITOR BILC 408
79, 1iefA, 0.5030, 3.56, 0.100, 208, 80, CRYSTAL STRUCTURE OF THE CATALYTIC SITE MUTANT S134A OF THE HUMAN CYTOMEGALOVIRUS PROTEASE
80, 1wpoA, 0.5023, 3.85, 0.096, 204, 83, HYDROLYTIC ENZYME HUMAN CYTOMEGALOVIRUS PROTEASE
