No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d2zxwO1, 1.0000, 0.00, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE (1-S X- RAY EXPOSURE DATASET)
2, d2eilO2, 0.9988, 0.12, 1.000, 89, 89, CADMIUM ION BINDING STRUCTURE OF BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY OXIDIZED STATE
3, d2dyrO2, 0.9987, 0.12, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE
4, d1v54O2, 0.9987, 0.12, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE
5, d3ablO1, 0.9985, 0.13, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE (15-S X-RAY EXPOSURE DATASET)
6, d2eilB2, 0.9985, 0.13, 1.000, 89, 89, CADMIUM ION BINDING STRUCTURE OF BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY OXIDIZED STATE
7, d2dyrB2, 0.9984, 0.13, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE
8, d1v54B2, 0.9984, 0.13, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE
9, d2zxwB1, 0.9983, 0.14, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE (1-S X- RAY EXPOSURE DATASET)
10, d2dysO2, 0.9982, 0.14, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE MODIFIED BY DCCD
11, d3asoO1, 0.9981, 0.15, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY OXIDIZED STATE MEASURED AT 0.9 ANGSTROM WAVELENGTH
12, d3asnO1, 0.9981, 0.15, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY OXIDIZED STATE MEASURED AT 1.7470 ANGSTROM WAVELENGTH
13, d3abmO1, 0.9981, 0.15, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE (200-S X-RAY EXPOSURE DATASET)
14, d2eikO2, 0.9981, 0.15, 1.000, 89, 89, CADMIUM ION BINDING STRUCTURE OF BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY REDUCED STATE
15, d2dysB2, 0.9981, 0.15, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE MODIFIED BY DCCD
16, d2eikB2, 0.9980, 0.15, 1.000, 89, 89, CADMIUM ION BINDING STRUCTURE OF BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY REDUCED STATE
17, d3x2qO1, 0.9979, 0.16, 1.000, 89, 89, X-RAY STRUCTURE OF CYANIDE-BOUND BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY OXIDIZED STATE AT 2.0 ANGSTROM RESOLUTION
18, d2eijO2, 0.9978, 0.16, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY REDUCED STATE
19, d1v55O2, 0.9978, 0.16, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY REDUCED STATE
20, d2eijB2, 0.9977, 0.16, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY REDUCED STATE
21, d2y69O1, 0.9976, 0.17, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE RE-REFINED WITH MOLECULAR OXYGEN
22, d1v55B2, 0.9976, 0.17, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY REDUCED STATE
23, d3asoB1, 0.9975, 0.17, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY OXIDIZED STATE MEASURED AT 0.9 ANGSTROM WAVELENGTH
24, d3asnB1, 0.9974, 0.17, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY OXIDIZED STATE MEASURED AT 1.7470 ANGSTROM WAVELENGTH
25, d5xdqO1, 0.9972, 0.18, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY OXIDIZED STATE WITH PH 7.3 AT 1.77 ANGSTROM RESOLUTION
26, d3abmB1, 0.9971, 0.18, 1.000, 89, 89, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE (200-S X-RAY EXPOSURE DATASET)
