No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1xvbF, 1.0000, 0.00, 1.000, 166, 166, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE: 6-BROMOHEXANOL SOAKED STRUCTURE
2, 1xvgF, 0.9990, 0.15, 1.000, 166, 166, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE: BROMOETHANOL SOAKED STRUCTURE
3, 1xu5F, 0.9990, 0.15, 1.000, 166, 166, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE-PHENOL SOAKED
4, 1xvcF, 0.9989, 0.16, 1.000, 166, 166, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE: 8-BROMOOCTANOL SOAKED STRUCTURE
5, 1xvfF, 0.9985, 0.18, 1.000, 166, 166, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE: CHLOROPROPANOL SOAKED STRUCTURE
6, 1fz7F, 0.9985, 0.18, 1.000, 167, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM III SOAKED IN 0.9 M ETHANOL
7, 1xu3F, 0.9983, 0.19, 1.000, 166, 166, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE-SOAKED WITH BROMOPHENOL
8, 1fz6F, 0.9983, 0.20, 1.000, 166, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II SOAKED IN 1 M METHANOL
9, 1xveF, 0.9981, 0.21, 1.000, 166, 166, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE: 3-BROMO-3- BUTENOL SOAKED STRUCTURE
10, 1xvdF, 0.9981, 0.20, 1.000, 166, 166, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE: 4-FLUOROPHENOL SOAKED STRUCTURE
11, 1xmfF, 0.9974, 0.25, 1.000, 166, 166, STRUCTURE OF MN(II)-SOAKED APO METHANE MONOOXYGENASE HYDROXYLASE CRYSTALS FROM M. CAPSULATUS (BATH)
12, 1fz0F, 0.9974, 0.26, 1.000, 168, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II MIXED-VALENT GROWN ANAEROBICALLY
13, 1fyzF, 0.9973, 0.26, 1.000, 168, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II REDUCED BY SOAKING
14, 1fz2F, 0.9972, 0.27, 1.000, 168, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II MIXED-VALENT GENERATED BY CRYSTAL SOAKING
15, 1fz3F, 0.9971, 0.28, 1.000, 168, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM III SOAK AT PH 6.2 (0.1 M PIPES)
16, 1fz1F, 0.9971, 0.28, 1.000, 168, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM III OXIDIZED
17, 1fz8F, 0.9969, 0.29, 1.000, 168, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II COCRYSTALLIZED WITH DIBROMOMETHANE
18, 1xmhF, 0.9966, 0.30, 1.000, 166, 166, STRUCTURE OF CO(II) RECONSTITUTED METHANE MONOOXYGENASE HYDROXYLASE FROM M. CAPSULATUS (BATH)
19, 1xmgF, 0.9966, 0.28, 1.000, 166, 166, CRYSTAL STRUCTURE OF APO METHANE MONOOXYGENASE HYDROXYLASE FROM M. CAPSULATUS (BATH)
20, 1fz5F, 0.9966, 0.30, 1.000, 168, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II CRYSTALLIZED ANAEROBICALLY FROM REDUCED ENZYME
21, 1fz4F, 0.9964, 0.30, 1.000, 168, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM III SOAKED AT PH 8.5 (0.1 M TRIS)
22, 1fz9E, 0.9957, 0.33, 1.000, 167, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II COCRYSTALLIZED WITH IODOETHANE
23, 1fz8E, 0.9955, 0.34, 1.000, 167, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II COCRYSTALLIZED WITH DIBROMOMETHANE
24, 1fz2E, 0.9955, 0.35, 0.994, 167, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II MIXED-VALENT GENERATED BY CRYSTAL SOAKING
25, 1fz0E, 0.9952, 0.36, 1.000, 167, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II MIXED-VALENT GROWN ANAEROBICALLY
26, 1fyzE, 0.9952, 0.36, 1.000, 167, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II REDUCED BY SOAKING
27, 1fzhF, 0.9951, 0.35, 1.000, 167, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II PRESSURIZED WITH XENON GAS
28, 1fz9F, 0.9948, 0.36, 1.000, 168, 166, METHANE MONOOXYGENASE HYDROXYLASE FORM II COCRYSTALLIZED WITH IODOETHANE
29, 1xmfE, 0.9903, 0.31, 1.000, 166, 165, STRUCTURE OF MN(II)-SOAKED APO METHANE MONOOXYGENASE HYDROXYLASE CRYSTALS FROM M. CAPSULATUS (BATH)
30, 1xmhE, 0.9898, 0.33, 1.000, 167, 165, STRUCTURE OF CO(II) RECONSTITUTED METHANE MONOOXYGENASE HYDROXYLASE FROM M. CAPSULATUS (BATH)
31, 1fz5E, 0.9898, 0.34, 1.000, 166, 165, METHANE MONOOXYGENASE HYDROXYLASE FORM II CRYSTALLIZED ANAEROBICALLY FROM REDUCED ENZYME
32, 1fz4E, 0.9898, 0.34, 1.000, 166, 165, METHANE MONOOXYGENASE HYDROXYLASE FORM III SOAKED AT PH 8.5 (0.1 M TRIS)
33, 1xvgE, 0.9897, 0.34, 0.994, 166, 165, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE: BROMOETHANOL SOAKED STRUCTURE
34, 1fz7E, 0.9897, 0.34, 1.000, 166, 165, METHANE MONOOXYGENASE HYDROXYLASE FORM III SOAKED IN 0.9 M ETHANOL
35, 1xvbE, 0.9896, 0.34, 0.994, 166, 165, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE: 6-BROMOHEXANOL SOAKED STRUCTURE
36, 1xu5E, 0.9896, 0.34, 0.994, 166, 165, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE-PHENOL SOAKED
37, 1xu3E, 0.9896, 0.34, 1.000, 166, 165, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE-SOAKED WITH BROMOPHENOL
38, 1fz3E, 0.9895, 0.35, 0.994, 166, 165, METHANE MONOOXYGENASE HYDROXYLASE FORM III SOAK AT PH 6.2 (0.1 M PIPES)
39, 1xveE, 0.9894, 0.36, 0.994, 166, 165, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE: 3-BROMO-3- BUTENOL SOAKED STRUCTURE
40, 1xvdE, 0.9894, 0.35, 1.000, 166, 165, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE: 4-FLUOROPHENOL SOAKED STRUCTURE
41, 1fz1E, 0.9894, 0.35, 0.994, 166, 165, METHANE MONOOXYGENASE HYDROXYLASE FORM III OXIDIZED
42, 1xvfE, 0.9892, 0.36, 1.000, 166, 165, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE: CHLOROPROPANOL SOAKED STRUCTURE
43, 1xvcE, 0.9892, 0.36, 0.994, 166, 165, SOLUBLE METHANE MONOOXYGENASE HYDROXYLASE: 8-BROMOOCTANOL SOAKED STRUCTURE
44, 1fz6E, 0.9891, 0.36, 1.000, 166, 165, METHANE MONOOXYGENASE HYDROXYLASE FORM II SOAKED IN 1 M METHANOL
45, 1xmgE, 0.9880, 0.39, 1.000, 166, 165, CRYSTAL STRUCTURE OF APO METHANE MONOOXYGENASE HYDROXYLASE FROM M. CAPSULATUS (BATH)
46, 4gamH, 0.9875, 0.40, 1.000, 166, 165, COMPLEX STRUCTURE OF METHANE MONOOXYGENASE HYDROXYLASE AND REGULATORY SUBUNIT
47, 4gamC, 0.9874, 0.40, 1.000, 166, 165, COMPLEX STRUCTURE OF METHANE MONOOXYGENASE HYDROXYLASE AND REGULATORY SUBUNIT
48, 4gamM, 0.9854, 0.47, 1.000, 166, 165, COMPLEX STRUCTURE OF METHANE MONOOXYGENASE HYDROXYLASE AND REGULATORY SUBUNIT
49, 4gamR, 0.9848, 0.49, 1.000, 166, 165, COMPLEX STRUCTURE OF METHANE MONOOXYGENASE HYDROXYLASE AND REGULATORY SUBUNIT
