No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 3rrcA, 1.0000, 0.00, 1.000, 276, 275, CRYSTAL STRUCTURE OF REGION II FROM PLASMODIUM VIVAX DUFFY BINDING PROTEIN
2, 4nuuA, 0.9877, 0.44, 0.996, 282, 273, HETEROTRIMER STRUCTURE OF REGION II FROM PLASMODIUM VIVAX DUFFY BINDING PROTEIN (PVDBP) BOUND TO THE ECTODOMAIN OF THE DUFFY ANTIGEN RECEPTOR FOR CHEMOKINES (DARC)
3, 4nuvA, 0.9845, 0.68, 0.985, 288, 274, HETEROTETRAMER STRUCTURE OF REGION II FROM PLASMODIUM VIVAX DUFFY BINDING PROTEIN (PVDBP) BOUND TO THE ECTODOMAIN OF THE DUFFY ANTIGEN RECEPTOR FOR CHEMOKINES (DARC)
4, 4nuuB, 0.9843, 0.88, 0.993, 292, 274, HETEROTRIMER STRUCTURE OF REGION II FROM PLASMODIUM VIVAX DUFFY BINDING PROTEIN (PVDBP) BOUND TO THE ECTODOMAIN OF THE DUFFY ANTIGEN RECEPTOR FOR CHEMOKINES (DARC)
5, 4nuvB, 0.9792, 0.63, 0.996, 288, 272, HETEROTETRAMER STRUCTURE OF REGION II FROM PLASMODIUM VIVAX DUFFY BINDING PROTEIN (PVDBP) BOUND TO THE ECTODOMAIN OF THE DUFFY ANTIGEN RECEPTOR FOR CHEMOKINES (DARC)
6, 3rrcB, 0.9657, 0.45, 1.000, 279, 267, CRYSTAL STRUCTURE OF REGION II FROM PLASMODIUM VIVAX DUFFY BINDING PROTEIN
7, 4yfsA, 0.9518, 1.51, 0.967, 285, 270, STRUCTURE OF THE SYNTHETIC DUFFY BINDING PROTEIN (DBP) ANTIGEN DEKNULL RELEVANT FOR MALARIA VACCINE DESIGN
8, 5x6nA, 0.9106, 1.52, 0.674, 273, 261, STRUCTURE OF P. KNOWLESI DBL DOMAIN CAPABLE OF BINDING HUMAN DUFFY ANTIGEN
9, 5f3jA, 0.8972, 0.83, 0.996, 251, 251, CRYSTAL STRUCTURE OF DBP IN COMPLEX WITH INHIBITORY MONOCLONAL ANTIBODY 2D10
10, 5f3jB, 0.8876, 0.79, 0.992, 249, 248, CRYSTAL STRUCTURE OF DBP IN COMPLEX WITH INHIBITORY MONOCLONAL ANTIBODY 2D10
11, 1zroB, 0.8361, 2.61, 0.340, 588, 259, CRYSTAL STRUCTURE OF EBA-175 REGION II (RII) CRYSTALLIZED IN THE PRESENCE OF (ALPHA)23-SIALYLLACTOSE
12, 1zroA, 0.8361, 2.61, 0.340, 588, 259, CRYSTAL STRUCTURE OF EBA-175 REGION II (RII) CRYSTALLIZED IN THE PRESENCE OF (ALPHA)23-SIALYLLACTOSE
13, 1zrlA, 0.8355, 2.62, 0.340, 583, 259, CRYSTAL STRUCTURE OF EBA-175 REGION II (RII)
14, 4qexB, 0.8336, 2.60, 0.337, 580, 258, CRYSTAL STRUCTURE OF PFEBA-175 RII IN COMPLEX WITH A FAB FRAGMENT FROM INHIBITORY ANTIBODY R217
15, 2xu0A, 0.8252, 3.38, 0.203, 447, 271, CRYSTAL STRUCTURE OF THE NTS-DBL1(ALPHA-1) DOMAIN OF THE PLASMODIUM FALCIPARUM MEMBRANE PROTEIN 1 (PFEMP1) FROM THE VARO STRAIN.
16, 5mzaA, 0.8157, 3.07, 0.254, 440, 264, THE DBLB DOMAIN OF PF11_0521 PFEMP1 BOUND TO HUMAN ICAM-1
17, 2yk0A, 0.8141, 3.48, 0.210, 698, 271, STRUCTURE OF THE N-TERMINAL NTS-DBL1-ALPHA AND CIDR-GAMMA DOUBLE DOMAIN OF THE PFEMP1 PROTEIN FROM PLASMODIUM FALCIPARUM VARO STRAIN.
18, 4gf2A, 0.8136, 2.99, 0.264, 595, 258, CRYSTAL STRUCTURE OF PLASMODIUM FALCIPARUM ERYTHROCYTE BINDING ANTIGEN 140 (PFEBA-140/BAEBL)
19, 4jnoA, 0.8113, 3.02, 0.264, 586, 258, CRYSTAL STRUCTURE OF PLASMODIUM FALCIPARUM ERYTHROCYTE BINDING ANTIGEN 140 (PFEBA-140/BAEBL) REGION II IN COMPLEX WITH SIALYLLACTOSE
20, 4k2uB, 0.8070, 2.51, 0.359, 257, 248, CRYSTAL STRUCTURE OF PFEBA-175 F1 IN COMPLEX WITH R218 ANTIBODY FAB FRAGMENT
21, 4qexA, 0.8025, 2.36, 0.339, 561, 245, CRYSTAL STRUCTURE OF PFEBA-175 RII IN COMPLEX WITH A FAB FRAGMENT FROM INHIBITORY ANTIBODY R217
22, 3cmlA, 0.7829, 3.09, 0.252, 317, 254, CRYSTAL STRUCTURE OF THE DBL3X DOMAIN OF THE PLASMODIUM FALCIPURUM VAR2CSA PROTEIN
23, 3bqkA, 0.7812, 3.29, 0.258, 338, 256, STRUCTURE OF A CHONDROITIN SULPHATE BINDING DBL3X FROM A VAR2CSA ENCODED PFEMP1 PROTEIN IN COMPLEX WITH SULPHATE
24, 3bqlA, 0.7800, 3.30, 0.258, 338, 256, STRUCTURE OF A CHONDROITIN SULPHATE BINDING DBL3X DOMAIN FROM A VAR2CSA ENCODED PFEMP1 PROTEIN
25, 4p1tA, 0.7781, 3.35, 0.258, 649, 256, CRYSTAL STRUCTURE OF THE DBL3X-DBL4EPSILON DOUBLE DOMAIN FROM THE EXTRACELLULAR PART OF VAR2CSA PFEMP1 FROM PLASMODIUM FALCIPARUM
26, 3bqiA, 0.7755, 3.35, 0.258, 328, 256, STRUCTURE OF A CHONDROITIN SULPHATE BINDING DBL3X FROM A VAR2CSA ENCODED PFEMP1 PROTEIN
27, 2y8dA, 0.7504, 2.97, 0.226, 281, 243, STRUCTURE OF DBL6 EPSILON DOMAIN FROM VAR2CSA STRAIN FCR3
28, 3cpzA, 0.7496, 3.16, 0.237, 297, 245, CRYSTAL STRUCTURE OF VAR2CSA DBL3X DOMAIN IN THE PRESENCE OF DODECASACCHARIDE OF CSA
29, 2wauA, 0.7290, 3.11, 0.202, 277, 242, STRUCTURE OF DBL6 EPSILON DOMAIN FROM VAR2CSA
30, 4k2uA, 0.7257, 2.31, 0.361, 230, 219, CRYSTAL STRUCTURE OF PFEBA-175 F1 IN COMPLEX WITH R218 ANTIBODY FAB FRAGMENT
31, 2wauB, 0.7076, 3.28, 0.198, 271, 237, STRUCTURE OF DBL6 EPSILON DOMAIN FROM VAR2CSA
32, 3vuvA, 0.6907, 3.29, 0.231, 276, 229, CRYSTAL STRUCTURE OF THE MEROZOITE SURFACE PROTEIN MSPDBL2 FROM P. FALCIPARUM BOUND TO ZINC
33, 3vuuA, 0.6828, 3.24, 0.231, 270, 225, CRYSTAL STRUCTURE OF THE MEROZOITE SURFACE PROTEIN MSPDBL2 FROM P. FALCIPARUM
