No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1e88A, 1.0000, 0.00, 1.000, 160, 59, SOLUTION STRUCTURE OF 6F11F22F2 A COMPACT THREE-MODULE FRAGMENT OF THE GELATIN-BINDING DOMAIN OF HUMAN FIBRONECTIN
2, 1e8bA, 0.9286, 0.87, 1.000, 160, 59, SOLUTION STRUCTURE OF 6F11F22F2 A COMPACT THREE-MODULE FRAGMENT OF THE GELATIN-BINDING DOMAIN OF HUMAN FIBRONECTIN
3, 3mqlA, 0.8274, 1.31, 1.000, 209, 59, CRYSTAL STRUCTURE OF THE FIBRONECTIN 6FNI1-2FNII7FNI FRAGMENT
4, 1l6jA, 0.8164, 1.65, 0.475, 405, 59, CRYSTAL STRUCTURE OF HUMAN MATRIX METALLOPROTEINASE MMP9 (GELATINASE B).
5, 5ao6A, 0.8065, 1.43, 0.475, 430, 59, ENDO180 D1-4 TRIGONAL FORM
6, 5ao6B, 0.8048, 1.44, 0.475, 436, 59, ENDO180 D1-4 TRIGONAL FORM
7, 5ao5A, 0.8023, 1.45, 0.475, 435, 59, ENDO180 D1-4 MONOCLINIC FORM
8, 5e4lA, 0.8017, 1.44, 0.475, 428, 59, STRUCTURE OF LIGAND BINDING REGION OF UPARAP AT PH 5.3
9, 1eakA, 0.7982, 1.48, 0.458, 421, 59, CATALYTIC DOMAIN OF PROMMP-2 E404Q MUTANT
10, 5e4lB, 0.7980, 1.46, 0.475, 386, 59, STRUCTURE OF LIGAND BINDING REGION OF UPARAP AT PH 5.3
11, 1ck7A, 0.7977, 1.84, 0.525, 619, 59, GELATINASE A (FULL-LENGTH)
12, 5ew6A, 0.7976, 1.46, 0.475, 442, 59, STRUCTURE OF LIGAND BINDING REGION OF UPARAP AT PH 7.4 WITHOUT CALCIUM
13, 5xtsA, 0.7953, 1.56, 0.542, 460, 59, CRYSTAL STRUCTURE OF THE CYSR-CTLD3 FRAGMENT OF HUMAN MR AT BASIC/NEUTRAL PH
14, 5xtwD, 0.7947, 1.53, 0.542, 443, 59, CRYSTAL STRUCTURE OF THE CYSR-CTLD2 FRAGMENT OF HUMAN MR AT ACIDIC PH
15, 5ao5B, 0.7929, 1.51, 0.475, 434, 59, ENDO180 D1-4 MONOCLINIC FORM
16, 5xtwE, 0.7926, 1.55, 0.525, 444, 59, CRYSTAL STRUCTURE OF THE CYSR-CTLD2 FRAGMENT OF HUMAN MR AT ACIDIC PH
17, 5xtwA, 0.7915, 1.56, 0.525, 443, 59, CRYSTAL STRUCTURE OF THE CYSR-CTLD2 FRAGMENT OF HUMAN MR AT ACIDIC PH
18, 5xtwG, 0.7912, 1.55, 0.525, 443, 59, CRYSTAL STRUCTURE OF THE CYSR-CTLD2 FRAGMENT OF HUMAN MR AT ACIDIC PH
19, 5xtwF, 0.7905, 1.57, 0.525, 442, 59, CRYSTAL STRUCTURE OF THE CYSR-CTLD2 FRAGMENT OF HUMAN MR AT ACIDIC PH
20, 5xtwB, 0.7888, 1.56, 0.525, 443, 59, CRYSTAL STRUCTURE OF THE CYSR-CTLD2 FRAGMENT OF HUMAN MR AT ACIDIC PH
21, 5e4kA, 0.7881, 1.57, 0.475, 424, 59, STRUCTURE OF LIGAND BINDING REGION OF UPARAP AT PH 7.4
22, 5xtwH, 0.7865, 1.57, 0.525, 441, 59, CRYSTAL STRUCTURE OF THE CYSR-CTLD2 FRAGMENT OF HUMAN MR AT ACIDIC PH
23, 1eakB, 0.7864, 1.92, 0.525, 419, 59, CATALYTIC DOMAIN OF PROMMP-2 E404Q MUTANT
24, 5xtwC, 0.7850, 1.57, 0.525, 441, 59, CRYSTAL STRUCTURE OF THE CYSR-CTLD2 FRAGMENT OF HUMAN MR AT ACIDIC PH
25, 1gxdB, 0.7842, 1.52, 0.458, 623, 59, PROMMP-2/TIMP-2 COMPLEX
26, 1eakC, 0.7821, 1.58, 0.458, 418, 59, CATALYTIC DOMAIN OF PROMMP-2 E404Q MUTANT
27, 1eakD, 0.7804, 1.56, 0.458, 419, 59, CATALYTIC DOMAIN OF PROMMP-2 E404Q MUTANT
28, 3m7pA, 0.7796, 1.67, 1.000, 301, 59, FIBRONECTIN FRAGMENT
29, 1gxdA, 0.7773, 1.57, 0.458, 624, 59, PROMMP-2/TIMP-2 COMPLEX
30, 1j7mA, 0.7719, 1.75, 0.525, 60, 59, THE THIRD FIBRONECTIN TYPE II MODULE FROM HUMAN MATRIX METALLOPROTEINASE 2
31, 2fn2A, 0.7636, 1.98, 1.000, 59, 59, SOLUTION NMR STRUCTURE OF THE GLYCOSYLATED SECOND TYPE TWO MODULE OF FIBRONECTIN 20 STRUCTURES
32, 1cxwA, 0.7364, 1.93, 0.509, 60, 57, THE SECOND TYPE II MODULE FROM HUMAN MATRIX METALLOPROTEINASE 2
33, 1ks0A, 0.7285, 1.87, 0.448, 59, 58, THE FIRST FIBRONECTIN TYPE II MODULE FROM HUMAN MATRIX METALLOPROTEINASE 2
