No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 2ahcD, 1.0000, 0.00, 1.000, 164, 164, CHORISMATE LYASE WITH INHIBITOR VANILATE
2, 2ahcB, 0.9850, 0.65, 1.000, 164, 164, CHORISMATE LYASE WITH INHIBITOR VANILATE
3, 1g81A, 0.9646, 0.98, 0.994, 164, 164, CHORISMATE LYASE WITH BOUND PRODUCT ORTHORHOMBIC CRYSTAL FORM
4, 1jd3A, 0.9645, 1.00, 0.994, 164, 164, CHORISMATE LYASE G90A MUTANT WITH BOUND PRODUCT
5, 2ahcA, 0.9639, 1.01, 1.000, 164, 164, CHORISMATE LYASE WITH INHIBITOR VANILATE
6, 1xlrA, 0.9629, 1.02, 0.994, 164, 164, CHORISMATE LYASE WITH INHIBITOR VANILLATE
7, 1fw9A, 0.9566, 1.08, 1.000, 164, 164, CHORISMATE LYASE WITH BOUND PRODUCT
8, 1tt8A, 0.9548, 1.10, 1.000, 164, 164, CHORISMATE LYASE WITH PRODUCT 1.0 A RESOLUTION
9, 1g1bA, 0.9515, 1.14, 0.988, 164, 164, CHORISMATE LYASE (WILD-TYPE) WITH BOUND PRODUCT
10, 1g1bB, 0.9490, 1.17, 0.988, 164, 164, CHORISMATE LYASE (WILD-TYPE) WITH BOUND PRODUCT
11, 2ahcC, 0.9477, 1.29, 1.000, 164, 164, CHORISMATE LYASE WITH INHIBITOR VANILATE
12, 2nwiA, 0.7162, 2.51, 0.177, 160, 141, CRYSTAL STRUCTURE OF PROTEIN AF1396 FROM ARCHAEOGLOBUS FULGIDUS PFAM DUF98
13, 2nwiD, 0.7140, 2.56, 0.177, 160, 141, CRYSTAL STRUCTURE OF PROTEIN AF1396 FROM ARCHAEOGLOBUS FULGIDUS PFAM DUF98
14, 2nwiE, 0.7127, 2.56, 0.177, 160, 141, CRYSTAL STRUCTURE OF PROTEIN AF1396 FROM ARCHAEOGLOBUS FULGIDUS PFAM DUF98
15, 2nwiF, 0.7115, 2.45, 0.173, 159, 139, CRYSTAL STRUCTURE OF PROTEIN AF1396 FROM ARCHAEOGLOBUS FULGIDUS PFAM DUF98
16, 2nwiC, 0.7073, 2.64, 0.177, 160, 141, CRYSTAL STRUCTURE OF PROTEIN AF1396 FROM ARCHAEOGLOBUS FULGIDUS PFAM DUF98
17, 2nwiB, 0.6872, 2.51, 0.170, 153, 135, CRYSTAL STRUCTURE OF PROTEIN AF1396 FROM ARCHAEOGLOBUS FULGIDUS PFAM DUF98
18, 4zsiA, 0.6619, 2.93, 0.163, 166, 135, CRYSTAL STRUCTURE OF THE EFFECTOR-BINDING DOMAIN OF DASR (DASR-EBD) IN COMPLEX WITH GLUCOSAMINE-6-PHOSPHATE
