No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 3to7A, 1.0000, 0.00, 1.000, 275, 275, CRYSTAL STRUCTURE OF YEAST ESA1 HAT DOMAIN BOUND TO COENZYME A WITH ACTIVE SITE LYSINE ACETYLATED
2, 3to6A, 0.9998, 0.08, 1.000, 275, 275, CRYSTAL STRUCTURE OF YEAST ESA1 HAT DOMAIN COMPLEXED WITH H4K16COA BISUBSTRATE INHIBITOR
3, 3to9A, 0.9988, 0.21, 0.996, 275, 275, CRYSTAL STRUCTURE OF YEAST ESA1 E338Q HAT DOMAIN BOUND TO COENZYME A WITH ACTIVE SITE LYSINE ACETYLATED
4, 1fy7A, 0.9880, 0.20, 1.000, 273, 272, CRYSTAL STRUCTURE OF YEAST ESA1 HISTONE ACETYLTRANSFERASE DOMAIN COMPLEXED WITH COENZYME A
5, 1mj9A, 0.9873, 0.26, 0.996, 273, 272, CRYSTAL STRUCTURE OF YEAST ESA1(C304S) MUTANT COMPLEXED WITH COENZYME 2 A
6, 1mjbA, 0.9843, 0.20, 0.996, 272, 271, CRYSTAL STRUCTURE OF YEAST ESA1 HISTONE ACETYLTRANSFERASE E338Q MUTANT COMPLEXED WITH ACETYL COENZYME A
7, 1mjaA, 0.9843, 0.20, 1.000, 272, 271, CRYSTAL STRUCTURE OF YEAST ESA1 HISTONE ACETYLTRANSFERASE DOMAIN COMPLEXED WITH ACETYL COENZYME A
8, 5j9wI, 0.9269, 1.90, 0.996, 277, 270, CRYSTAL STRUCTURE OF THE NUA4 CORE COMPLEX
9, 5j9wE, 0.9268, 1.90, 0.996, 277, 270, CRYSTAL STRUCTURE OF THE NUA4 CORE COMPLEX
10, 5j9tE, 0.9239, 1.94, 0.996, 277, 270, CRYSTAL STRUCTURE OF THE NUA4 CORE COMPLEX
11, 5j9tI, 0.9213, 1.92, 0.996, 276, 270, CRYSTAL STRUCTURE OF THE NUA4 CORE COMPLEX
12, 5j9wA, 0.9191, 1.96, 0.996, 277, 270, CRYSTAL STRUCTURE OF THE NUA4 CORE COMPLEX
13, 5j9tA, 0.9179, 2.06, 0.996, 277, 270, CRYSTAL STRUCTURE OF THE NUA4 CORE COMPLEX
14, 5wciA, 0.9108, 2.44, 0.489, 283, 272, HUMAN MYST HISTONE ACETYLTRANSFERASE 1
15, 5j9qE, 0.9090, 2.21, 0.993, 292, 270, CRYSTAL STRUCTURE OF THE NUA4 CORE COMPLEX
16, 5j9qA, 0.9087, 2.17, 0.993, 291, 270, CRYSTAL STRUCTURE OF THE NUA4 CORE COMPLEX
17, 5j9uA, 0.9083, 2.27, 0.996, 291, 271, CRYSTAL STRUCTURE OF THE NUA4 CORE COMPLEX
18, 5j9uE, 0.9077, 2.22, 0.996, 292, 270, CRYSTAL STRUCTURE OF THE NUA4 CORE COMPLEX
