No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 4ky9P, 1.0000, 0.00, 1.000, 275, 275, STRUCTURAL AND FUNCTIONAL ANALYSIS OF A PUTATIVE SUBSTRATE ACCESS TUNNEL IN THE CYTOSOLIC DOMAIN OF HUMAN ANION EXCHANGER 1
2, 1hynS, 0.9775, 1.05, 0.993, 293, 275, CRYSTAL STRUCTURE OF THE CYTOPLASMIC DOMAIN OF HUMAN ERYTHROCYTE BAND-3 PROTEIN
3, 1hynP, 0.9771, 1.04, 1.000, 293, 275, CRYSTAL STRUCTURE OF THE CYTOPLASMIC DOMAIN OF HUMAN ERYTHROCYTE BAND-3 PROTEIN
4, 1hynQ, 0.9689, 1.29, 0.993, 302, 275, CRYSTAL STRUCTURE OF THE CYTOPLASMIC DOMAIN OF HUMAN ERYTHROCYTE BAND-3 PROTEIN
5, 1hynR, 0.9679, 1.31, 0.993, 300, 275, CRYSTAL STRUCTURE OF THE CYTOPLASMIC DOMAIN OF HUMAN ERYTHROCYTE BAND-3 PROTEIN
6, 4ky9A, 0.9578, 1.25, 0.971, 276, 272, STRUCTURAL AND FUNCTIONAL ANALYSIS OF A PUTATIVE SUBSTRATE ACCESS TUNNEL IN THE CYTOSOLIC DOMAIN OF HUMAN ANION EXCHANGER 1
7, 5jhoA, 0.7170, 2.00, 0.398, 245, 211, CRYSTAL STRUCTURE OF THE REGULATORY DOMAIN OF THE SODIUM DRIVEN CHLORIDE BICARBONATE EXCHANGER.
8, 5jhoB, 0.7016, 1.94, 0.398, 228, 206, CRYSTAL STRUCTURE OF THE REGULATORY DOMAIN OF THE SODIUM DRIVEN CHLORIDE BICARBONATE EXCHANGER.
9, 3urrA, 0.4613, 2.72, 0.253, 152, 146, STRUCTURE OF PTS IIA-LIKE NITROGEN-REGULATORY PROTEIN PTSN (BTH_I0484) (PTSN)
10, 1a6jB, 0.4604, 2.85, 0.170, 157, 147, NITROGEN REGULATORY BACTERIAL PROTEIN IIA-NITROGEN
