No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d1xwfB2, 1.0000, 0.00, 1.000, 267, 267, K185N MUTATED S-ADENOSYLHOMOCYSTEINE HYDROLASE
2, d1xwfD2, 0.9998, 0.08, 1.000, 267, 267, K185N MUTATED S-ADENOSYLHOMOCYSTEINE HYDROLASE
3, d1xwfC2, 0.9998, 0.08, 1.000, 267, 267, K185N MUTATED S-ADENOSYLHOMOCYSTEINE HYDROLASE
4, d1xwfA2, 0.9998, 0.08, 1.000, 267, 267, K185N MUTATED S-ADENOSYLHOMOCYSTEINE HYDROLASE
5, d2h5lA2, 0.9869, 0.72, 0.996, 267, 267, S-ADENOSYLHOMOCYSTEINE HYDROLASE CONTAINING NAD AND 3-DEAZA- D-ERITADENINE
6, d2h5lD2, 0.9868, 0.72, 0.996, 267, 267, S-ADENOSYLHOMOCYSTEINE HYDROLASE CONTAINING NAD AND 3-DEAZA- D-ERITADENINE
7, d2h5lC2, 0.9868, 0.72, 0.996, 267, 267, S-ADENOSYLHOMOCYSTEINE HYDROLASE CONTAINING NAD AND 3-DEAZA- D-ERITADENINE
8, d2h5lB2, 0.9868, 0.72, 0.996, 267, 267, S-ADENOSYLHOMOCYSTEINE HYDROLASE CONTAINING NAD AND 3-DEAZA- D-ERITADENINE
9, d2h5lH2, 0.9867, 0.73, 0.996, 267, 267, S-ADENOSYLHOMOCYSTEINE HYDROLASE CONTAINING NAD AND 3-DEAZA- D-ERITADENINE
10, d2h5lG2, 0.9867, 0.73, 0.996, 267, 267, S-ADENOSYLHOMOCYSTEINE HYDROLASE CONTAINING NAD AND 3-DEAZA- D-ERITADENINE
11, d2h5lF2, 0.9867, 0.73, 0.996, 267, 267, S-ADENOSYLHOMOCYSTEINE HYDROLASE CONTAINING NAD AND 3-DEAZA- D-ERITADENINE
12, d2h5lE2, 0.9867, 0.73, 0.996, 267, 267, S-ADENOSYLHOMOCYSTEINE HYDROLASE CONTAINING NAD AND 3-DEAZA- D-ERITADENINE
13, d1k0uC2, 0.9854, 0.78, 0.996, 267, 267, INHIBITION OF S-ADENOSYLHOMOCYSTEINE HYDROLASE BY ACYCLIC SUGAR ADENOSINE ANALOGUE D-ERITADENINE
14, d1k0uB2, 0.9854, 0.77, 0.996, 267, 267, INHIBITION OF S-ADENOSYLHOMOCYSTEINE HYDROLASE BY ACYCLIC SUGAR ADENOSINE ANALOGUE D-ERITADENINE
15, d1k0uA2, 0.9854, 0.78, 0.996, 267, 267, INHIBITION OF S-ADENOSYLHOMOCYSTEINE HYDROLASE BY ACYCLIC SUGAR ADENOSINE ANALOGUE D-ERITADENINE
16, d1k0uD2, 0.9853, 0.78, 0.996, 267, 267, INHIBITION OF S-ADENOSYLHOMOCYSTEINE HYDROLASE BY ACYCLIC SUGAR ADENOSINE ANALOGUE D-ERITADENINE
17, d1k0uG2, 0.9848, 0.80, 0.996, 267, 267, INHIBITION OF S-ADENOSYLHOMOCYSTEINE HYDROLASE BY ACYCLIC SUGAR ADENOSINE ANALOGUE D-ERITADENINE
18, d1li4A2, 0.9839, 0.87, 0.955, 267, 267, HUMAN S-ADENOSYLHOMOCYSTEINE HYDROLASE COMPLEXED WITH NEPLANOCIN
19, d1k0uH2, 0.9834, 0.82, 0.996, 267, 267, INHIBITION OF S-ADENOSYLHOMOCYSTEINE HYDROLASE BY ACYCLIC SUGAR ADENOSINE ANALOGUE D-ERITADENINE
20, d1k0uF2, 0.9834, 0.83, 0.996, 267, 267, INHIBITION OF S-ADENOSYLHOMOCYSTEINE HYDROLASE BY ACYCLIC SUGAR ADENOSINE ANALOGUE D-ERITADENINE
21, d1k0uE2, 0.9827, 0.84, 0.996, 267, 267, INHIBITION OF S-ADENOSYLHOMOCYSTEINE HYDROLASE BY ACYCLIC SUGAR ADENOSINE ANALOGUE D-ERITADENINE
22, d1ky5D2, 0.9777, 0.96, 0.996, 267, 267, D244E MUTANT S-ADENOSYLHOMOCYSTEINE HYDROLASE REFINED WITH NONCRYSTALLOGRAPHIC RESTRAINTS
23, d1d4fD2, 0.9777, 0.97, 0.996, 267, 267, CRYSTAL STRUCTURE OF RECOMBINANT RAT-LIVER D244E MUTANT S- ADENOSYLHOMOCYSTEINE HYDROLASE
24, d1ky5C2, 0.9776, 0.96, 0.996, 267, 267, D244E MUTANT S-ADENOSYLHOMOCYSTEINE HYDROLASE REFINED WITH NONCRYSTALLOGRAPHIC RESTRAINTS
25, d1ky5A2, 0.9775, 0.97, 0.996, 267, 267, D244E MUTANT S-ADENOSYLHOMOCYSTEINE HYDROLASE REFINED WITH NONCRYSTALLOGRAPHIC RESTRAINTS
26, d1ky5B2, 0.9774, 0.97, 0.996, 267, 267, D244E MUTANT S-ADENOSYLHOMOCYSTEINE HYDROLASE REFINED WITH NONCRYSTALLOGRAPHIC RESTRAINTS
27, d1d4fA2, 0.9763, 1.01, 0.996, 267, 267, CRYSTAL STRUCTURE OF RECOMBINANT RAT-LIVER D244E MUTANT S- ADENOSYLHOMOCYSTEINE HYDROLASE
