No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d2lq7A1, 1.0000, 0.00, 1.000, 95, 95, E2 BINDING SURFACE ON UBA3 BETA-GRASP DOMAIN UNDERGOES A CONFORMATIONAL TRANSITION
2, d3dblB2, 0.7607, 2.46, 0.931, 431, 87, STRUCTURAL DISSECTION OF A GATING MECHANISM PREVENTING MISACTIVATION OF UBIQUITIN BY NEDD8 S E1 (APPBP1- UBA3ARG190WT-NEDD8ALA72GLN)
3, d3dbhB1, 0.7583, 2.54, 0.931, 431, 87, STRUCTURAL DISSECTION OF A GATING MECHANISM PREVENTING MISACTIVATION OF UBIQUITIN BY NEDD8 S E1 (APPBP1- UBA3ARG190ALA-NEDD8ALA72ARG)
4, d2nvuB1, 0.7570, 2.54, 0.931, 431, 87, STRUCTURE OF APPBP1-UBA3~NEDD8-NEDD8-MGATP-UBC12(C111A) A TRAPPED UBIQUITIN-LIKE PROTEIN ACTIVATION COMPLEX
5, d3dblD2, 0.7515, 2.54, 0.953, 430, 86, STRUCTURAL DISSECTION OF A GATING MECHANISM PREVENTING MISACTIVATION OF UBIQUITIN BY NEDD8 S E1 (APPBP1- UBA3ARG190WT-NEDD8ALA72GLN)
6, d3dbrB1, 0.7499, 2.41, 0.942, 431, 86, STRUCTURAL DISSECTION OF A GATING MECHANISM PREVENTING MISACTIVATION OF UBIQUITIN BY NEDD8 S E1 (APPBP1- UBA3ARG190GLN-NEDD8ALA72ARG)
7, d3dbhD1, 0.7422, 2.50, 0.931, 431, 87, STRUCTURAL DISSECTION OF A GATING MECHANISM PREVENTING MISACTIVATION OF UBIQUITIN BY NEDD8 S E1 (APPBP1- UBA3ARG190ALA-NEDD8ALA72ARG)
8, d3dbrD1, 0.7383, 2.47, 0.942, 431, 86, STRUCTURAL DISSECTION OF A GATING MECHANISM PREVENTING MISACTIVATION OF UBIQUITIN BY NEDD8 S E1 (APPBP1- UBA3ARG190GLN-NEDD8ALA72ARG)
9, d3dbrH1, 0.7375, 2.65, 0.953, 430, 86, STRUCTURAL DISSECTION OF A GATING MECHANISM PREVENTING MISACTIVATION OF UBIQUITIN BY NEDD8 S E1 (APPBP1- UBA3ARG190GLN-NEDD8ALA72ARG)
10, d1y8xB1, 0.7373, 2.45, 0.941, 430, 85, STRUCTURAL BASIS FOR RECRUITMENT OF UBC12 BY AN E2-BINDING DOMAIN IN NEDD8 S E1
11, d3dbrF1, 0.7372, 2.37, 0.928, 90, 83, STRUCTURAL DISSECTION OF A GATING MECHANISM PREVENTING MISACTIVATION OF UBIQUITIN BY NEDD8 S E1 (APPBP1- UBA3ARG190GLN-NEDD8ALA72ARG)
12, d3gznB_, 0.7363, 2.43, 0.941, 430, 85, STRUCTURE OF NEDD8-ACTIVATING ENZYME IN COMPLEX WITH NEDD8 AND MLN4924
13, d3fn1A_, 0.7354, 2.65, 0.906, 429, 85, E2-RING EXPANSION OF THE NEDD8 CASCADE CONFERS SPECIFICITY TO CULLIN MODIFICATION.
14, d3gznD_, 0.7337, 1.90, 0.938, 90, 81, STRUCTURE OF NEDD8-ACTIVATING ENZYME IN COMPLEX WITH NEDD8 AND MLN4924
15, d3dblF2, 0.7334, 2.31, 0.928, 429, 83, STRUCTURAL DISSECTION OF A GATING MECHANISM PREVENTING MISACTIVATION OF UBIQUITIN BY NEDD8 S E1 (APPBP1- UBA3ARG190WT-NEDD8ALA72GLN)
16, d3dbhH1, 0.7306, 2.59, 0.930, 430, 86, STRUCTURAL DISSECTION OF A GATING MECHANISM PREVENTING MISACTIVATION OF UBIQUITIN BY NEDD8 S E1 (APPBP1- UBA3ARG190ALA-NEDD8ALA72ARG)
17, d3dblH2, 0.7300, 2.49, 0.941, 430, 85, STRUCTURAL DISSECTION OF A GATING MECHANISM PREVENTING MISACTIVATION OF UBIQUITIN BY NEDD8 S E1 (APPBP1- UBA3ARG190WT-NEDD8ALA72GLN)
18, d3dbhF1, 0.7261, 2.49, 0.941, 430, 85, STRUCTURAL DISSECTION OF A GATING MECHANISM PREVENTING MISACTIVATION OF UBIQUITIN BY NEDD8 S E1 (APPBP1- UBA3ARG190ALA-NEDD8ALA72ARG)
19, p1y8rE3, 0.7072, 2.72, 0.930, 430, 86, SUMO E1 ACTIVATING ENZYME SAE1-SAE2-SUMO1-MG-ATP COMPLEX
20, p1y8qB2, 0.7021, 2.44, 0.169, 105, 83, SUMO E1 ACTIVATING ENZYME SAE1-SAE2-MG-ATP COMPLEX
21, p1y8qD2, 0.7004, 2.41, 0.183, 105, 82, SUMO E1 ACTIVATING ENZYME SAE1-SAE2-MG-ATP COMPLEX
22, p4w5vB_, 0.6963, 2.43, 0.183, 105, 82, CRYSTAL STRUCTURE OF HUMAN SUMO E2-CONJUGATING ENZYME (UBC9) IN COMPLEX WITH E1-ACTIVATING ENZYME (UBA2) UBIQUITIN FOLD DOMAIN (UFD)
23, p1y8rB3, 0.6962, 2.65, 0.181, 106, 83, SUMO E1 ACTIVATING ENZYME SAE1-SAE2-SUMO1-MG-ATP COMPLEX
24, p3kydB3, 0.6938, 2.65, 0.181, 106, 83, HUMAN SUMO E1~SUMO1-AMP TETRAHEDRAL INTERMEDIATE MIMIC
25, p3kycB2, 0.6932, 2.65, 0.181, 104, 83, HUMAN SUMO E1 COMPLEX WITH A SUMO1-AMP MIMIC
26, p5fq2B_, 0.6835, 2.51, 0.169, 103, 83, CRYSTAL STRUCTURE OF HUMAN SUMO E1 UFD DOMAIN IN COMPLEX WITH UBC9 IN A P422 SPACE GROUP.
27, p3ongA_, 0.6537, 2.48, 0.183, 103, 82, CRYSTAL STRUCTURE OF UBA2UFD-UBC9: INSIGHTS INTO E1-E2 INTERACTIONS IN SUMO PATHWAYS
28, p3onhA_, 0.6492, 2.36, 0.173, 100, 81, CRYSTAL STRUCTURE OF UBA2UFD-UBC9: INSIGHTS INTO E1-E2 INTERACTIONS IN SUMO PATHWAYS
29, p3ongC_, 0.6477, 2.89, 0.159, 114, 82, CRYSTAL STRUCTURE OF UBA2UFD-UBC9: INSIGHTS INTO E1-E2 INTERACTIONS IN SUMO PATHWAYS
30, d2i1sB_, 0.6099, 2.89, 0.159, 114, 82, CRYSTAL STRUCTURE OF PROTEIN OF UNKNOWN FUNCTION MM3350 FROM METHANOSARCINA MAZEI GO1
31, d2i1sA1, 0.6052, 2.92, 0.159, 113, 82, CRYSTAL STRUCTURE OF PROTEIN OF UNKNOWN FUNCTION MM3350 FROM METHANOSARCINA MAZEI GO1
32, p5l6hA3, 0.5905, 2.94, 0.159, 113, 82, UBA1 IN COMPLEX WITH UB-ABPA3 COVALENT ADDUCT
33, p5l6hC3, 0.5897, 3.08, 0.096, 181, 83, UBA1 IN COMPLEX WITH UB-ABPA3 COVALENT ADDUCT
34, p5tr4C4, 0.5887, 3.08, 0.096, 181, 83, STRUCTURE OF UBIQUITIN ACTIVATING ENZYME (UBA1) IN COMPLEX WITH UBIQUITIN AND TAK-243
35, p5l6iC3, 0.5820, 3.11, 0.096, 178, 83, UBA1 IN COMPLEX WITH UB-MLN4924 COVALENT ADDUCT
36, p5l6iA3, 0.5820, 3.15, 0.115, 110, 78, UBA1 IN COMPLEX WITH UB-MLN4924 COVALENT ADDUCT
37, d1r4mD_, 0.5781, 3.15, 0.115, 109, 78, APPBP1-UBA3-NEDD8 AN E1-UBIQUITIN-LIKE PROTEIN COMPLEX
38, d1r4mH_, 0.5779, 2.90, 0.133, 88, 75, APPBP1-UBA3-NEDD8 AN E1-UBIQUITIN-LIKE PROTEIN COMPLEX
39, d1r4mB_, 0.5773, 3.18, 0.099, 109, 81, APPBP1-UBA3-NEDD8 AN E1-UBIQUITIN-LIKE PROTEIN COMPLEX
40, d1r4mF_, 0.5772, 3.19, 0.099, 109, 81, APPBP1-UBA3-NEDD8 AN E1-UBIQUITIN-LIKE PROTEIN COMPLEX
41, p5tr4A4, 0.5761, 2.85, 0.557, 418, 70, STRUCTURE OF UBIQUITIN ACTIVATING ENZYME (UBA1) IN COMPLEX WITH UBIQUITIN AND TAK-243
42, d1r4nD_, 0.5677, 2.85, 0.557, 418, 70, APPBP1-UBA3-NEDD8 AN E1-UBIQUITIN-LIKE PROTEIN COMPLEX WITH ATP
43, d4icvA_, 0.5667, 2.94, 0.586, 418, 70, UBIQUITIN-LIKE DOMAIN OF HUMAN TUBULIN FOLDING COFACTOR E - CRYSTAL FORM B
44, d4icuD_, 0.5666, 2.94, 0.586, 418, 70, UBIQUITIN-LIKE DOMAIN OF HUMAN TUBULIN FOLDING COFACTOR E - CRYSTAL FROM A
45, d1r4nF_, 0.5665, 3.13, 0.114, 91, 79, APPBP1-UBA3-NEDD8 AN E1-UBIQUITIN-LIKE PROTEIN COMPLEX WITH ATP
46, d1r4nH_, 0.5664, 2.98, 0.597, 418, 72, APPBP1-UBA3-NEDD8 AN E1-UBIQUITIN-LIKE PROTEIN COMPLEX WITH ATP
47, d1r4nB_, 0.5654, 2.14, 0.185, 84, 65, APPBP1-UBA3-NEDD8 AN E1-UBIQUITIN-LIKE PROTEIN COMPLEX WITH ATP
48, p5l6jC4, 0.5641, 2.19, 0.200, 84, 65, UBA1 IN COMPLEX WITH UB-MLN7243 COVALENT ADDUCT
49, p3cmmC3, 0.5636, 2.98, 0.597, 418, 72, CRYSTAL STRUCTURE OF THE UBA1-UBIQUITIN COMPLEX
50, d4icuB_, 0.5632, 2.98, 0.597, 418, 72, UBIQUITIN-LIKE DOMAIN OF HUMAN TUBULIN FOLDING COFACTOR E - CRYSTAL FROM A
51, p5l6jA4, 0.5621, 2.82, 0.592, 418, 71, UBA1 IN COMPLEX WITH UB-MLN7243 COVALENT ADDUCT
52, p4nnjC4, 0.5616, 3.52, 0.071, 110, 84, CRYSTAL STRUCTURE OF UBA1 IN COMPLEX WITH UBIQUITIN-AMP AND THIOESTERIFIED UBIQUITIN
53, p4ii3A6, 0.5608, 3.58, 0.071, 110, 85, CRYSTAL STRUCTURE OF S. POMBE UBIQUITIN ACTIVATING ENZYME 1 (UBA1) IN COMPLEX WITH UBIQUITIN AND ATP/MG
54, p4ii3C6, 0.5605, 3.58, 0.071, 110, 85, CRYSTAL STRUCTURE OF S. POMBE UBIQUITIN ACTIVATING ENZYME 1 (UBA1) IN COMPLEX WITH UBIQUITIN AND ATP/MG
55, d4icuA_, 0.5600, 2.19, 0.200, 84, 65, UBIQUITIN-LIKE DOMAIN OF HUMAN TUBULIN FOLDING COFACTOR E - CRYSTAL FROM A
56, d4icuC_, 0.5595, 3.55, 0.071, 110, 85, UBIQUITIN-LIKE DOMAIN OF HUMAN TUBULIN FOLDING COFACTOR E - CRYSTAL FROM A
57, p5knlD5, 0.5588, 3.60, 0.071, 110, 85, CRYSTAL STRUCTURE OF S. POMBE UBIQUITIN E1 (UBA1) IN COMPLEX WITH UBC15 AND UBIQUITIN
