No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d2nt0D1, 1.0000, 0.00, 1.000, 143, 143, ACID-BETA-GLUCOSIDASE LOW PH GLYCEROL BOUND
2, d1ogsB1, 0.9988, 0.15, 1.000, 143, 143, HUMAN ACID-BETA-GLUCOSIDASE
3, d2nsxD1, 0.9987, 0.16, 1.000, 143, 143, STRUCTURE OF ACID-BETA-GLUCOSIDASE WITH PHARMACOLOGICAL CHAPERONE PROVIDES INSIGHT INTO GAUCHER DISEASE
4, d3gxfD1, 0.9980, 0.20, 1.000, 143, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE WITH ISOFAGOMINE AT NEUTRAL PH
5, d2nt0B1, 0.9979, 0.22, 1.000, 143, 143, ACID-BETA-GLUCOSIDASE LOW PH GLYCEROL BOUND
6, d2nsxB1, 0.9979, 0.21, 1.000, 143, 143, STRUCTURE OF ACID-BETA-GLUCOSIDASE WITH PHARMACOLOGICAL CHAPERONE PROVIDES INSIGHT INTO GAUCHER DISEASE
7, d3gxmD1, 0.9978, 0.21, 1.000, 143, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE AT PH 4.5 PHOSPHATE CRYSTALLIZATION CONDITION
8, d3gxiD1, 0.9978, 0.21, 1.000, 143, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE AT PH 5.5
9, d3gxmB1, 0.9977, 0.21, 1.000, 143, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE AT PH 4.5 PHOSPHATE CRYSTALLIZATION CONDITION
10, d3gxfB1, 0.9976, 0.22, 1.000, 143, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE WITH ISOFAGOMINE AT NEUTRAL PH
11, d2nt1B1, 0.9975, 0.22, 1.000, 143, 143, STRUCTURE OF ACID-BETA-GLUCOSIDASE AT NEUTRAL PH
12, d3gxiB1, 0.9973, 0.23, 1.000, 143, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE AT PH 5.5
13, d2nt1D1, 0.9973, 0.23, 1.000, 143, 143, STRUCTURE OF ACID-BETA-GLUCOSIDASE AT NEUTRAL PH
14, d2f61B1, 0.9972, 0.24, 1.000, 143, 143, CRYSTAL STRUCTURE OF PARTIALLY DEGLYCOSYLATED ACID BETA-GLUCOSIDASE
15, d3rikD1, 0.9969, 0.25, 1.000, 143, 143, THE ACID BETA-GLUCOSIDASE ACTIVE SITE EXHIBITS PLASTICITY IN BINDING 3456-TETRAHYDROXYAZEPANE-BASED INHIBITORS: IMPLICATIONS FOR PHARMACOLOGICAL CHAPERONE DESIGN FOR GAUCHER DISEASE
16, d3rilB1, 0.9951, 0.32, 1.000, 143, 143, THE ACID BETA-GLUCOSIDASE ACTIVE SITE EXHIBITS PLASTICITY IN BINDING 3456-TETRAHYDROXYAZEPANE-BASED INHIBITORS: IMPLICATIONS FOR PHARMACOLOGICAL CHAPERONE DESIGN FOR GAUCHER DISEASE
17, d1y7vB1, 0.9947, 0.33, 1.000, 143, 143, X-RAY STRUCTURE OF HUMAN ACID-BETA-GLUCOSIDASE COVALENTLY BOUND TO CONDURITOL B EPOXIDE
18, d3rikB1, 0.9945, 0.35, 1.000, 143, 143, THE ACID BETA-GLUCOSIDASE ACTIVE SITE EXHIBITS PLASTICITY IN BINDING 3456-TETRAHYDROXYAZEPANE-BASED INHIBITORS: IMPLICATIONS FOR PHARMACOLOGICAL CHAPERONE DESIGN FOR GAUCHER DISEASE
19, d3rilD1, 0.9933, 0.38, 1.000, 143, 143, THE ACID BETA-GLUCOSIDASE ACTIVE SITE EXHIBITS PLASTICITY IN BINDING 3456-TETRAHYDROXYAZEPANE-BASED INHIBITORS: IMPLICATIONS FOR PHARMACOLOGICAL CHAPERONE DESIGN FOR GAUCHER DISEASE
20, d2j25B1, 0.9928, 0.38, 1.000, 143, 143, PARTIALLY DEGLYCOSYLATED GLUCOCERAMIDASE
21, d3gxdB1, 0.9926, 0.40, 1.000, 143, 143, CRYSTAL STRUCTURE OF APO ACID-BETA-GLUCOSIDASE PH 4.5
22, d3gxdD1, 0.9915, 0.43, 1.000, 143, 143, CRYSTAL STRUCTURE OF APO ACID-BETA-GLUCOSIDASE PH 4.5
23, d2v3eB1, 0.9903, 0.46, 1.000, 143, 143, ACID-BETA-GLUCOSIDASE WITH N-NONYL-DEOXYNOJIRIMYCIN
24, d2v3dB1, 0.9884, 0.51, 1.000, 143, 143, ACID-BETA-GLUCOSIDASE WITH N-BUTYL-DEOXYNOJIRIMYCIN
25, d2nt1C1, 0.9850, 0.65, 1.000, 143, 143, STRUCTURE OF ACID-BETA-GLUCOSIDASE AT NEUTRAL PH
26, d3gxiA1, 0.9849, 0.65, 1.000, 143, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE AT PH 5.5
27, d3gxmC1, 0.9846, 0.65, 1.000, 143, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE AT PH 4.5 PHOSPHATE CRYSTALLIZATION CONDITION
28, d1y7vA1, 0.9846, 0.67, 1.000, 143, 143, X-RAY STRUCTURE OF HUMAN ACID-BETA-GLUCOSIDASE COVALENTLY BOUND TO CONDURITOL B EPOXIDE
29, d3gxfC1, 0.9845, 0.65, 1.000, 143, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE WITH ISOFAGOMINE AT NEUTRAL PH
30, d2nt1A1, 0.9845, 0.66, 1.000, 143, 143, STRUCTURE OF ACID-BETA-GLUCOSIDASE AT NEUTRAL PH
31, d3gxmA1, 0.9844, 0.66, 1.000, 143, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE AT PH 4.5 PHOSPHATE CRYSTALLIZATION CONDITION
32, d3gxfA1, 0.9844, 0.67, 1.000, 143, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE WITH ISOFAGOMINE AT NEUTRAL PH
33, d3gxiC1, 0.9843, 0.66, 1.000, 143, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE AT PH 5.5
