No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1jkvA, 1.0000, 0.00, 1.000, 266, 266, CRYSTAL STRUCTURE OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM COMPLEXED WITH AZIDE
2, 1jkvF, 0.9997, 0.09, 1.000, 266, 266, CRYSTAL STRUCTURE OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM COMPLEXED WITH AZIDE
3, 1jkvE, 0.9996, 0.12, 1.000, 266, 266, CRYSTAL STRUCTURE OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM COMPLEXED WITH AZIDE
4, 1jkvD, 0.9995, 0.12, 1.000, 266, 266, CRYSTAL STRUCTURE OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM COMPLEXED WITH AZIDE
5, 1jkvB, 0.9995, 0.12, 1.000, 266, 266, CRYSTAL STRUCTURE OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM COMPLEXED WITH AZIDE
6, 1jkvC, 0.9992, 0.16, 1.000, 266, 266, CRYSTAL STRUCTURE OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM COMPLEXED WITH AZIDE
7, 1jkuF, 0.9992, 0.16, 1.000, 266, 266, CRYSTAL STRUCTURE OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM
8, 1jkuA, 0.9992, 0.16, 1.000, 266, 266, CRYSTAL STRUCTURE OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM
9, 1jkuD, 0.9990, 0.19, 1.000, 266, 266, CRYSTAL STRUCTURE OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM
10, 1jkuB, 0.9990, 0.19, 1.000, 266, 266, CRYSTAL STRUCTURE OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM
11, 1jkuE, 0.9989, 0.19, 1.000, 266, 266, CRYSTAL STRUCTURE OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM
12, 1o9iB, 0.9988, 0.20, 0.996, 266, 266, CRYSTAL STRUCTURE OF THE Y42F MUTANT OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM AT 1.33A RESOLUTION
13, 1o9iA, 0.9987, 0.22, 0.996, 266, 266, CRYSTAL STRUCTURE OF THE Y42F MUTANT OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM AT 1.33A RESOLUTION
14, 1o9iF, 0.9986, 0.22, 0.996, 266, 266, CRYSTAL STRUCTURE OF THE Y42F MUTANT OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM AT 1.33A RESOLUTION
15, 1o9iE, 0.9986, 0.22, 0.996, 266, 266, CRYSTAL STRUCTURE OF THE Y42F MUTANT OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM AT 1.33A RESOLUTION
16, 1o9iC, 0.9985, 0.23, 0.996, 266, 266, CRYSTAL STRUCTURE OF THE Y42F MUTANT OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM AT 1.33A RESOLUTION
17, 1o9iD, 0.9984, 0.23, 0.996, 266, 266, CRYSTAL STRUCTURE OF THE Y42F MUTANT OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM AT 1.33A RESOLUTION
18, 1jkuC, 0.9982, 0.25, 1.000, 266, 266, CRYSTAL STRUCTURE OF MANGANESE CATALASE FROM LACTOBACILLUS PLANTARUM
19, 4r42C, 0.7655, 2.03, 0.268, 220, 220, CRYSTAL STRUCTURE OF KATB A MANGANESE CATALASE FROM ANABAENA PCC7120
20, 4r42A, 0.7623, 2.04, 0.260, 219, 219, CRYSTAL STRUCTURE OF KATB A MANGANESE CATALASE FROM ANABAENA PCC7120
21, 4r42B, 0.7616, 2.04, 0.265, 219, 219, CRYSTAL STRUCTURE OF KATB A MANGANESE CATALASE FROM ANABAENA PCC7120
22, 2v8uA, 0.6573, 2.16, 0.319, 302, 188, ATOMIC RESOLUTION STRUCTURE OF MN CATALASE FROM THERMUS THERMOPHILUS
23, 2v8tA, 0.6572, 2.19, 0.319, 302, 188, CRYSTAL STRUCTURE OF MN CATALASE FROM THERMUS THERMOPHILUS COMPLEXED WITH CHLORIDE
24, 2v8tB, 0.6566, 2.18, 0.319, 302, 188, CRYSTAL STRUCTURE OF MN CATALASE FROM THERMUS THERMOPHILUS COMPLEXED WITH CHLORIDE
25, 2cwlA, 0.6565, 2.19, 0.319, 299, 188, CRYSTAL STRUCTURE OF MANGANESE-FREE FORM OF PSEUDOCATALASE FROM THERMUS THERMOPHILUS HB8
26, 2v8uB, 0.6563, 2.18, 0.319, 302, 188, ATOMIC RESOLUTION STRUCTURE OF MN CATALASE FROM THERMUS THERMOPHILUS
27, 2cwlB, 0.6552, 2.21, 0.319, 298, 188, CRYSTAL STRUCTURE OF MANGANESE-FREE FORM OF PSEUDOCATALASE FROM THERMUS THERMOPHILUS HB8
