No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 2ze5A, 1.0000, 0.00, 1.000, 227, 227, CRYSTAL STRUCTURE OF ADENOSINE PHOSPHATE-ISOPENTENYLTRANSFERASE
2, 2ze6A, 0.9985, 0.22, 1.000, 227, 227, CRYSTAL STRUCTURE OF ADENOSINE PHOSPHATE-ISOPENTENYLTRANSFERASE COMPLEXED WITH SUBSTRATE ANALOG DMASPP
3, 2ze7A, 0.9920, 0.34, 1.000, 226, 226, CRYSTAL STRUCTURE OF ADENOSINE PHOSPHATE-ISOPENTENYLTRANSFERASE COMPLEXED WITH ZINC ION AND SUBSTRATE ANALOG DMASPP
4, 2ze8D, 0.9902, 0.41, 1.000, 226, 226, CRYSTAL STRUCTURE OF ADENOSINE PHOSPHATE-ISOPENTENYLTRANSFERASE COMPLEXED WITH DIPHOSPHATE
5, 2ze8A, 0.9902, 0.41, 1.000, 226, 226, CRYSTAL STRUCTURE OF ADENOSINE PHOSPHATE-ISOPENTENYLTRANSFERASE COMPLEXED WITH DIPHOSPHATE
6, 2ze8C, 0.9899, 0.43, 1.000, 226, 226, CRYSTAL STRUCTURE OF ADENOSINE PHOSPHATE-ISOPENTENYLTRANSFERASE COMPLEXED WITH DIPHOSPHATE
7, 2ze8B, 0.9895, 0.44, 1.000, 226, 226, CRYSTAL STRUCTURE OF ADENOSINE PHOSPHATE-ISOPENTENYLTRANSFERASE COMPLEXED WITH DIPHOSPHATE
8, 2zxuA, 0.7886, 2.41, 0.180, 306, 205, CRYSTAL STRUCTURE OF TRNA MODIFICATION ENZYME MIAA IN THE COMPLEX WITH TRNA(PHE) AND DMASPP
9, 2zxuB, 0.7880, 2.42, 0.180, 305, 205, CRYSTAL STRUCTURE OF TRNA MODIFICATION ENZYME MIAA IN THE COMPLEX WITH TRNA(PHE) AND DMASPP
10, 3a8tA, 0.7869, 3.13, 0.167, 289, 216, PLANT ADENYLATE ISOPENTENYLTRANSFERASE IN COMPLEX WITH ATP
11, 3fozA, 0.7859, 2.44, 0.185, 305, 205, STRUCTURE OF E. COLI ISOPENTENYL-TRNA TRANSFERASE IN COMPLEX WITH E. COLI TRNA(PHE)
12, 3fozB, 0.7829, 2.54, 0.180, 303, 206, STRUCTURE OF E. COLI ISOPENTENYL-TRNA TRANSFERASE IN COMPLEX WITH E. COLI TRNA(PHE)
13, 3crqA, 0.7817, 2.54, 0.161, 236, 205, STRUCTURE OF TRNA DIMETHYLALLYLTRANSFERASE: RNA MODIFICATION THROUGH A CHANNEL
14, 3crrA, 0.7788, 2.57, 0.161, 236, 205, STRUCTURE OF TRNA DIMETHYLALLYLTRANSFERASE: RNA MODIFICATION THROUGH A CHANNEL
15, 3crmA, 0.7748, 2.54, 0.167, 236, 204, STRUCTURE OF TRNA DIMETHYLALLYLTRANSFERASE: RNA MODIFICATION THROUGH A CHANNEL
16, 3ephA, 0.7682, 2.71, 0.176, 402, 205, CRYSTALLOGRAPHIC SNAPSHOTS OF EUKARYOTIC DIMETHYLALLYLTRANSFERASE ACTING ON TRNA: INSIGHT INTO TRNA RECOGNITION AND REACTION MECHANISM
17, 3ephB, 0.7681, 2.71, 0.176, 402, 205, CRYSTALLOGRAPHIC SNAPSHOTS OF EUKARYOTIC DIMETHYLALLYLTRANSFERASE ACTING ON TRNA: INSIGHT INTO TRNA RECOGNITION AND REACTION MECHANISM
18, 3epkB, 0.7673, 2.71, 0.176, 402, 205, CRYSTALLOGRAPHIC SNAPSHOTS OF EUKARYOTIC DIMETHYLALLYLTRANSFERASE ACTING ON TRNA: INSIGHT INTO TRNA RECOGNITION AND REACTION MECHANISM
19, 3epkA, 0.7672, 2.71, 0.171, 402, 205, CRYSTALLOGRAPHIC SNAPSHOTS OF EUKARYOTIC DIMETHYLALLYLTRANSFERASE ACTING ON TRNA: INSIGHT INTO TRNA RECOGNITION AND REACTION MECHANISM
20, 2zm5B, 0.7632, 2.48, 0.181, 298, 199, CRYSTAL STRUCTURE OF TRNA MODIFICATION ENZYME MIAA IN THE COMPLEX WITH TRNA(PHE)
21, 2zm5A, 0.7629, 2.48, 0.181, 299, 199, CRYSTAL STRUCTURE OF TRNA MODIFICATION ENZYME MIAA IN THE COMPLEX WITH TRNA(PHE)
