No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 2o9xA, 0.5482, 3.77, 0.065, 160, 93, CRYSTAL STRUCTURE OF A PUTATIVE REDOX ENZYME MATURATION PROTEIN FROM ARCHAEOGLOBUS FULGIDUS
2, 3cw0B, 0.5284, 3.89, 0.066, 203, 91, E.COLI DMSD
3, 3efpB, 0.5265, 3.77, 0.079, 208, 89, CRYSTAL STRUCTURE OF THE ESCHERICHIA COLI TWIN ARGININE LEADER PEPTIDE BINDING PROTEIN DMSD IN A MONOMERIC FORM
4, 3cw0A, 0.5261, 3.99, 0.066, 203, 91, E.COLI DMSD
5, 3u41H, 0.5251, 4.01, 0.076, 203, 92, CRYSTAL STRUCTURE OF ESCHERICHIA COLI DMSD IN SPACE GROUP P212121
6, 3u41G, 0.5245, 3.96, 0.076, 203, 92, CRYSTAL STRUCTURE OF ESCHERICHIA COLI DMSD IN SPACE GROUP P212121
7, 3u41D, 0.5240, 3.93, 0.066, 204, 91, CRYSTAL STRUCTURE OF ESCHERICHIA COLI DMSD IN SPACE GROUP P212121
8, 3u41C, 0.5239, 4.01, 0.076, 204, 92, CRYSTAL STRUCTURE OF ESCHERICHIA COLI DMSD IN SPACE GROUP P212121
9, 3cw0C, 0.5227, 4.04, 0.065, 203, 93, E.COLI DMSD
10, 3u41A, 0.5225, 3.98, 0.076, 204, 92, CRYSTAL STRUCTURE OF ESCHERICHIA COLI DMSD IN SPACE GROUP P212121
11, 3cw0D, 0.5224, 4.15, 0.075, 203, 93, E.COLI DMSD
12, 3u41F, 0.5213, 4.16, 0.065, 204, 93, CRYSTAL STRUCTURE OF ESCHERICHIA COLI DMSD IN SPACE GROUP P212121
13, 3efpA, 0.5211, 4.11, 0.074, 204, 94, CRYSTAL STRUCTURE OF THE ESCHERICHIA COLI TWIN ARGININE LEADER PEPTIDE BINDING PROTEIN DMSD IN A MONOMERIC FORM
14, 3u41B, 0.5209, 4.05, 0.054, 204, 93, CRYSTAL STRUCTURE OF ESCHERICHIA COLI DMSD IN SPACE GROUP P212121
15, 3u41E, 0.5134, 4.17, 0.097, 204, 93, CRYSTAL STRUCTURE OF ESCHERICHIA COLI DMSD IN SPACE GROUP P212121
