No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 4ei2M, 1.0000, 0.00, 1.000, 224, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
2, 4ei2J, 0.9834, 0.46, 1.000, 224, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
3, 4ei2D, 0.9821, 0.47, 1.000, 225, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
4, 4ei2K, 0.9814, 0.48, 1.000, 224, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
5, 4ei2A, 0.9802, 0.50, 1.000, 223, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
6, 4ro0n, 0.9801, 0.50, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
7, 4ro0M, 0.9791, 0.52, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
8, 4ro0t, 0.9789, 0.52, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
9, 4ro0J, 0.9782, 0.55, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
10, 4ro0H, 0.9780, 0.56, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
11, 4ei2H, 0.9780, 0.60, 1.000, 223, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
12, 4ro0q, 0.9778, 0.55, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
13, 4ro0r, 0.9777, 0.55, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
14, 4ro0b, 0.9776, 0.54, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
15, 4ro0a, 0.9776, 0.54, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
16, 4ei2L, 0.9775, 0.54, 1.000, 222, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
17, 4ro0P, 0.9774, 0.56, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
18, 4ro0T, 0.9773, 0.57, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
19, 4ro0C, 0.9773, 0.54, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
20, 4ro0Q, 0.9771, 0.57, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
21, 4ro0p, 0.9770, 0.55, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
22, 4ro0B, 0.9768, 0.57, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
23, 4ro0I, 0.9765, 0.58, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
24, 4ro0i, 0.9764, 0.57, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
25, 4ro0j, 0.9763, 0.58, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
26, 4ro0D, 0.9763, 0.56, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
27, 4ro0K, 0.9761, 0.57, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
28, 4ro0h, 0.9761, 0.58, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
29, 4ro0k, 0.9760, 0.58, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
30, 4ro0E, 0.9759, 0.56, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
31, 4ro0e, 0.9758, 0.58, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
32, 4ei2B, 0.9758, 0.58, 1.000, 222, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
33, 4ro0m, 0.9757, 0.58, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
34, 4ro0d, 0.9756, 0.57, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
35, 4ei2C, 0.9755, 0.56, 1.000, 224, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
36, 4ro0A, 0.9752, 0.58, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
37, 4ro0O, 0.9751, 0.58, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
38, 4ro0S, 0.9750, 0.59, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
39, 4ro0G, 0.9750, 0.60, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
40, 4ro0g, 0.9749, 0.59, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
41, 4ro0R, 0.9746, 0.58, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
42, 4ro0F, 0.9745, 0.59, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
43, 4ro0c, 0.9743, 0.59, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
44, 4ro0L, 0.9742, 0.59, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
45, 4ro0N, 0.9741, 0.58, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
46, 4ro0s, 0.9738, 0.60, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
47, 4ro0f, 0.9738, 0.60, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
48, 4ei2F, 0.9733, 0.63, 1.000, 223, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
49, 4ro0o, 0.9725, 0.62, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
50, 4ro0l, 0.9725, 0.61, 1.000, 221, 92, CRYSTAL STRUCTURE OF MTHK GATING RING IN A LIGAND-FREE FORM
51, 4ei2E, 0.9723, 0.63, 1.000, 223, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
52, 4ei2O, 0.9720, 0.46, 1.000, 221, 91, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
53, 2aemA, 0.9713, 0.61, 1.000, 226, 92, CRYSTAL STRUCTURES OF THE MTHK RCK DOMAIN
54, 4ei2G, 0.9667, 0.65, 1.000, 225, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
55, 4ei2N, 0.9661, 0.67, 1.000, 224, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
56, 2fy8B, 0.9643, 0.73, 1.000, 222, 92, CRYSTAL STRUCTURE OF MTHK RCK DOMAIN IN ITS LIGAND-FREE GATING-RING FORM
57, 4ei2I, 0.9619, 0.84, 1.000, 222, 92, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
58, 2fy8C, 0.9602, 0.75, 1.000, 222, 92, CRYSTAL STRUCTURE OF MTHK RCK DOMAIN IN ITS LIGAND-FREE GATING-RING FORM
59, 2fy8F, 0.9601, 0.76, 1.000, 222, 92, CRYSTAL STRUCTURE OF MTHK RCK DOMAIN IN ITS LIGAND-FREE GATING-RING FORM
60, 2fy8A, 0.9590, 0.77, 1.000, 222, 92, CRYSTAL STRUCTURE OF MTHK RCK DOMAIN IN ITS LIGAND-FREE GATING-RING FORM
61, 2fy8G, 0.9552, 0.79, 1.000, 222, 92, CRYSTAL STRUCTURE OF MTHK RCK DOMAIN IN ITS LIGAND-FREE GATING-RING FORM
62, 2fy8D, 0.9545, 0.84, 1.000, 222, 92, CRYSTAL STRUCTURE OF MTHK RCK DOMAIN IN ITS LIGAND-FREE GATING-RING FORM
63, 4ei2P, 0.9537, 0.73, 1.000, 221, 91, CRYSTAL STRUCTURES OF MTHK RCK GATING RING BOUND TO BARIUM
64, 2oguA, 0.9514, 0.91, 1.000, 221, 92, CRYSTAL STRUCTURE OF THE ISOLATED MTHK RCK DOMAIN
65, 2fy8E, 0.9495, 0.88, 1.000, 222, 92, CRYSTAL STRUCTURE OF MTHK RCK DOMAIN IN ITS LIGAND-FREE GATING-RING FORM
66, 4l73B, 0.9375, 1.04, 1.000, 222, 92, CA2+-BOUND MTHK RCK DOMAIN AT 2.5 ANGSTROM
67, 4l76E, 0.9347, 1.05, 1.000, 223, 92, CA2+-BOUND E212Q MUTANT MTHK RCK DOMAIN
68, 4l75D, 0.9344, 1.03, 1.000, 223, 92, CA2+-BOUND D184N MUTANT MTHK RCK DOMAIN AT 2.4 ANGSTROM
69, 4l76D, 0.9339, 1.05, 1.000, 222, 92, CA2+-BOUND E212Q MUTANT MTHK RCK DOMAIN
70, 4l75E, 0.9333, 1.07, 1.000, 221, 92, CA2+-BOUND D184N MUTANT MTHK RCK DOMAIN AT 2.4 ANGSTROM
71, 4l76F, 0.9327, 1.08, 1.000, 223, 92, CA2+-BOUND E212Q MUTANT MTHK RCK DOMAIN
72, 4l75F, 0.9327, 1.07, 1.000, 223, 92, CA2+-BOUND D184N MUTANT MTHK RCK DOMAIN AT 2.4 ANGSTROM
73, 4l73A, 0.9308, 1.05, 1.000, 224, 92, CA2+-BOUND MTHK RCK DOMAIN AT 2.5 ANGSTROM
74, 4l76B, 0.9307, 1.07, 1.000, 224, 92, CA2+-BOUND E212Q MUTANT MTHK RCK DOMAIN
75, 4l75B, 0.9297, 1.08, 1.000, 224, 92, CA2+-BOUND D184N MUTANT MTHK RCK DOMAIN AT 2.4 ANGSTROM
76, 3rbxA, 0.9295, 1.09, 1.000, 221, 92, MTHK RCK DOMAIN D184N MUTANT CA2+-BOUND
77, 3rbxB, 0.9293, 1.09, 1.000, 221, 92, MTHK RCK DOMAIN D184N MUTANT CA2+-BOUND
78, 4l76C, 0.9264, 1.12, 1.000, 221, 92, CA2+-BOUND E212Q MUTANT MTHK RCK DOMAIN
79, 4l76A, 0.9250, 1.13, 1.000, 227, 92, CA2+-BOUND E212Q MUTANT MTHK RCK DOMAIN
80, 4l75A, 0.9241, 1.13, 1.000, 229, 92, CA2+-BOUND D184N MUTANT MTHK RCK DOMAIN AT 2.4 ANGSTROM
81, 4l75C, 0.9213, 1.17, 1.000, 221, 92, CA2+-BOUND D184N MUTANT MTHK RCK DOMAIN AT 2.4 ANGSTROM
82, 3rbxE, 0.9191, 1.09, 1.000, 220, 91, MTHK RCK DOMAIN D184N MUTANT CA2+-BOUND
83, 3rbxC, 0.9190, 1.09, 1.000, 220, 91, MTHK RCK DOMAIN D184N MUTANT CA2+-BOUND
84, 2aejA, 0.9151, 1.21, 0.989, 224, 92, CRYSTAL STRUCTURES OF THE MTHK RCK DOMAIN IN NO CA2+ BOUND FORM
85, 3rbzA, 0.9122, 1.21, 1.000, 289, 92, MTHK CHANNEL CA2+-BOUND
86, 4l74B, 0.9118, 1.27, 1.000, 225, 92, CA2+-BOUND MTHK RCK DOMAIN AT 1.9 ANGSTROM WITH SINGLE LIGAND
87, 3rbzC, 0.9114, 1.21, 1.000, 286, 92, MTHK CHANNEL CA2+-BOUND
88, 3rbzB, 0.9114, 1.21, 1.000, 281, 92, MTHK CHANNEL CA2+-BOUND
89, 1lnqC, 0.9114, 1.21, 1.000, 301, 92, CRYSTAL STRUCTURE OF MTHK AT 3.3 A
90, 3rbzD, 0.9109, 1.22, 1.000, 285, 92, MTHK CHANNEL CA2+-BOUND
91, 1lnqA, 0.9109, 1.21, 1.000, 301, 92, CRYSTAL STRUCTURE OF MTHK AT 3.3 A
92, 3rbxF, 0.9087, 1.09, 1.000, 219, 90, MTHK RCK DOMAIN D184N MUTANT CA2+-BOUND
93, 3rbxD, 0.9086, 1.09, 1.000, 219, 90, MTHK RCK DOMAIN D184N MUTANT CA2+-BOUND
94, 1lnqE, 0.9086, 1.23, 1.000, 301, 92, CRYSTAL STRUCTURE OF MTHK AT 3.3 A
95, 1lnqG, 0.9083, 1.23, 1.000, 301, 92, CRYSTAL STRUCTURE OF MTHK AT 3.3 A
96, 3kxdA, 0.9081, 1.32, 0.989, 224, 92, CRYSTAL STRUCTURE OF THE MTHK RCK IN COMPLEX WITH CADMIUM
97, 4l74A, 0.9076, 1.31, 0.989, 224, 92, CA2+-BOUND MTHK RCK DOMAIN AT 1.9 ANGSTROM WITH SINGLE LIGAND
98, 1lnqB, 0.9071, 1.24, 1.000, 301, 92, CRYSTAL STRUCTURE OF MTHK AT 3.3 A
99, 1lnqD, 0.9069, 1.25, 1.000, 301, 92, CRYSTAL STRUCTURE OF MTHK AT 3.3 A
100, 1lnqF, 0.9022, 1.29, 1.000, 301, 92, CRYSTAL STRUCTURE OF MTHK AT 3.3 A
101, 1lnqH, 0.9019, 1.30, 1.000, 301, 92, CRYSTAL STRUCTURE OF MTHK AT 3.3 A
102, 2aefA, 0.9016, 0.98, 0.989, 221, 89, CRYSTAL STRUCTURES OF THE MTHK RCK DOMAIN IN CA2+ BOUND FORM
103, 2aejB, 0.9011, 1.29, 1.000, 220, 91, CRYSTAL STRUCTURES OF THE MTHK RCK DOMAIN IN NO CA2+ BOUND FORM
104, 2fy8H, 0.8969, 1.40, 1.000, 222, 92, CRYSTAL STRUCTURE OF MTHK RCK DOMAIN IN ITS LIGAND-FREE GATING-RING FORM
105, 2aefB, 0.8931, 1.30, 1.000, 219, 90, CRYSTAL STRUCTURES OF THE MTHK RCK DOMAIN IN CA2+ BOUND FORM
106, 3kxdB, 0.8881, 1.34, 1.000, 219, 90, CRYSTAL STRUCTURE OF THE MTHK RCK IN COMPLEX WITH CADMIUM
107, 2bkpA, 0.7796, 2.51, 0.258, 193, 89, STRUCTURE ANALYSIS OF UNKNOWN FUNCTION PROTEIN
108, 2bknA, 0.7765, 2.12, 0.264, 190, 87, STRUCTURE ANALYSIS OF UNKNOWN FUNCTION PROTEIN
109, 2bkoA, 0.7762, 2.50, 0.258, 190, 89, STRUCTURE ANALYSIS OF UNKNOWN FUNCTION PROTEIN
110, 1vctA, 0.7762, 2.11, 0.264, 193, 87, CRYSTAL STRUCTURE OF PUTATIVE POTASSIUM CHANNEL RELATED PROTEIN FROM PYROCOCCUS HORIKOSHII
111, 5tj6A, 0.7483, 2.45, 0.124, 890, 89, CA2+ BOUND APLYSIA SLO1
112, 4xttB, 0.7470, 1.97, 0.277, 85, 83, STRUCTURAL STUDIES OF POTASSIUM TRANSPORT PROTEIN KTRA REGULATOR OF CONDUCTANCE OF K+ (RCK) C DOMAIN IN COMPLEX WITH CYCLIC DIADENOSINE MONOPHOSPHATE (C-DI-AMP)
113, 4xttA, 0.7450, 2.09, 0.271, 85, 85, STRUCTURAL STUDIES OF POTASSIUM TRANSPORT PROTEIN KTRA REGULATOR OF CONDUCTANCE OF K+ (RCK) C DOMAIN IN COMPLEX WITH CYCLIC DIADENOSINE MONOPHOSPHATE (C-DI-AMP)
114, 3nafA, 0.7443, 2.63, 0.156, 648, 90, STRUCTURE OF THE INTRACELLULAR GATING RING FROM THE HUMAN HIGH- CONDUCTANCE CA2+ GATED K+ CHANNEL (BK CHANNEL)
115, 4g65B, 0.7431, 2.60, 0.186, 447, 86, POTASSIUM TRANSPORTER PERIPHERAL MEMBRANE COMPONENT (TRKA) FROM VIBRIO VULNIFICUS
116, 4j9vA, 0.7409, 2.46, 0.186, 456, 86, CRYSTAL STRUCTURE OF THE TRKA GATING RING BOUND TO ATP-GAMMA-S
117, 3mt5A, 0.7347, 2.44, 0.149, 593, 87, CRYSTAL STRUCTURE OF THE HUMAN BK GATING APPARATUS
118, 3u6nB, 0.7212, 2.34, 0.140, 585, 86, OPEN STRUCTURE OF THE BK CHANNEL GATING RING
119, 3u6nA, 0.7212, 2.34, 0.140, 585, 86, OPEN STRUCTURE OF THE BK CHANNEL GATING RING
120, 3u6nH, 0.7211, 2.34, 0.140, 585, 86, OPEN STRUCTURE OF THE BK CHANNEL GATING RING
121, 3u6nD, 0.7211, 2.34, 0.140, 585, 86, OPEN STRUCTURE OF THE BK CHANNEL GATING RING
122, 3u6nC, 0.7211, 2.34, 0.140, 585, 86, OPEN STRUCTURE OF THE BK CHANNEL GATING RING
123, 3u6nE, 0.7210, 2.34, 0.140, 585, 86, OPEN STRUCTURE OF THE BK CHANNEL GATING RING
124, 3u6nF, 0.7208, 2.34, 0.140, 585, 86, OPEN STRUCTURE OF THE BK CHANNEL GATING RING
125, 3u6nG, 0.7207, 2.34, 0.140, 585, 86, OPEN STRUCTURE OF THE BK CHANNEL GATING RING
126, 4j9vB, 0.7187, 2.65, 0.186, 454, 86, CRYSTAL STRUCTURE OF THE TRKA GATING RING BOUND TO ATP-GAMMA-S
