No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1uj4A, 1.0000, 0.00, 1.000, 221, 148, CRYSTAL STRUCTURE OF THERMUS THERMOPHILUS RIBOSE-5-PHOSPHATE ISOMERASE
2, 1uj5A, 0.9995, 0.10, 1.000, 225, 148, CRYSTAL STRUCTURE OF THERMUS THERMOPHILUS RIBOSE-5-PHOSPHATE ISOMERASE COMPLEXED WITH RIBOSE-5-PHOSPHATE
3, 1uj6A, 0.9994, 0.10, 1.000, 221, 148, CRYSTAL STRUCTURE OF THERMUS THERMOPHILUS RIBOSE-5-PHOSPHATE ISOMERASE COMPLEXED WITH ARABINOSE-5-PHOSPHATE
4, 1lk7B, 0.9631, 1.26, 0.439, 229, 148, STRUCTURE OF D-RIBOSE-5-PHOSPHATE ISOMERASE FROM IN COMPLEX WITH PHOSPHO-ERYTHRONIC ACID
5, 1lk5D, 0.9625, 1.25, 0.439, 229, 148, STRUCTURE OF THE D-RIBOSE-5-PHOSPHATE ISOMERASE FROM PYROCOCCUS HORIKOSHII
6, 1lk7D, 0.9621, 1.25, 0.439, 229, 148, STRUCTURE OF D-RIBOSE-5-PHOSPHATE ISOMERASE FROM IN COMPLEX WITH PHOSPHO-ERYTHRONIC ACID
7, 2f8mA, 0.9619, 0.99, 0.432, 237, 148, RIBOSE 5-PHOSPHATE ISOMERASE FROM PLASMODIUM FALCIPARUM
8, 1lk5A, 0.9612, 1.27, 0.439, 229, 148, STRUCTURE OF THE D-RIBOSE-5-PHOSPHATE ISOMERASE FROM PYROCOCCUS HORIKOSHII
9, 1lk7A, 0.9607, 1.26, 0.439, 229, 148, STRUCTURE OF D-RIBOSE-5-PHOSPHATE ISOMERASE FROM IN COMPLEX WITH PHOSPHO-ERYTHRONIC ACID
10, 1lk7C, 0.9602, 1.32, 0.439, 229, 148, STRUCTURE OF D-RIBOSE-5-PHOSPHATE ISOMERASE FROM IN COMPLEX WITH PHOSPHO-ERYTHRONIC ACID
11, 1lk5C, 0.9602, 1.32, 0.439, 229, 148, STRUCTURE OF THE D-RIBOSE-5-PHOSPHATE ISOMERASE FROM PYROCOCCUS HORIKOSHII
12, 1lk5B, 0.9591, 1.34, 0.439, 229, 148, STRUCTURE OF THE D-RIBOSE-5-PHOSPHATE ISOMERASE FROM PYROCOCCUS HORIKOSHII
13, 2f8mB, 0.9518, 0.93, 0.438, 235, 146, RIBOSE 5-PHOSPHATE ISOMERASE FROM PLASMODIUM FALCIPARUM
14, 4gmkA, 0.9469, 1.17, 0.415, 227, 147, CRYSTAL STRUCTURE OF RIBOSE 5-PHOSPHATE ISOMERASE FROM THE PROBIOTIC BACTERIUM LACTOBACILLUS SALIVARIUS UCC118
15, 3l7oB, 0.9421, 0.95, 0.493, 224, 144, CRYSTAL STRUCTURE OF RIBOSE-5-PHOSPHATE ISOMERASE A FROM STREPTOCOCCUS MUTANS UA159
16, 3hheB, 0.9415, 1.03, 0.455, 233, 145, CRYSTAL STRUCTURE OF RIBOSE-5-PHOSPHATE ISOMERASE A FROM BARTONELLA HENSELAE
17, 3hheA, 0.9411, 1.05, 0.455, 233, 145, CRYSTAL STRUCTURE OF RIBOSE-5-PHOSPHATE ISOMERASE A FROM BARTONELLA HENSELAE
18, 3ixqD, 0.9407, 1.25, 0.452, 225, 146, STRUCTURE OF RIBOSE 5-PHOSPHATE ISOMERASE A FROM METHANOCALDOCOCCUS JANNASCHII
