No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 2pf2A, 1.0000, 0.00, 1.000, 135, 55, THE CA+2 ION AND MEMBRANE BINDING STRUCTURE OF THE GLA DOMAIN OF CA- PROTHROMBIN FRAGMENT 1
2, 2sptA, 0.9597, 0.64, 1.000, 135, 55, DIFFERENCES IN THE METAL ION STRUCTURE BETWEEN SR-AND CA-PROTHROMBIN FRAGMENT 1
3, 1nl1A, 0.9582, 0.75, 1.000, 137, 55, BOVINE PROTHROMBIN FRAGMENT 1 IN COMPLEX WITH CALCIUM ION
4, 1nl2A, 0.9562, 0.79, 1.000, 136, 55, BOVINE PROTHROMBIN FRAGMENT 1 IN COMPLEX WITH CALCIUM AND LYSOPHOSPHOTIDYLSERINE
5, 5edmA, 0.7127, 1.03, 0.756, 540, 45, CRYSTAL STRUCTURE OF PROTHROMBIN DELETION MUTANT RESIDUES 154-167 ( FORM I )
6, 4o03A, 0.6897, 1.89, 0.679, 529, 53, CRYSTAL STRUCTURE OF CA2+ BOUND PROTHROMBIN DELETION MUTANT RESIDUES 146-167
7, 5edkA, 0.6370, 1.99, 0.766, 518, 47, CRYSTAL STRUCTURE OF PROTHROMBIN DELETION MUTANT RESIDUES 146-167 ( FORM II ).
8, 6c2wA, 0.6103, 1.63, 0.756, 565, 45, CRYSTAL STRUCTURE OF HUMAN PROTHROMBIN MUTANT S101C/A470C
9, 6c2wB, 0.5993, 1.74, 0.756, 565, 45, CRYSTAL STRUCTURE OF HUMAN PROTHROMBIN MUTANT S101C/A470C
10, 6bjrA, 0.5751, 1.76, 0.756, 565, 45, CRYSTAL STRUCTURE OF PROTHROMBIN MUTANT S101C/A470C 
11, 1pfxL, 0.5515, 1.56, 0.417, 133, 36, PORCINE FACTOR IXA
12, 1j34C, 0.5506, 1.23, 0.441, 34, 34, CRYSTAL STRUCTURE OF MG(II)-AND CA(II)-BOUND GLA DOMAIN OF FACTOR IX COMPLEXED WITH BINDING PROTEIN
13, 1iodG, 0.5389, 0.85, 0.625, 32, 32, CRYSTAL STRUCTURE OF THE COMPLEX BETWEEN THE COAGULATION FACTOR X BINDING PROTEIN FROM SNAKE VENOM AND THE GLA DOMAIN OF FACTOR X
14, 1j35C, 0.5379, 1.29, 0.441, 34, 34, CRYSTAL STRUCTURE OF CA(II)-BOUND GLA DOMAIN OF FACTOR IX COMPLEXED WITH BINDING PROTEIN
15, 1nl0G, 0.5342, 1.15, 0.455, 33, 33, CRYSTAL STRUCTURE OF HUMAN FACTOR IX GLA DOMAIN IN COMPLEX OF AN INHIBITORY ANTIBODY 10C12
