No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1ni2A, 1.0000, 0.00, 1.000, 296, 111, STRUCTURE OF THE ACTIVE FERM DOMAIN OF EZRIN
2, 1ni2B, 0.9974, 0.20, 1.000, 296, 111, STRUCTURE OF THE ACTIVE FERM DOMAIN OF EZRIN
3, 4rmaA, 0.9890, 0.41, 1.000, 295, 111, CRYSTAL STRUCTURE OF THE FERM DOMAIN OF HUMAN EZRIN
4, 1j19A, 0.9825, 0.52, 0.775, 316, 111, CRYSTAL STRUCTURE OF THE RADXIN FERM DOMAIN COMPLEXED WITH THE ICAM-2 CYTOPLASMIC PEPTIDE
5, 2zpyA, 0.9819, 0.54, 0.775, 295, 111, CRYSTAL STRUCTURE OF THE MOUSE RADXIN FERM DOMAIN COMPLEXED WITH THE MOUSE CD44 CYTOPLASMIC PEPTIDE
6, 2d10C, 0.9802, 0.56, 0.775, 297, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-1 C-TERMINAL TAIL PEPTIDE
7, 2yvcA, 0.9800, 0.56, 0.775, 295, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NEP CYTOPLASMIC TAIL
8, 2d10B, 0.9795, 0.57, 0.775, 297, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-1 C-TERMINAL TAIL PEPTIDE
9, 2d11C, 0.9793, 0.57, 0.775, 294, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-2 C-TERMINAL TAIL PEPTIDE
10, 2d11B, 0.9786, 0.58, 0.775, 294, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-2 C-TERMINAL TAIL PEPTIDE
11, 2d10A, 0.9784, 0.59, 0.775, 295, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-1 C-TERMINAL TAIL PEPTIDE
12, 2yvcB, 0.9777, 0.59, 0.775, 297, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NEP CYTOPLASMIC TAIL
13, 2emtB, 0.9775, 0.60, 0.775, 313, 111, CRYSTAL STRUCTURE ANALYSIS OF THE RADIXIN FERM DOMAIN COMPLEXED WITH ADHESION MOLECULE PSGL-1
14, 2d11A, 0.9758, 0.62, 0.775, 294, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-2 C-TERMINAL TAIL PEPTIDE
15, 2d10D, 0.9758, 0.62, 0.775, 297, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-1 C-TERMINAL TAIL PEPTIDE
16, 2emsA, 0.9749, 0.64, 0.775, 316, 111, CRYSTAL STRUCTURE ANALYSIS OF THE RADIXIN FERM DOMAIN COMPLEXED WITH ADHESION MOLECULE CD43
17, 4yl8A, 0.9738, 0.65, 0.793, 296, 111, CRYSTAL STRUCTURE OF THE CRUMBS/MOESIN COMPLEX
18, 2emtA, 0.9738, 0.65, 0.775, 313, 111, CRYSTAL STRUCTURE ANALYSIS OF THE RADIXIN FERM DOMAIN COMPLEXED WITH ADHESION MOLECULE PSGL-1
19, 1h4rA, 0.9737, 0.66, 0.604, 294, 111, CRYSTAL STRUCTURE OF THE FERM DOMAIN OF MERLIN THE NEUROFIBROMATOSIS 2 TUMOR SUPPRESSOR PROTEIN.
20, 2d11D, 0.9734, 0.66, 0.775, 294, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-2 C-TERMINAL TAIL PEPTIDE
21, 4p7iA, 0.9733, 0.66, 0.595, 294, 111, CRYSTAL STRUCTURE OF THE MERLIN FERM/DCAF1 COMPLEX
22, 4zrjA, 0.9721, 0.67, 0.604, 302, 111, STRUCTURE OF MERLIN-FERM AND CTD
23, 2d2qA, 0.9719, 0.72, 0.775, 297, 111, CRYSTAL STRUCTURE OF THE DIMERIZED RADIXIN FERM DOMAIN
24, 4zriA, 0.9715, 0.68, 0.604, 293, 111, CRYSTAL STRUCTURE OF MERLIN-FERM AND LATS2
25, 3wa0E, 0.9715, 0.68, 0.595, 292, 111, CRYSTAL STRUCTURE OF MERLIN COMPLEXED WITH DCAF1/VPRBP
26, 3x23A, 0.9711, 0.74, 0.775, 299, 111, RADIXIN COMPLEX
27, 3wa0C, 0.9708, 0.69, 0.595, 293, 111, CRYSTAL STRUCTURE OF MERLIN COMPLEXED WITH DCAF1/VPRBP
28, 2d2qB, 0.9706, 0.74, 0.775, 302, 111, CRYSTAL STRUCTURE OF THE DIMERIZED RADIXIN FERM DOMAIN
29, 3wa0A, 0.9693, 0.71, 0.595, 289, 111, CRYSTAL STRUCTURE OF MERLIN COMPLEXED WITH DCAF1/VPRBP
30, 4zrkA, 0.9691, 0.71, 0.595, 292, 111, MERLIN-FERM AND LATS1 COMPLEX
31, 4zriB, 0.9689, 0.71, 0.604, 291, 111, CRYSTAL STRUCTURE OF MERLIN-FERM AND LATS2
32, 3wa0B, 0.9685, 0.72, 0.595, 290, 111, CRYSTAL STRUCTURE OF MERLIN COMPLEXED WITH DCAF1/VPRBP
