No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1wcmG, 1.0000, 0.00, 1.000, 171, 171, COMPLETE 12-SUBUNIT RNA POLYMERASE II AT 3.8 ANG
2, 3j1nG, 0.9999, 0.00, 1.000, 171, 171, CRYO-EM MAP OF A YEAST MINIMAL PREINITIATION COMPLEX INTERACTING WITH THE MEDIATOR HEAD MODULE
3, 2b8kG, 0.9999, 0.00, 1.000, 171, 171, 12-SUBUNIT RNA POLYMERASE II
4, 1y77G, 0.9999, 0.01, 1.000, 171, 171, COMPLETE RNA POLYMERASE II ELONGATION COMPLEX WITH SUBSTRATE ANALOGUE GMPCPP
5, 1y1wG, 0.9995, 0.11, 1.000, 171, 171, COMPLETE RNA POLYMERASE II ELONGATION COMPLEX
6, 2ja7G, 0.9984, 0.19, 1.000, 171, 171, CPD LESION CONTAINING RNA POLYMERASE II ELONGATION COMPLEX C
7, 2ja6G, 0.9982, 0.20, 1.000, 171, 171, CPD LESION CONTAINING RNA POLYMERASE II ELONGATION COMPLEX 2 B
8, 1y1yG, 0.9982, 0.20, 1.000, 171, 171, RNA POLYMERASE II-TFIIS-DNA/RNA COMPLEX
9, 2ja7S, 0.9981, 0.21, 1.000, 171, 171, CPD LESION CONTAINING RNA POLYMERASE II ELONGATION COMPLEX C
10, 2r7zG, 0.9980, 0.21, 1.000, 171, 171, CISPLATIN LESION CONTAINING RNA POLYMERASE II ELONGATION COMPLEX
11, 2ja8G, 0.9979, 0.22, 1.000, 171, 171, CPD LESION CONTAINING RNA POLYMERASE II ELONGATION COMPLEX D
12, 2ja5G, 0.9979, 0.22, 1.000, 171, 171, CPD LESION CONTAINING RNA POLYMERASE II ELONGATION COMPLEX A
13, 2r92G, 0.9977, 0.23, 1.000, 171, 171, ELONGATION COMPLEX OF RNA POLYMERASE II WITH ARTIFICIAL RDRP SCAFFOLD
14, 3j0kG, 0.9973, 0.25, 1.000, 171, 171, ORIENTATION OF RNA POLYMERASE II WITHIN THE HUMAN VP16-MEDIATOR-POL II-TFIIF ASSEMBLY
15, 1y1vG, 0.9973, 0.25, 1.000, 171, 171, REFINED RNA POLYMERASE II-TFIIS COMPLEX
16, 2r93G, 0.9972, 0.26, 1.000, 171, 171, ELONGATION COMPLEX OF RNA POLYMERASE II WITH A HEPATITIS DELTA VIRUS-DERIVED RNA STEM LOOP
17, 3howG, 0.9954, 0.33, 1.000, 171, 171, COMPLETE RNA POLYMERASE II ELONGATION COMPLEX III WITH A T-U MISMATCH AND A FRAYED RNA 3 -URIDINE
18, 3hovG, 0.9950, 0.34, 1.000, 171, 171, COMPLETE RNA POLYMERASE II ELONGATION COMPLEX II
19, 3houG, 0.9950, 0.34, 1.000, 171, 171, COMPLETE RNA POLYMERASE II ELONGATION COMPLEX I WITH A T-U MISMATCH
20, 3hoxG, 0.9945, 0.36, 1.000, 171, 171, COMPLETE RNA POLYMERASE II ELONGATION COMPLEX V
21, 3houS, 0.9945, 0.36, 1.000, 171, 171, COMPLETE RNA POLYMERASE II ELONGATION COMPLEX I WITH A T-U MISMATCH
22, 2b63G, 0.9945, 0.36, 1.000, 171, 171, COMPLETE RNA POLYMERASE II-RNA INHIBITOR COMPLEX
23, 3h3vH, 0.9944, 0.37, 1.000, 171, 171, YEAST RNAP II CONTAINING POLY(A)-SIGNAL SEQUENCE IN THE ACTIVE SITE
24, 3hozG, 0.9941, 0.37, 1.000, 171, 171, COMPLETE RNA POLYMERASE II ELONGATION COMPLEX IV WITH A T-U MISMATCH AND A FRAYED RNA 3 -GUANINE
25, 3hoyG, 0.9940, 0.38, 1.000, 171, 171, COMPLETE RNA POLYMERASE II ELONGATION COMPLEX VI
26, 3i4nG, 0.9936, 0.39, 1.000, 171, 171, 8-OXOGUANINE CONTAINING RNA POLYMERASE II ELONGATION COMPLEX E
27, 5x51S, 0.9921, 0.44, 0.596, 171, 171, RNA POLYMERASE II FROM KOMAGATAELLA PASTORIS (TYPE-3 CRYSTAL)
28, 5x51G, 0.9921, 0.44, 0.596, 171, 171, RNA POLYMERASE II FROM KOMAGATAELLA PASTORIS (TYPE-3 CRYSTAL)
29, 5x4zS, 0.9921, 0.44, 0.596, 171, 171, RNA POLYMERASE II FROM KOMAGATAELLA PASTORIS (TYPE-1 CRYSTAL)
30, 5x4zG, 0.9921, 0.44, 0.596, 171, 171, RNA POLYMERASE II FROM KOMAGATAELLA PASTORIS (TYPE-1 CRYSTAL)
31, 2vumG, 0.9921, 0.44, 1.000, 171, 171, ALPHA-AMANITIN INHIBITED COMPLETE RNA POLYMERASE II ELONGATION COMPLEX
32, 4bxxG, 0.9920, 0.44, 1.000, 171, 171, ARRESTED RNA POLYMERASE II-BYE1 COMPLEX
33, 4a3iG, 0.9919, 0.44, 1.000, 171, 171, RNA POLYMERASE II BINARY COMPLEX WITH DNA
34, 3i4mG, 0.9918, 0.44, 1.000, 171, 171, 8-OXOGUANINE CONTAINING RNA POLYMERASE II ELONGATION COMPLEX D
35, 4a93G, 0.9916, 0.45, 1.000, 171, 171, RNA POLYMERASE II ELONGATION COMPLEX CONTAINING A CPD LESION
36, 5ip9G, 0.9914, 0.46, 1.000, 171, 171, STRUCTURE OF RNA POLYMERASE II-TFIIF COMPLEX
37, 4a3eG, 0.9914, 0.46, 1.000, 171, 171, RNA POLYMERASE II INITIAL TRANSCRIBING COMPLEX WITH A 5NT DNA-RNA HYBRID AND SOAKED WITH AMPCPP
38, 4by7G, 0.9913, 0.46, 1.000, 171, 171, ELONGATING RNA POLYMERASE II-BYE1 TLD COMPLEX
39, 3po2G, 0.9912, 0.46, 1.000, 171, 171, ARRESTED RNA POLYMERASE II ELONGATION COMPLEX
40, 4a3gG, 0.9910, 0.47, 1.000, 171, 171, RNA POLYMERASE II INITIAL TRANSCRIBING COMPLEX WITH A 2NT DNA-RNA HYBRID
41, 5ot2G, 0.9909, 0.47, 1.000, 171, 171, RNA POLYMERASE II ELONGATION COMPLEX IN THE PRESENCE OF 3D-NAPHT-A
42, 5fmfG, 0.9909, 0.47, 1.000, 171, 171, THE P-LOBE OF RNA POLYMERASE II PRE-INITIATION COMPLEX
43, 4v1nG, 0.9909, 0.47, 1.000, 171, 171, ARCHITECTURE OF THE RNA POLYMERASE II-MEDIATOR CORE TRANSCRIPTION INITIATION COMPLEX
44, 4a3dG, 0.9909, 0.47, 1.000, 171, 171, RNA POLYMERASE II INITIAL TRANSCRIBING COMPLEX WITH A 6NT DNA-RNA HYBRID
