No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d3bwiA_, 1.0000, 0.00, 1.000, 423, 423, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN SEROTYPE A WITH AN ACETATE ION BOUND AT THE ACTIVE SITE
2, d3qw5A_, 0.9990, 0.23, 1.000, 423, 423, CRYSTAL STRUCTURE OF THE PROTEASE DOMAIN OF BOTULINUM NEUROTOXIN SEROTYPE A WITH A PEPTIDE INHIBITOR RRGF
3, d3c8bA_, 0.9990, 0.23, 1.000, 423, 423, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN SEROTYPE A WITH INHIBITORY PEPTIDE RRGI
4, p3ddbA_, 0.9987, 0.26, 1.000, 423, 423, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN SEROTYPE A WITH A SUBSTRATE ANALOG PEPTIDE
5, p3ddaA_, 0.9981, 0.32, 1.000, 423, 423, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN SEROTYPE A WITH A SNAP-25 PEPTIDE
6, d3c89A_, 0.9967, 0.22, 1.000, 422, 422, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN SEROTYPE A WITH INHIBITORY PEPTIDE RRGM
7, d3c88A_, 0.9967, 0.22, 1.000, 422, 422, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN SEROTYPE A WITH INHIBITORY PEPTIDE RRGC
8, d3c8aA_, 0.9963, 0.27, 1.000, 422, 422, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN SEROTYPE A WITH INHIBITORY PEPTIDE RRGL
9, d3qw8A_, 0.9961, 0.29, 1.000, 422, 422, CRYSTAL STRUCTURE OF THE PROTEASE DOMAIN OF BOTULINUM NEUROTOXIN SEROTYPE A WITH A PEPTIDE INHIBITOR CRGC
10, d3qw6A_, 0.9943, 0.44, 1.000, 422, 422, CRYSTAL STRUCTURE OF THE PROTEASE DOMAIN OF BOTULINUM NEUROTOXIN SEROTYPE A WITH A PEPTIDE INHIBITOR RYGC
11, d3qw7A_, 0.9931, 0.52, 1.000, 422, 422, CRYSTAL STRUCTURE OF THE PROTEASE DOMAIN OF BOTULINUM NEUROTOXIN SEROTYPE A WITH A PEPTIDE INHIBITOR RRFC
12, d4el4A_, 0.9921, 0.79, 0.995, 425, 423, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN BONT/A C134S/C165S DOUBLE MUTANT
13, d4ej5A1, 0.9918, 0.89, 1.000, 425, 423, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN BONT/A WILD-TYPE
14, d4elcA1, 0.9893, 0.72, 0.998, 424, 422, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN BONT/A C134 MUTANT WITH MTSEA MODIFIED CYS-165
15, d5vgxA_, 0.9869, 0.84, 0.995, 421, 421, STRUCTURE OF THE C. BOTULINUM NEUROTOXIN SEROTYPE A WITH HG BOUND
16, p4zjxA_, 0.9835, 0.36, 0.998, 417, 417, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN SEROTYPE A WITH A NOVEL CYCLIC PEPTIDE INHIBITOR
17, d4kufA1, 0.9831, 0.86, 0.981, 424, 420, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN BONT/A C134 MUTANT WITH MTSEA MODIFIED CYS-165 CAUSING STRETCH DISORDER
18, d4ks6A1, 0.9826, 1.04, 0.986, 425, 421, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN BONT/A C134S MUTANT WITH COVALENT INHIBITOR THAT MODIFIES CYS-165 CAUSING DISORDER IN 166-174 STRETCH
19, d5vgvA_, 0.9821, 1.08, 0.995, 421, 420, STRUCTURE OF THE C. BOTULINUM NEUROTOXIN SEROTYPE A WITH CU BOUND
20, d4ktxA1, 0.9809, 1.38, 0.998, 425, 423, CRYSTAL STRUCTURE OF THE CATALYTIC DOMAIN OF BOTULINUM NEUROTOXIN BONT/A C134S MUTANT WITH COVALENT INHIBITOR THAT MODIFIES CYS-165 CAUSING DISORDER IN 167-174 STRETCH
21, d3bonA_, 0.9795, 0.48, 0.998, 416, 416, STRUCTURE OF THE C. BOTULINUM NEUROTOXIN SEROTYPE A WITH ZN2+ COFACTOR BOUND
22, d3bokA_, 0.9794, 0.49, 0.998, 416, 416, STRUCTURE OF THE C. BOTULINUM NEUROTOXIN SEROTYPE A APO- ENZYME
23, d2g7nA_, 0.9769, 0.51, 0.952, 415, 415, STRUCTURE OF THE LIGHT CHAIN OF BOTULINUM NEUROTOXIN SEROTYPE A BOUND TO SMALL MOLECULE INHIBITORS
24, d3booA1, 0.9689, 0.40, 0.998, 411, 411, STRUCTURE OF THE C. BOTULINUM NEUROTOXIN SEROTYPE A WITH AN INHIBITORY PEPTIDE BOUND
25, d1xtfB1, 0.9530, 1.55, 0.988, 421, 414, NEUROTOXIN BONT/A E224Q Y366F MUTANT
26, d1xtgA1, 0.9479, 1.80, 0.973, 419, 415, CRYSTAL STRUCTURE OF NEUROTOXIN BONT/A COMPLEXED WITH SYNAPTOSOMAL-ASSOCIATED PROTEIN 25
27, d1xtfA1, 0.9468, 1.90, 0.988, 421, 414, NEUROTOXIN BONT/A E224Q Y366F MUTANT
28, p2w2dC_, 0.9447, 1.90, 0.976, 435, 414, CRYSTAL STRUCTURE OF A CATALYTICALLY ACTIVE NON-TOXIC ENDOPEPTIDASE DERIVATIVE OF CLOSTRIDIUM BOTULINUM TOXIN A
29, p3zurA1, 0.9443, 1.82, 0.971, 530, 413, CRYSTAL STRUCTURE OF AN ENGINEERED BOTULINUM NEUROTOXIN TYPE A-SNARE23 DERIVATIVE LC0-A-SNAP25-HN-A
30, p2w2dA_, 0.9441, 1.83, 0.976, 436, 413, CRYSTAL STRUCTURE OF A CATALYTICALLY ACTIVE NON-TOXIC ENDOPEPTIDASE DERIVATIVE OF CLOSTRIDIUM BOTULINUM TOXIN A
31, p3zusD1, 0.9432, 1.84, 0.976, 533, 413, CRYSTAL STRUCTURE OF AN ENGINEERED BOTULINUM NEUROTOXIN TYPE A-SNARE23 DERIVATIVE LC-A-SNAP23-HN-A
32, p3v0bA1, 0.9432, 1.83, 0.973, 537, 413, 3.9 ANGSTROM CRYSTAL STRUCTURE OF BONT/AI IN COMPLEX WITH NTNHA
33, p3v0aA1, 0.9432, 1.83, 0.973, 537, 413, 2.7 ANGSTROM CRYSTAL STRUCTURE OF BONT/AI IN COMPLEX WITH NTNHA
34, d2iseB1, 0.9432, 1.83, 0.973, 537, 413, BOTULINUM NEUROTOXIN A LIGHT CHAIN WT CRYSTAL FORM A
35, d2iseA1, 0.9432, 1.87, 0.998, 419, 412, BOTULINUM NEUROTOXIN A LIGHT CHAIN WT CRYSTAL FORM A
36, p3zusA1, 0.9430, 1.87, 0.998, 419, 412, CRYSTAL STRUCTURE OF AN ENGINEERED BOTULINUM NEUROTOXIN TYPE A-SNARE23 DERIVATIVE LC-A-SNAP23-HN-A
37, p3zusC1, 0.9428, 1.84, 0.976, 532, 413, CRYSTAL STRUCTURE OF AN ENGINEERED BOTULINUM NEUROTOXIN TYPE A-SNARE23 DERIVATIVE LC-A-SNAP23-HN-A
38, p3zurB1, 0.9428, 1.86, 0.976, 533, 413, CRYSTAL STRUCTURE OF AN ENGINEERED BOTULINUM NEUROTOXIN TYPE A-SNARE23 DERIVATIVE LC0-A-SNAP25-HN-A
39, p3zusB1, 0.9427, 1.84, 0.971, 530, 413, CRYSTAL STRUCTURE OF AN ENGINEERED BOTULINUM NEUROTOXIN TYPE A-SNARE23 DERIVATIVE LC-A-SNAP23-HN-A
40, p3v0cA1, 0.9419, 1.86, 0.973, 532, 413, 4.3 ANGSTROM CRYSTAL STRUCTURE OF AN INACTIVE BONT/A (E224Q/R363A/Y366F)
41, p2nz9B1, 0.9419, 2.02, 0.969, 527, 414, CRYSTAL STRUCTURE OF BOTULINUM NEUROTOXIN TYPE A COMPLEXED WITH MONOCLONAL ANTIBODY AR2
42, p2nz9A1, 0.9419, 2.03, 0.976, 522, 414, CRYSTAL STRUCTURE OF BOTULINUM NEUROTOXIN TYPE A COMPLEXED WITH MONOCLONAL ANTIBODY AR2
43, d2nyyA1, 0.9417, 2.05, 0.976, 522, 414, CRYSTAL STRUCTURE OF BOTULINUM NEUROTOXIN TYPE A COMPLEXED WITH MONOCLONAL ANTIBODY CR1
44, d3btaA3, 0.9415, 2.05, 0.976, 523, 414, CRYSTAL STRUCTURE OF BOTULINUM NEUROTOXIN SEROTYPE A
45, d2ishB_, 0.9409, 1.94, 0.973, 528, 413, BOTULINUM NEUROTOXIN A LIGHT CHAIN WT CRYSTAL FORM C
46, d2ishA_, 0.9396, 1.71, 0.990, 416, 409, BOTULINUM NEUROTOXIN A LIGHT CHAIN WT CRYSTAL FORM C
47, p2g7pA_, 0.9375, 1.66, 1.000, 416, 408, STRUCTURE OF THE LIGHT CHAIN OF BOTULINUM NEUROTOXIN SEROTYPE A BOUND TO SMALL MOLECULE INHIBITORS
48, p2g7qA_, 0.9370, 1.20, 0.926, 411, 403, STRUCTURE OF THE LIGHT CHAIN OF BOTULINUM NEUROTOXIN SEROTYPE A BOUND TO SMALL MOLECULE INHIBITORS
49, p2g7pB_, 0.9364, 1.20, 0.926, 411, 403, STRUCTURE OF THE LIGHT CHAIN OF BOTULINUM NEUROTOXIN SEROTYPE A BOUND TO SMALL MOLECULE INHIBITORS
50, d2isgB_, 0.9354, 1.35, 0.933, 409, 403, BOTULINUM NEUROTOXIN A LIGHT CHAIN WT CRYSTAL FORM B
51, d2isgA_, 0.9352, 2.17, 0.990, 416, 412, BOTULINUM NEUROTOXIN A LIGHT CHAIN WT CRYSTAL FORM B
52, p2g7qB_, 0.9348, 2.21, 0.990, 416, 412, STRUCTURE OF THE LIGHT CHAIN OF BOTULINUM NEUROTOXIN SEROTYPE A BOUND TO SMALL MOLECULE INHIBITORS
53, d3ds9A_, 0.9269, 1.22, 0.933, 409, 402, A POTENT PEPTIDOMIMETIC INHIBITOR OF BOTULINUM NEUROTOXIN SEROTYPE A HAS A VERY DIFFERENT CONFORMATION THAN SNAP-25 SUBSTRATE
54, d2g7kA_, 0.9176, 0.90, 0.985, 398, 397, STRUCTURE OF THE LIGHT CHAIN OF BOTULINUM NEUROTOXIN SEROTYPE A BOUND TO SMALL MOLECULE INHIBITORS
55, d3qizA1, 0.9158, 1.02, 0.947, 401, 393, CRYSTAL STRUCTURE OF BONT/A LC COMPLEXED WITH HYDROXAMATE-BASED INHIBITOR PT-2
56, d3dseA_, 0.9125, 1.37, 0.980, 398, 396, A POTENT PEPTIDOMIMETIC INHIBITOR OF BOTULINUM NEUROTOXIN SEROTYPE A HAS A VERY DIFFERENT CONFORMATION THAN SNAP-25 SUBSTRATE
57, d2g7kB_, 0.9116, 1.19, 0.980, 394, 393, STRUCTURE OF THE LIGHT CHAIN OF BOTULINUM NEUROTOXIN SEROTYPE A BOUND TO SMALL MOLECULE INHIBITORS
58, d3qixA1, 0.9110, 1.04, 0.946, 399, 391, CRYSTAL STRUCTURE OF BONT/A LC WITH ZINC BOUND
59, d3qj0A1, 0.9105, 1.16, 0.985, 395, 393, CRYSTAL STRUCTURE OF BONT/A LC COMPLEXED WITH HYDROXAMATE-BASED INHIBITOR PT-3
