No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d1ni2A1, 1.0000, 0.00, 1.000, 111, 111, STRUCTURE OF THE ACTIVE FERM DOMAIN OF EZRIN
2, d1ni2B1, 0.9974, 0.20, 1.000, 111, 111, STRUCTURE OF THE ACTIVE FERM DOMAIN OF EZRIN
3, d4rmaA2, 0.9890, 0.41, 1.000, 111, 111, CRYSTAL STRUCTURE OF THE FERM DOMAIN OF HUMAN EZRIN
4, d1j19A1, 0.9825, 0.52, 0.775, 111, 111, CRYSTAL STRUCTURE OF THE RADXIN FERM DOMAIN COMPLEXED WITH THE ICAM-2 CYTOPLASMIC PEPTIDE
5, d2zpyA1, 0.9819, 0.54, 0.775, 111, 111, CRYSTAL STRUCTURE OF THE MOUSE RADXIN FERM DOMAIN COMPLEXED WITH THE MOUSE CD44 CYTOPLASMIC PEPTIDE
6, d2d10C1, 0.9802, 0.56, 0.775, 111, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-1 C-TERMINAL TAIL PEPTIDE
7, d2yvcA1, 0.9800, 0.56, 0.775, 111, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NEP CYTOPLASMIC TAIL
8, d2d10B1, 0.9795, 0.57, 0.775, 111, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-1 C-TERMINAL TAIL PEPTIDE
9, d2d11C1, 0.9793, 0.57, 0.775, 111, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-2 C-TERMINAL TAIL PEPTIDE
10, d2d11B1, 0.9786, 0.58, 0.775, 111, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-2 C-TERMINAL TAIL PEPTIDE
11, d2d10A1, 0.9784, 0.59, 0.775, 111, 111, CRYSTAL STRUCTURE OF THE RADIXIN FERM DOMAIN COMPLEXED WITH THE NHERF-1 C-TERMINAL TAIL PEPTIDE
