No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 6ifnD, 0.3631, 4.04, 0.057, 123, 70, CRYSTAL STRUCTURE OF TYPE III-A CRISPR CSM COMPLEX 
2, 6ifnC, 0.3589, 4.17, 0.056, 124, 71, CRYSTAL STRUCTURE OF TYPE III-A CRISPR CSM COMPLEX 
3, 6ifyD, 0.3554, 4.25, 0.042, 121, 72, TYPE III-A CSM COMPLEX; CRYO-EM STRUCTURE OF CSM-CTR1 
4, 6ifuB, 0.3546, 4.28, 0.042, 121, 72, CRYO-EM STRUCTURE OF TYPE III-A CSM-CTR2-DSDNA COMPLEX 
5, 6ifzD, 0.3540, 4.32, 0.042, 121, 72, TYPE III-A CSM COMPLEX; CRYO-EM STRUCTURE OF CSM-CTR2-SSDNA COMPLEX 
6, 6ifyC, 0.3532, 4.13, 0.043, 121, 69, TYPE III-A CSM COMPLEX; CRYO-EM STRUCTURE OF CSM-CTR1 
7, 2vtuL, 0.3524, 4.71, 0.123, 257, 81, CRYSTAL STRUCTURE OF BACTERIOPHAGE MS2 COVALENT COAT PROTEIN DIMER
8, 6ifuC, 0.3523, 4.28, 0.043, 121, 70, CRYO-EM STRUCTURE OF TYPE III-A CSM-CTR2-DSDNA COMPLEX 
9, 6ifkD, 0.3523, 4.49, 0.042, 121, 72, CRYO-EM STRUCTURE OF TYPE III-A CSM-CTR1 COMPLEX; AMPPNP BOUND 
10, 6iflB, 0.3514, 4.36, 0.042, 121, 72, CRYO-EM STRUCTURE OF TYPE III-A CSM-NTR COMPLEX 
