No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d1jfwA_, 1.0000, 0.00, 1.000, 86, 86, HOMONUCLEAR AND HETERONUCLEAR 1H-13C NUCLEAR MAGNETIC RESONANCE ASSIGNMENT AND STRUCTURAL CHARACTERIZATION OF A HIV-1 TAT PROTEIN
2, d1k5kA_, 0.4076, 4.48, 0.100, 87, 70, HOMONUCLEAR 1H NUCLEAR MAGNETIC RESONANCE ASSIGNMENT AND STRUCTURAL CHARACTERIZATION OF HIV-1 TAT MAL PROTEIN
3, d1tivA_, 0.3252, 4.48, 0.100, 87, 70, STRUCTURAL STUDIES OF HIV-1 TAT PROTEIN
4, d1tacA_, 0.2974, 4.53, 0.167, 86, 60, HIV-1 TAT CYS- NMR 10 STRUCTURES
5, d1tbcA_, 0.2682, 4.57, 0.255, 86, 51, HIV-1 TAT NMR 10 STRUCTURES
6, p3miaC_, 0.1974, 4.43, 0.167, 86, 48, CRYSTAL STRUCTURE OF HIV-1 TAT COMPLEXED WITH ATP-BOUND HUMAN P-TEFB
7, p4or5C_, 0.1954, 3.00, 0.038, 48, 26, CRYSTAL STRUCTURE OF HIV-1 TAT COMPLEXED WITH HUMAN P-TEFB AND AFF4
8, p3mi9C_, 0.1883, 2.98, 0.038, 48, 26, CRYSTAL STRUCTURE OF HIV-1 TAT COMPLEXED WITH HUMAN P-TEFB
9, p4ogrD_, 0.1871, 3.36, 0.040, 49, 25, CRYSTAL STRUCTURE OF P-TEFB COMPLEX WITH AFF4 AND TAT
10, p4ogrH_, 0.1828, 3.37, 0.040, 49, 25, CRYSTAL STRUCTURE OF P-TEFB COMPLEX WITH AFF4 AND TAT
