No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d3wg7C_, 1.0000, 0.00, 1.000, 259, 259, A 1.9 ANGSTROM RADIATION DAMAGE FREE X-RAY STRUCTURE OF LARGE (420KDA) PROTEIN BY FEMTOSECOND CRYSTALLOGRAPHY
2, d3wg7P_, 0.9997, 0.10, 1.000, 259, 259, A 1.9 ANGSTROM RADIATION DAMAGE FREE X-RAY STRUCTURE OF LARGE (420KDA) PROTEIN BY FEMTOSECOND CRYSTALLOGRAPHY
3, d5b1aC_, 0.9996, 0.12, 1.000, 259, 259, BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY OXIDIZED STATE AT 1.5 ANGSTROM RESOLUTION
4, d3asoC_, 0.9996, 0.10, 1.000, 259, 259, BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY OXIDIZED STATE MEASURED AT 0.9 ANGSTROM WAVELENGTH
5, d3asnC_, 0.9996, 0.11, 1.000, 259, 259, BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY OXIDIZED STATE MEASURED AT 1.7470 ANGSTROM WAVELENGTH
6, d3ag3C_, 0.9996, 0.12, 1.000, 259, 259, BOVINE HEART CYTOCHROME C OXIDASE IN THE NITRIC OXIDE-BOUND FULLY REDUCED STATE AT 100 K
7, d2eijC_, 0.9996, 0.12, 1.000, 259, 259, BOVINE HEART CYTOCHROME C OXIDASE IN THE FULLY REDUCED STATE
8, d2dyrP_, 0.9996, 0.11, 1.000, 259, 259, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE
9, d2dyrC_, 0.9996, 0.10, 1.000, 259, 259, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE
10, d1v54P_, 0.9996, 0.11, 1.000, 259, 259, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE
11, d1v54C_, 0.9996, 0.11, 1.000, 259, 259, BOVINE HEART CYTOCHROME C OXIDASE AT THE FULLY OXIDIZED STATE
12, d5wauC_, 0.9995, 0.13, 1.000, 259, 259, CRYSTAL STRUCTURE OF CO-BOUND CYTOCHROME C OXIDASE DETERMINED BY SYNCHROTRON X-RAY CRYSTALLOGRAPHY AT 100 K
