No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 2y4kA, 1.0000, 0.00, 1.000, 380, 380, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH MG-GDP
2, 2y4mB, 0.9970, 0.40, 1.000, 380, 380, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH GDP-MANNOSE
3, 2bo8J, 0.9954, 0.49, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
4, 2bo8C, 0.9953, 0.49, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
5, 2bo8F, 0.9952, 0.50, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
6, 2bo8B, 0.9952, 0.50, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
7, 2bo8H, 0.9950, 0.51, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
8, 2bo8I, 0.9949, 0.52, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
9, 2bo8G, 0.9949, 0.52, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
10, 2bo8E, 0.9948, 0.52, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
11, 2bo8D, 0.9948, 0.52, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
12, 2y4lA, 0.9946, 0.54, 1.000, 380, 380, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH MANGANESE AND GDP
13, 2bo6B, 0.9944, 0.55, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
14, 2bo4D, 0.9944, 0.57, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
15, 2bo4B, 0.9944, 0.57, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
16, 2bo8A, 0.9942, 0.56, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
17, 2bo4F, 0.9942, 0.58, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
18, 2bo4A, 0.9941, 0.57, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
19, 2bo6A, 0.9940, 0.57, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
20, 2bo4E, 0.9937, 0.58, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
21, 2bo4C, 0.9933, 0.60, 0.995, 380, 380, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
22, 2y4kB, 0.9901, 0.32, 1.000, 378, 377, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH MG-GDP
23, 2y4lB, 0.9900, 0.33, 0.997, 377, 377, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH MANGANESE AND GDP
24, 2y4jA, 0.9882, 0.45, 0.995, 377, 377, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH LACTATE
25, 2y4mA, 0.9872, 0.51, 1.000, 377, 377, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH GDP-MANNOSE
26, 2y4jB, 0.9871, 0.35, 0.995, 377, 376, MANNOSYLGLYCERATE SYNTHASE IN COMPLEX WITH LACTATE
27, 2bo7J, 0.9804, 0.62, 0.995, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
28, 2bo7B, 0.9804, 0.62, 0.995, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
29, 2bo7I, 0.9803, 0.63, 0.995, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
30, 2bo7H, 0.9803, 0.63, 0.995, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
31, 2bo7G, 0.9803, 0.62, 0.995, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
32, 2bo7F, 0.9803, 0.62, 0.995, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
33, 2bo7E, 0.9803, 0.62, 0.995, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
34, 2bo7C, 0.9803, 0.62, 0.995, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
35, 2bo7D, 0.9802, 0.63, 0.995, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
36, 2bo7A, 0.9801, 0.63, 0.995, 375, 375, DISSECTION OF MANNOSYLGLYCERATE SYNTHASE: AN ARCHETYPAL MANNOSYLTRANSFERASE
37, 2wvlA, 0.5663, 3.75, 0.167, 385, 252, MANNOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM THERMUS THERMOPHILUS HB27 IN COMPLEX WITH GDP-ALPHA-D-MANNOSE AND MG(II)
38, 2wvlB, 0.5660, 3.68, 0.167, 382, 251, MANNOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM THERMUS THERMOPHILUS HB27 IN COMPLEX WITH GDP-ALPHA-D-MANNOSE AND MG(II)
39, 2wvkA, 0.5643, 3.71, 0.163, 391, 251, MANNOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM THERMUS THERMOPHILUS HB27 APOPROTEIN
40, 2wvkB, 0.5638, 3.72, 0.167, 382, 251, MANNOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM THERMUS THERMOPHILUS HB27 APOPROTEIN
41, 2wvmA, 0.5606, 3.50, 0.174, 375, 247, H309A MUTANT OF MANNOSYL-3-PHOSPHOGLYCERATE SYNTHASE FROM THERMUS THERMOPHILUS HB27 IN COMPLEX WITH GDP-ALPHA-D-MANNOSE AND MG(II)
