No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1tjtA, 1.0000, 0.00, 1.000, 224, 110, X-RAY STRUCTURE OF THE HUMAN ALPHA-ACTININ ISOFORM 3 AT 2.2A RESOLUTION
2, 1wkuB, 0.9977, 0.18, 1.000, 227, 110, HIGH RESOLUTION STRUCTURE OF THE HUMAN ALPHA-ACTININ ISOFORM 3
3, 1wkuA, 0.9962, 0.24, 1.000, 225, 110, HIGH RESOLUTION STRUCTURE OF THE HUMAN ALPHA-ACTININ ISOFORM 3
4, 2eyiA, 0.9907, 0.38, 0.864, 234, 110, CRYSTAL STRUCTURE OF THE ACTIN-BINDING DOMAIN OF HUMAN ALPHA-ACTININ 1 AT 1.7 ANGSTROM RESOLUTION
5, 2r0oB, 0.9899, 0.40, 0.864, 229, 110, CRYSTAL STRUCTURE OF THE ACTIN-BINDING DOMAIN OF HUMAN ALPHA-ACTININ-4 MUTANT(K255E)
6, 2r0oA, 0.9865, 0.47, 0.864, 227, 110, CRYSTAL STRUCTURE OF THE ACTIN-BINDING DOMAIN OF HUMAN ALPHA-ACTININ-4 MUTANT(K255E)
7, 2eynA, 0.9811, 0.55, 0.864, 229, 110, CRYSTAL STRUCTURE OF THE ACTIN-BINDING DOMAIN OF HUMAN ALPHA-ACTININ 1 AT 1.8 ANGSTROM RESOLUTION
8, 5a37B, 0.9791, 0.43, 0.908, 219, 109, MUTATIONS IN THE CALPONIN HOMOLOGY DOMAIN OF ALPHA-ACTININ-2 AFFECT ACTIN BINDING AND INCORPORATION IN MUSCLE.
9, 5a38A, 0.9790, 0.43, 0.908, 223, 109, MUTATIONS IN THE CALPONIN HOMOLOGY DOMAIN OF ALPHA-ACTININ-2 AFFECT ACTIN BINDING AND INCORPORATION IN MUSCLE.
10, 5a37A, 0.9782, 0.45, 0.908, 220, 109, MUTATIONS IN THE CALPONIN HOMOLOGY DOMAIN OF ALPHA-ACTININ-2 AFFECT ACTIN BINDING AND INCORPORATION IN MUSCLE.
11, 5a4bA, 0.9767, 0.47, 0.908, 223, 109, MUTATIONS IN THE CALPONIN HOMOLOGY DOMAIN OF ALPHA-ACTININ-2 AFFECT ACTIN BINDING AND INCORPORATION IN MUSCLE.
12, 5a38B, 0.9760, 0.48, 0.908, 223, 109, MUTATIONS IN THE CALPONIN HOMOLOGY DOMAIN OF ALPHA-ACTININ-2 AFFECT ACTIN BINDING AND INCORPORATION IN MUSCLE.
13, 5a36A, 0.9751, 0.50, 0.908, 239, 109, MUTATIONS IN THE CALPONIN HOMOLOGY DOMAIN OF ALPHA-ACTININ- 2 AFFECT ACTIN BINDING AND INCORPORATION IN MUSCLE.
14, 5a4bB, 0.9747, 0.51, 0.908, 223, 109, MUTATIONS IN THE CALPONIN HOMOLOGY DOMAIN OF ALPHA-ACTININ-2 AFFECT ACTIN BINDING AND INCORPORATION IN MUSCLE.
15, 5a36B, 0.9655, 0.51, 0.907, 224, 108, MUTATIONS IN THE CALPONIN HOMOLOGY DOMAIN OF ALPHA-ACTININ- 2 AFFECT ACTIN BINDING AND INCORPORATION IN MUSCLE.
16, 5bvrA, 0.9429, 1.05, 0.545, 229, 110, ACTIN BINDING DOMAIN OF ALPHA-ACTININ FROM SCHIZOSACCHAROMYCES POMBE
17, 4d1eA, 0.9360, 0.79, 0.907, 846, 107, THE CRYSTAL STRUCTURE OF HUMAN MUSCLE ALPHA-ACTININ-2
