No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 4m4eC, 1.0000, 0.00, 1.000, 170, 164, TRAF DOMAIN OF HUMAN TRAF4
2, 3zjbB, 0.9731, 1.02, 0.988, 184, 164, THE STRUCTURE OF THE TRAF DOMAIN OF HUMAN TRAF4
3, 4k8uA, 0.9708, 1.02, 0.988, 178, 164, CRYSTAL STRUCTURE OF TRAF4 TRAF DOMAIN
4, 3zjbC, 0.9691, 0.70, 1.000, 172, 162, THE STRUCTURE OF THE TRAF DOMAIN OF HUMAN TRAF4
5, 4k8uB, 0.9633, 1.00, 0.926, 176, 163, CRYSTAL STRUCTURE OF TRAF4 TRAF DOMAIN
6, 4k8uC, 0.9598, 0.83, 0.963, 176, 161, CRYSTAL STRUCTURE OF TRAF4 TRAF DOMAIN
7, 3zjbA, 0.9570, 0.98, 1.000, 172, 162, THE STRUCTURE OF THE TRAF DOMAIN OF HUMAN TRAF4
8, 5yc1D, 0.9507, 0.57, 0.987, 161, 158, TRAF4_GPIB COMPLEX
9, 5yc1F, 0.9427, 0.47, 1.000, 164, 156, TRAF4_GPIB COMPLEX
10, 4m4eB, 0.9422, 0.63, 1.000, 166, 157, TRAF DOMAIN OF HUMAN TRAF4
11, 5yc1A, 0.9399, 0.53, 1.000, 158, 156, TRAF4_GPIB COMPLEX
12, 5yc1C, 0.9396, 0.55, 0.981, 161, 156, TRAF4_GPIB COMPLEX
13, 4m4eA, 0.9306, 1.02, 1.000, 159, 157, TRAF DOMAIN OF HUMAN TRAF4
14, 5yc1E, 0.9125, 0.90, 0.961, 156, 154, TRAF4_GPIB COMPLEX
15, 4gjhC, 0.8940, 1.98, 0.441, 177, 161, CRYSTAL STRUCTURE OF THE TRAF DOMAIN OF TRAF5
16, 4gjhB, 0.8940, 1.97, 0.441, 176, 161, CRYSTAL STRUCTURE OF THE TRAF DOMAIN OF TRAF5
17, 4gjhA, 0.8937, 1.98, 0.441, 175, 161, CRYSTAL STRUCTURE OF THE TRAF DOMAIN OF TRAF5
18, 1ca4A, 0.8908, 1.91, 0.462, 168, 160, STRUCTURE OF TNF RECEPTOR ASSOCIATED FACTOR 2 (TRAF2)
19, 5h10C, 0.8901, 1.82, 0.396, 195, 159, TRAF1-TANK COMPLEX
20, 1ca4F, 0.8890, 1.90, 0.462, 168, 160, STRUCTURE OF TNF RECEPTOR ASSOCIATED FACTOR 2 (TRAF2)
21, 1ca4C, 0.8885, 1.92, 0.462, 168, 160, STRUCTURE OF TNF RECEPTOR ASSOCIATED FACTOR 2 (TRAF2)
22, 1d0aD, 0.8884, 1.91, 0.462, 168, 160, STRUCTURE OF TNF RECEPTOR ASSOCIATED FACTOR 2 (TRAF2) IN COMPLEX WITH A HUMAN OX40 PEPTIDE
23, 1d01B, 0.8883, 1.92, 0.462, 168, 160, STRUCTURE OF TNF RECEPTOR ASSOCIATED FACTOR 2 IN COMPLEX WITH A HUMAN CD30 PEPTIDE
24, 1ca4B, 0.8883, 1.94, 0.462, 168, 160, STRUCTURE OF TNF RECEPTOR ASSOCIATED FACTOR 2 (TRAF2)
25, 1d01A, 0.8881, 1.92, 0.462, 168, 160, STRUCTURE OF TNF RECEPTOR ASSOCIATED FACTOR 2 IN COMPLEX WITH A HUMAN CD30 PEPTIDE
26, 1d01C, 0.8879, 1.92, 0.462, 168, 160, STRUCTURE OF TNF RECEPTOR ASSOCIATED FACTOR 2 IN COMPLEX WITH A HUMAN CD30 PEPTIDE
27, 1ca4D, 0.8877, 1.95, 0.462, 168, 160, STRUCTURE OF TNF RECEPTOR ASSOCIATED FACTOR 2 (TRAF2)
