No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 5sy1B, 0.3299, 5.63, 0.086, 582, 105, STRUCTURE OF THE STRA6 RECEPTOR FOR RETINOL UPTAKE IN COMPLEX WITH CALMODULIN
2, 5sy1A, 0.3299, 5.63, 0.086, 582, 105, STRUCTURE OF THE STRA6 RECEPTOR FOR RETINOL UPTAKE IN COMPLEX WITH CALMODULIN
3, 5ip0E, 0.3127, 3.26, 0.103, 107, 78, PHA BINDING PROTEIN PHAP (PHASIN)
4, 5ip0P, 0.3104, 3.40, 0.090, 108, 78, PHA BINDING PROTEIN PHAP (PHASIN)
5, 5ip0H, 0.3101, 3.21, 0.105, 108, 76, PHA BINDING PROTEIN PHAP (PHASIN)
6, 5ip0D, 0.3094, 3.22, 0.105, 108, 76, PHA BINDING PROTEIN PHAP (PHASIN)
7, 6b87A, 0.3042, 3.21, 0.105, 100, 76, CRYSTAL STRUCTURE OF TRANSMEMBRANE PROTEIN TMHC2_E
8, 6b87C, 0.3034, 3.44, 0.066, 100, 76, CRYSTAL STRUCTURE OF TRANSMEMBRANE PROTEIN TMHC2_E
9, 6b87D, 0.3033, 3.34, 0.130, 102, 77, CRYSTAL STRUCTURE OF TRANSMEMBRANE PROTEIN TMHC2_E
10, 5ip0L, 0.2824, 3.40, 0.085, 108, 71, PHA BINDING PROTEIN PHAP (PHASIN)
