No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d2w90B2, 1.0000, 0.00, 1.000, 294, 294, GEOBACILLUS STEAROTHERMOPHILUS 6-PHOSPHOGLUCONATE DEHYDROGENASE WITH BOUND 6-PHOSPHOGLUCONATE
2, d2w8zA2, 0.9976, 0.31, 1.000, 294, 294, GEOBACILLUS STEAROTHERMOPHILUS 6-PHOSPHOGLUCONATE DEHYDROGENASE WITH BOUND 6-PHOSPHOGLUCONATE
3, d2w90A2, 0.9974, 0.32, 1.000, 294, 294, GEOBACILLUS STEAROTHERMOPHILUS 6-PHOSPHOGLUCONATE DEHYDROGENASE WITH BOUND 6-PHOSPHOGLUCONATE
4, d2w8zB2, 0.9956, 0.20, 1.000, 293, 293, GEOBACILLUS STEAROTHERMOPHILUS 6-PHOSPHOGLUCONATE DEHYDROGENASE WITH BOUND 6-PHOSPHOGLUCONATE
5, d1pgoA1, 0.9819, 0.81, 0.594, 297, 293, CRYSTALLOGRAPHIC STUDY OF COENZYME COENZYME ANALOGUE AND SUBSTRATE BINDING IN 6-PHOSPHOGLUCONATE DEHYDROGENASE: IMPLICATIONS FOR NADP SPECIFICITY AND THE ENZYME MECHANISM
6, d2pgdA1, 0.9811, 0.84, 0.594, 297, 293, THE STRUCTURE OF 6-PHOSPHOGLUCONATE DEHYDROGENASE REFINED AT 2 ANGSTROMS RESOLUTION
7, d2iyoA2, 0.9811, 0.83, 0.662, 293, 293, STRUCTURAL CHARACTERIZATION OF A BACTERIAL 6PDH REVEALS ASPECTS OF SPECIFICITY MECHANISM AND MODE OF INHIBITION
8, d2iz1B2, 0.9809, 0.74, 0.664, 292, 292, 6PDH COMPLEXED WITH PEX INHIBITOR SYNCHROTRON DATA
9, d1pgqA1, 0.9806, 0.85, 0.594, 297, 293, CRYSTALLOGRAPHIC STUDY OF COENZYME COENZYME ANALOGUE AND SUBSTRATE BINDING IN 6-PHOSPHOGLUCONATE DEHYDROGENASE: IMPLICATIONS FOR NADP SPECIFICITY AND THE ENZYME MECHANISM
10, d1pgpA1, 0.9806, 0.85, 0.594, 297, 293, CRYSTALLOGRAPHIC STUDY OF COENZYME COENZYME ANALOGUE AND SUBSTRATE BINDING IN 6-PHOSPHOGLUCONATE DEHYDROGENASE: IMPLICATIONS FOR NADP SPECIFICITY AND THE ENZYME MECHANISM
