No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1sz0A, 1.0000, 0.00, 1.000, 417, 148, N-TERMINAL 3 DOMAINS OF CI-MPR BOUND TO MANNOSE 6-PHOSPHATE
2, 1sz0B, 0.9917, 0.43, 1.000, 416, 148, N-TERMINAL 3 DOMAINS OF CI-MPR BOUND TO MANNOSE 6-PHOSPHATE
3, 1q25A, 0.9908, 0.45, 0.993, 428, 148, CRYSTAL STRUCTURE OF N-TERMINAL 3 DOMAINS OF CI-MPR
4, 1syoA, 0.9872, 0.85, 0.993, 422, 148, N-TERMINAL 3 DOMAINS OF CI-MPR BOUND TO MANNOSE 6-PHOSPHATE
5, 1syoB, 0.9843, 0.95, 0.986, 408, 148, N-TERMINAL 3 DOMAINS OF CI-MPR BOUND TO MANNOSE 6-PHOSPHATE
6, 2kvbA, 0.8094, 2.62, 0.319, 148, 141, SOLUTION STRUCTURE OF CI-MPR DOMAIN 5 BOUND TO N-ACETYLGLUCOSAMINYL 6- PHOSPHOMETHYLMANNOSIDE
7, 2kvaA, 0.8013, 2.64, 0.321, 148, 140, SOLUTION STRUCTURE OF CI-MPR LIGAND-FREE DOMAIN 5
8, 2v5oA, 0.7806, 2.42, 0.299, 604, 134, STRUCTURE OF HUMAN IGF2R DOMAINS 11-14
9, 2v5pA, 0.7767, 2.46, 0.299, 466, 134, COMPLEX STRUCTURE OF HUMAN IGF2R DOMAINS 11-13 BOUND TO IGF-II
10, 2v5pB, 0.7747, 2.47, 0.299, 466, 134, COMPLEX STRUCTURE OF HUMAN IGF2R DOMAINS 11-13 BOUND TO IGF-II
11, 2l2gA, 0.7617, 2.56, 0.291, 147, 134, SOLUTION STRUCTURE OF OPOSSUM DOMAIN 11
12, 1c39B, 0.7426, 2.58, 0.250, 152, 128, STRUCTURE OF CATION-DEPENDENT MANNOSE 6-PHOSPHATE RECEPTOR BOUND TO PENTAMANNOSYL PHOSPHATE
13, 1c39A, 0.7423, 2.52, 0.252, 152, 127, STRUCTURE OF CATION-DEPENDENT MANNOSE 6-PHOSPHATE RECEPTOR BOUND TO PENTAMANNOSYL PHOSPHATE
14, 3k41B, 0.7401, 2.73, 0.244, 151, 131, CRYSTAL STRUCTURE OF SCD-MPR MUTANT E19Q/K137M BOUND TO MAN-6-P
15, 2v5nA, 0.7387, 2.50, 0.256, 267, 129, STRUCTURE OF HUMAN IGF2R DOMAINS 11-12
16, 3cy4A, 0.7381, 2.61, 0.250, 151, 128, CRYSTAL STRUCTURE CATION-DEPENDENT MANNOSE 6-PHOSPHATE RECEPTOR AT PH 7.4
17, 2rl7D, 0.7376, 2.52, 0.244, 152, 127, CRYSTAL STRUCTURE CATION-DEPENDENT MANNOSE 6-PHOSPHATE RECEPTOR AT PH 4.8
18, 3cy4B, 0.7363, 2.63, 0.250, 154, 128, CRYSTAL STRUCTURE CATION-DEPENDENT MANNOSE 6-PHOSPHATE RECEPTOR AT PH 7.4
19, 2rl9B, 0.7362, 2.62, 0.250, 151, 128, CRYSTAL STRUCTURE CATION-DEPENDENT MANNOSE 6-PHOSPHATE RECEPTOR AT PH 6.5 BOUND TO TRIMANNOSIDE
