No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 3ju4A, 1.0000, 0.00, 1.000, 670, 150, CRYSTAL STRUCTURE ANALYSIS OF ENDOSIALIDASENF AT 0.98 A RESOLUTION
2, 3gvlA, 0.9998, 0.06, 1.000, 670, 150, CRYSTAL STRUCTURE OF ENDO-NEURAMINIDASENF
3, 3gvjA, 0.9994, 0.11, 1.000, 670, 150, CRYSTAL STRUCTURE OF AN ENDO-NEURAMINIDASENF MUTANT
4, 1v0fE, 0.9991, 0.14, 1.000, 666, 150, ENDOSIALIDASE OF BACTERIOPHAGE K1F IN COMPLEX WITH OLIGOMERIC ALPHA-28-SIALIC ACID
5, 1v0fD, 0.9990, 0.14, 1.000, 666, 150, ENDOSIALIDASE OF BACTERIOPHAGE K1F IN COMPLEX WITH OLIGOMERIC ALPHA-28-SIALIC ACID
6, 1v0fF, 0.9989, 0.15, 1.000, 666, 150, ENDOSIALIDASE OF BACTERIOPHAGE K1F IN COMPLEX WITH OLIGOMERIC ALPHA-28-SIALIC ACID
7, 1v0fA, 0.9989, 0.15, 1.000, 666, 150, ENDOSIALIDASE OF BACTERIOPHAGE K1F IN COMPLEX WITH OLIGOMERIC ALPHA-28-SIALIC ACID
8, 1v0fC, 0.9988, 0.16, 1.000, 666, 150, ENDOSIALIDASE OF BACTERIOPHAGE K1F IN COMPLEX WITH OLIGOMERIC ALPHA-28-SIALIC ACID
9, 1v0fB, 0.9988, 0.15, 1.000, 666, 150, ENDOSIALIDASE OF BACTERIOPHAGE K1F IN COMPLEX WITH OLIGOMERIC ALPHA-28-SIALIC ACID
10, 1v0eA, 0.9985, 0.17, 1.000, 666, 150, ENDOSIALIDASE OF BACTERIOPHAGE K1F
11, 1v0eE, 0.9984, 0.18, 1.000, 666, 150, ENDOSIALIDASE OF BACTERIOPHAGE K1F
12, 1v0eD, 0.9984, 0.18, 1.000, 666, 150, ENDOSIALIDASE OF BACTERIOPHAGE K1F
13, 1v0eC, 0.9983, 0.19, 1.000, 666, 150, ENDOSIALIDASE OF BACTERIOPHAGE K1F
14, 1v0eB, 0.9982, 0.19, 1.000, 666, 150, ENDOSIALIDASE OF BACTERIOPHAGE K1F
15, 1v0eF, 0.9981, 0.20, 1.000, 666, 150, ENDOSIALIDASE OF BACTERIOPHAGE K1F
16, 3gvkA, 0.9942, 0.35, 1.000, 644, 150, CRYSTAL STRUCTURE OF ENDO-NEURAMINIDASE NF MUTANT
17, 3gvkC, 0.9934, 0.37, 1.000, 666, 150, CRYSTAL STRUCTURE OF ENDO-NEURAMINIDASE NF MUTANT
18, 3gvkB, 0.9919, 0.42, 1.000, 666, 150, CRYSTAL STRUCTURE OF ENDO-NEURAMINIDASE NF MUTANT
19, 4hizB, 0.9394, 1.49, 0.392, 652, 148, PHAGE PHI92 ENDOSIALIDASE
20, 4hizC, 0.9392, 1.49, 0.392, 655, 148, PHAGE PHI92 ENDOSIALIDASE
21, 4hizA, 0.9386, 1.50, 0.392, 658, 148, PHAGE PHI92 ENDOSIALIDASE
22, 3gw6B, 0.7028, 0.34, 1.000, 255, 106, INTRAMOLECULAR CHAPERONE
23, 3gw6C, 0.7021, 0.37, 1.000, 254, 106, INTRAMOLECULAR CHAPERONE
24, 3gw6E, 0.7019, 0.39, 1.000, 257, 106, INTRAMOLECULAR CHAPERONE
25, 3gw6D, 0.6966, 0.32, 1.000, 252, 105, INTRAMOLECULAR CHAPERONE
26, 3gw6F, 0.6959, 0.36, 1.000, 257, 105, INTRAMOLECULAR CHAPERONE
27, 3gw6A, 0.6957, 0.37, 1.000, 256, 105, INTRAMOLECULAR CHAPERONE
