No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1p7lA, 1.0000, 0.00, 1.000, 383, 152, S-ADENOSYLMETHIONINE SYNTHETASE COMPLEXED WITH AMPPNP AND MET.
2, 1rg9B, 0.9999, 0.05, 1.000, 383, 152, S-ADENOSYLMETHIONINE SYNTHETASE COMPLEXED WITH SAM AND PPNP
3, 1rg9A, 0.9999, 0.03, 1.000, 383, 152, S-ADENOSYLMETHIONINE SYNTHETASE COMPLEXED WITH SAM AND PPNP
4, 1p7lB, 0.9999, 0.04, 1.000, 383, 152, S-ADENOSYLMETHIONINE SYNTHETASE COMPLEXED WITH AMPPNP AND MET.
5, 1rg9D, 0.9998, 0.06, 1.000, 383, 152, S-ADENOSYLMETHIONINE SYNTHETASE COMPLEXED WITH SAM AND PPNP
6, 1rg9C, 0.9998, 0.06, 1.000, 383, 152, S-ADENOSYLMETHIONINE SYNTHETASE COMPLEXED WITH SAM AND PPNP
7, 1p7lD, 0.9998, 0.05, 1.000, 383, 152, S-ADENOSYLMETHIONINE SYNTHETASE COMPLEXED WITH AMPPNP AND MET.
8, 1p7lC, 0.9998, 0.05, 1.000, 383, 152, S-ADENOSYLMETHIONINE SYNTHETASE COMPLEXED WITH AMPPNP AND MET.
9, 1mxbA, 0.9775, 0.74, 1.000, 377, 152, S-ADENOSYLMETHIONINE SYNTHETASE WITH ADP
10, 1mxcA, 0.9772, 0.74, 1.000, 377, 152, S-ADENOSYLMETHIONINE SYNTHETASE WITH 8-BR-ADP
11, 1xraA, 0.9757, 0.77, 1.000, 377, 152, CRYSTAL STRUCTURE OF S-ADENOSYLMETHIONINE SYNTHETASE
12, 1xrcA, 0.9749, 0.80, 1.000, 377, 152, CRYSTAL STRUCTURE OF S-ADENOSYLMETHIONINE SYNTHETASE
13, 1mxaA, 0.9745, 0.81, 1.000, 377, 152, S-ADENOSYLMETHIONINE SYNTHETASE WITH PPI
14, 5t8sB, 0.9727, 0.70, 0.781, 376, 151, CRYSTAL STRUCTURE OF A S-ADENOSYLMETHIONINE SYNTHASE FROM NEISSERIA GONORRHOEAE WITH BOUND S-ADENOSYLMETHIONINE AMP PYROPHOSPHATE PHOSPHATE AND MAGNESIUM
15, 5t8sA, 0.9721, 0.71, 0.781, 388, 151, CRYSTAL STRUCTURE OF A S-ADENOSYLMETHIONINE SYNTHASE FROM NEISSERIA GONORRHOEAE WITH BOUND S-ADENOSYLMETHIONINE AMP PYROPHOSPHATE PHOSPHATE AND MAGNESIUM
16, 5t8tA, 0.9662, 0.82, 0.781, 379, 151, CRYSTAL STRUCTURE OF A S-ADENOSYLMETHIONINE SYNTHASE FROM NEISSERIA GONORRHOEAE WITH BOUND AMP AND MAGNESIUM
17, 3imlB, 0.9616, 0.77, 0.800, 357, 150, CRYSTAL STRUCTURE OF S-ADENOSYLMETHIONINE SYNTHETASE FROM BURKHOLDERIA PSEUDOMALLEI
18, 5h9uA, 0.9611, 0.78, 0.647, 394, 150, CRYSTAL STRUCTURE OF A THERMOSTABLE METHIONINE ADENOSYLTRANSFERASE
19, 5h9uB, 0.9608, 0.78, 0.647, 394, 150, CRYSTAL STRUCTURE OF A THERMOSTABLE METHIONINE ADENOSYLTRANSFERASE
20, 5h9uC, 0.9607, 0.78, 0.647, 394, 150, CRYSTAL STRUCTURE OF A THERMOSTABLE METHIONINE ADENOSYLTRANSFERASE
21, 3imlA, 0.9587, 0.94, 0.795, 368, 151, CRYSTAL STRUCTURE OF S-ADENOSYLMETHIONINE SYNTHETASE FROM BURKHOLDERIA PSEUDOMALLEI
22, 1fugB, 0.9583, 1.03, 1.000, 383, 152, S-ADENOSYLMETHIONINE SYNTHETASE
23, 5h9uD, 0.9581, 0.82, 0.647, 394, 150, CRYSTAL STRUCTURE OF A THERMOSTABLE METHIONINE ADENOSYLTRANSFERASE
24, 1fugA, 0.9547, 1.07, 1.000, 383, 152, S-ADENOSYLMETHIONINE SYNTHETASE
25, 1xrbA, 0.9519, 0.73, 1.000, 368, 148, S-ADENOSYLMETHIONINE SYNTHETASE (MAT ATP: L-METHIONINE S- ADENOSYLTRANSFERASE E.C.2.5.1.6) IN WHICH MET RESIDUES ARE REPLACED WITH SELENOMETHIONINE RESIDUES (MSE)
26, 4le5A, 0.9311, 1.20, 0.467, 388, 150, STRUCTURE OF AN UNUSUAL S-ADENOSYLMETHIONINE SYNTHETASE FROM CAMPYLOBACTER JEJUNI
27, 3so4C, 0.9286, 1.30, 0.577, 379, 149, METHIONINE-ADENOSYLTRANSFERASE FROM ENTAMOEBA HISTOLYTICA
28, 3so4A, 0.9276, 1.33, 0.577, 379, 149, METHIONINE-ADENOSYLTRANSFERASE FROM ENTAMOEBA HISTOLYTICA
29, 3so4D, 0.9267, 1.37, 0.577, 379, 149, METHIONINE-ADENOSYLTRANSFERASE FROM ENTAMOEBA HISTOLYTICA
30, 3so4B, 0.9259, 1.45, 0.567, 379, 150, METHIONINE-ADENOSYLTRANSFERASE FROM ENTAMOEBA HISTOLYTICA
31, 2obvA, 0.9210, 0.84, 0.632, 384, 144, CRYSTAL STRUCTURE OF THE HUMAN S-ADENOSYLMETHIONINE SYNTHETASE 1 IN COMPLEX WITH THE PRODUCT
32, 5t8tB, 0.9208, 1.39, 0.780, 375, 150, CRYSTAL STRUCTURE OF A S-ADENOSYLMETHIONINE SYNTHASE FROM NEISSERIA GONORRHOEAE WITH BOUND AMP AND MAGNESIUM
33, 5a1gA, 0.9179, 0.91, 0.618, 380, 144, THE STRUCTURE OF HUMAN MAT2A IN COMPLEX WITH S-ADENOSYLETHIONINE AND PPNP.
34, 5a1iA, 0.9165, 0.94, 0.618, 381, 144, THE STRUCTURE OF HUMAB MAT2A IN COMPLEX WITH SAME ADENOSINE METHIONINE AND PPNP.
35, 5a19A, 0.9165, 0.95, 0.618, 369, 144, THE STRUCTURE OF MAT2A IN COMPLEX WITH PPNP.
36, 4odjA, 0.9162, 0.78, 0.594, 386, 143, CRYSTAL STRUCTURE OF A PUTATIVE S-ADENOSYLMETHIONINE SYNTHETASE FROM CRYPTOSPORIDIUM HOMINIS IN COMPLEX WITH S-ADENOSYL-METHIONINE
37, 4ndnB, 0.9160, 0.92, 0.618, 383, 144, STRUCTURAL INSIGHTS OF MAT ENZYMES: MATA2B COMPLEXED WITH SAM AND PPNP
38, 2p02A, 0.9158, 0.95, 0.618, 380, 144, CRYSTAL STRUCTURE OF THE ALPHA SUBUNIT OF HUMAN S- ADENOSYLMETHIONINE SYNTHETASE 2
39, 4ndnD, 0.9157, 0.94, 0.618, 382, 144, STRUCTURAL INSIGHTS OF MAT ENZYMES: MATA2B COMPLEXED WITH SAM AND PPNP
40, 4ktvD, 0.9141, 0.95, 0.618, 381, 144, STRUCTURAL INSIGHTS OF MAT ENZYMES: MATA2B COMPLEXED WITH ADENOSINE AND PYROPHOSPHATE
41, 4kttD, 0.9138, 0.96, 0.618, 380, 144, STRUCTURAL INSIGHTS OF MAT ENZYMES: MATA2B COMPLEXED WITH SAM
42, 4ktvB, 0.9130, 0.96, 0.618, 381, 144, STRUCTURAL INSIGHTS OF MAT ENZYMES: MATA2B COMPLEXED WITH ADENOSINE AND PYROPHOSPHATE
43, 4kttB, 0.9119, 0.99, 0.618, 382, 144, STRUCTURAL INSIGHTS OF MAT ENZYMES: MATA2B COMPLEXED WITH SAM
44, 3s82B, 0.9095, 1.55, 0.678, 376, 149, STRUCTURE OF A S-ADENOSYLMETHIONINE SYNTHETASE FROM MYCOBACTERIUM AVIUM
45, 3s82A, 0.9083, 1.56, 0.678, 373, 149, STRUCTURE OF A S-ADENOSYLMETHIONINE SYNTHETASE FROM MYCOBACTERIUM AVIUM
46, 3rv2B, 0.9076, 1.52, 0.671, 373, 149, CRYSTAL STRUCTURE OF S-ADENOSYLMETHIONINE SYNTHETASE FROM MYCOBACTERIUM MARINUM
