No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d2j03U1, 1.0000, 0.00, 1.000, 117, 117,  
2, d2j01U1, 0.9999, 0.02, 1.000, 117, 117,  
3, d2v49U1, 0.9790, 0.60, 1.000, 117, 117,  
4, d2v47U1, 0.9790, 0.60, 1.000, 117, 117,  
5, d3d5bU1, 0.9786, 0.60, 1.000, 117, 117,  
6, d3d5dU1, 0.9785, 0.60, 1.000, 117, 117,  
7, d2qbcQ1, 0.9433, 1.06, 0.581, 117, 117,  
8, d2qbaQ1, 0.9433, 1.06, 0.581, 117, 117,  
9, d2qamQ1, 0.9433, 1.06, 0.581, 117, 117,  
10, d2qaoQ1, 0.9431, 1.06, 0.581, 117, 117,  
11, d2z4nQ1, 0.9427, 1.06, 0.581, 117, 117,  
12, d2z4lQ1, 0.9427, 1.06, 0.581, 117, 117,  
13, d2qbiQ1, 0.9427, 1.05, 0.581, 117, 117,  
14, d2qbkQ1, 0.9425, 1.06, 0.581, 117, 117,  
15, d2qozQ1, 0.9420, 1.06, 0.581, 117, 117,  
16, d2qp1Q1, 0.9418, 1.06, 0.581, 117, 117,  
17, d2qbeQ1, 0.9396, 1.09, 0.581, 117, 117,  
18, d2qbgQ1, 0.9395, 1.09, 0.581, 117, 117,  
19, d2qovQ1, 0.9393, 1.08, 0.581, 117, 117,  
20, d2qoxQ1, 0.9391, 1.08, 0.581, 117, 117,  
21, d3df2Q1, 0.9372, 1.12, 0.581, 117, 117,  
22, d3df4Q1, 0.9370, 1.12, 0.581, 117, 117,  
23, d2i2tQ1, 0.9350, 1.13, 0.581, 117, 117,  
24, d2i2vQ1, 0.9349, 1.13, 0.581, 117, 117,  
25, d3dllN1, 0.9204, 1.18, 0.586, 117, 116, THE OXAZOLIDINONE ANTIBIOTICS PERTURB THE RIBOSOMAL PEPTIDYL- TRANSFERASE CENTER AND EFFECT TRNA POSITIONING
26, d2zjrN1, 0.9170, 1.21, 0.586, 117, 116, REFINED NATIVE STRUCTURE OF THE LARGE RIBOSOMAL SUBUNIT (50S) FROM DEINOCOCCUS RADIODURANS
27, d3cf5N1, 0.9164, 1.22, 0.586, 117, 116, THIOPEPTIDE ANTIBIOTIC THIOSTREPTON BOUND TO THE LARGE RIBOSOMAL SUBUNIT OF DEINOCOCCUS RADIODURANS
28, d2zjpN1, 0.9159, 1.21, 0.586, 117, 116, THIOPEPTIDE ANTIBIOTIC NOSIHEPTIDE BOUND TO THE LARGE RIBOSOMAL SUBUNIT OF DEINOCOCCUS RADIODURANS
29, d2zjqN1, 0.9158, 1.23, 0.586, 117, 116, INTERACTION OF L7 WITH L11 INDUCED BY MICROCCOCIN BINDING TO THE DEINOCOCCUS RADIODURANS 50S SUBUNIT
30, d1pnyO_, 0.9132, 1.26, 0.603, 117, 116,  
31, d1pnuO_, 0.9132, 1.26, 0.603, 117, 116,  
32, d4v19U_, 0.9115, 1.16, 0.330, 140, 115, STRUCTURE OF THE LARGE SUBUNIT OF THE MAMMALIAN MITOCHONDRIAL RIBOSOME PART 1 OF 2
33, d1vspO1, 0.9084, 1.16, 0.330, 140, 115,  
34, d1nwyO_, 0.9064, 1.32, 1.000, 117, 117, COMPLEX OF THE LARGE RIBOSOMAL SUBUNIT FROM DEINOCOCCUS RADIODURANS WITH AZITHROMYCIN
35, d1nwxO_, 0.9064, 1.32, 0.603, 117, 116, COMPLEX OF THE LARGE RIBOSOMAL SUBUNIT FROM DEINOCOCCUS RADIODURANS WITH ABT-773
36, d1sm1O_, 0.9036, 1.32, 0.603, 117, 116, COMPLEX OF THE LARGE RIBOSOMAL SUBUNIT FROM DEINOCOCCUS RADIODURANS WITH QUINUPRISTIN AND DALFOPRISTIN
37, d1nkwO_, 0.9022, 1.34, 0.603, 117, 116, CRYSTAL STRUCTURE OF THE LARGE RIBOSOMAL SUBUNIT FROM DEINOCOCCUS RADIODURANS
38, d1vsaO1, 0.8994, 1.35, 0.603, 117, 116,  
39, d2hgjT1, 0.8986, 1.35, 0.603, 117, 116,  
40, d1xbpO1, 0.8983, 1.40, 1.000, 117, 117, INHIBITION OF PEPTIDE BOND FORMATION BY PLEUROMUTILINS: THE STRUCTURE OF THE 50S RIBOSOMAL SUBUNIT FROM DEINOCOCCUS RADIODURANS IN COMPLEX WITH TIAMULIN
41, d2hgqT1, 0.8948, 1.29, 0.948, 117, 115,  
42, d2vhmQ1, 0.8945, 1.36, 0.603, 117, 116,  
43, d2hguT1, 0.8933, 1.33, 0.948, 117, 115,  
44, d1yl311, 0.8908, 1.48, 0.569, 117, 116,  
45, d2vhnQ1, 0.8900, 1.50, 0.974, 117, 116,  
46, d2rdoQ1, 0.8876, 1.43, 0.603, 117, 116, 50S SUBUNIT WITH EF-G(GDPNP) AND RRF BOUND
47, d3bbxQ1, 0.8875, 1.47, 0.560, 117, 116, THE HSP15 PROTEIN FITTED INTO THE LOW RESOLUTION CRYO-EM MAP OF THE 50S.NC-TRNA.HSP15 COMPLEX
48, d2aw4Q1, 0.8875, 1.56, 0.569, 117, 116,  
49, d1vs6Q1, 0.8868, 1.56, 0.569, 117, 116,  
50, d2b66U1, 0.8853, 1.56, 0.569, 117, 116,  
51, d2b9nU1, 0.8828, 1.58, 0.569, 117, 116,  
52, d2b9pU1, 0.8821, 1.47, 0.603, 117, 116,  
53, d1vs8Q1, 0.8820, 1.49, 0.603, 117, 116,  
54, d2j28Q1, 0.8749, 1.49, 0.603, 117, 116, MODEL OF E. COLI SRP BOUND TO 70S RNCS
55, d2awbQ1, 0.8749, 1.58, 0.552, 117, 116,  
56, d1vp0R_, 0.7614, 1.63, 0.552, 117, 116,  
57, d1voyR_, 0.7614, 1.63, 0.552, 117, 116,  
58, d1vowR_, 0.7614, 2.39, 0.603, 117, 116,  
59, d1vouR_, 0.7614, 2.39, 0.603, 117, 116,  
60, d1vorR_, 0.7614, 2.39, 0.603, 117, 116,  
61, d2gyaO1, 0.7194, 2.39, 0.603, 117, 116,  
62, d2gycO1, 0.7150, 2.39, 0.603, 117, 116,  
63, p4v63PA1, 0.5832, 2.71, 0.591, 115, 115, 
64, p4v7cRA1, 0.5686, 2.71, 0.561, 115, 114, 
65, p5uyqP1, 0.5670, 0.65, 1.000, 70, 70, 
66, p4v5ySC1, 0.5669, 0.79, 0.551, 70, 69, 
67, p4v5yRA1, 0.5669, 0.82, 0.551, 70, 69, 
68, p5o60R1, 0.5665, 0.82, 0.609, 70, 69, STRUCTURE OF THE 50S LARGE RIBOSOMAL SUBUNIT FROM MYCOBACTERIUM SMEGMATIS
69, p4v55RA1, 0.5662, 0.82, 0.609, 70, 69, 
70, p4v55SC1, 0.5661, 0.95, 0.478, 77, 69, 
71, p4v54SC1, 0.5656, 0.95, 0.478, 77, 69, 
72, p4v54RA1, 0.5656, 0.83, 0.609, 70, 69, 
73, p4v53RC1, 0.5648, 0.83, 0.609, 70, 69, 
74, p5xymQ1, 0.5647, 0.85, 0.609, 70, 69, LARGE SUBUNIT OF MYCOBACTERIUM SMEGMATIS
75, p4v53RA1, 0.5646, 0.85, 0.609, 70, 69, 
76, p4v6mTA1, 0.5550, 0.86, 0.609, 70, 69, 
77, p4v5mZA_, 0.5483, 0.94, 0.478, 77, 69, 
78, p4v5hXA1, 0.5482, 0.86, 0.609, 70, 69, 
79, p4v79MA1, 0.5421, 1.24, 0.614, 70, 70, 
80, p4v63RC_, 0.5411, 0.70, 1.000, 66, 66, 
81, p4v51CD_, 0.5384, 1.16, 0.594, 70, 69, 
82, p5njtJA1, 0.5345, 1.29, 0.594, 70, 69, 
83, p4v7ySC_, 0.5299, 0.66, 1.000, 65, 65, 
84, p4v68CB_, 0.5299, 0.00, 1.000, 63, 63, 
85, p4v51YA_, 0.5299, 0.96, 0.455, 68, 66, 
86, p4v7xSC_, 0.5296, 0.51, 1.000, 63, 63, 
87, p4v7wSC_, 0.5289, 0.01, 1.000, 62, 62, 
88, p6c5lID_, 0.5286, 0.01, 1.000, 62, 62, Conformation of methylated GGQ in the Peptidyl Transferase Center during translation termination (T. thermophilus)  
89, p4v7zSC_, 0.5277, 0.52, 1.000, 63, 63, 
90, p4v7kUC_, 0.5277, 0.54, 1.000, 63, 63, 
91, p4v8nAB_, 0.5274, 0.55, 1.000, 63, 63, 
92, p4v5cED_, 0.5274, 0.57, 1.000, 63, 63, 
93, p4v7jUC_, 0.5272, 0.57, 1.000, 63, 63, 
94, p4v7jOA_, 0.5271, 0.58, 1.000, 63, 63, 
95, p4v9iQA_, 0.5266, 0.58, 1.000, 63, 63, 
96, p4v4aKA2, 0.5265, 0.59, 1.000, 63, 63, 
97, p4v49NA2, 0.5265, 0.59, 1.000, 63, 63, 
98, p4v83NC_, 0.5262, 0.62, 1.000, 63, 63, 
99, p4wt8UC_, 0.5255, 1.14, 0.591, 67, 66, 
100, p4v5jID_, 0.5253, 1.14, 0.591, 67, 66, 
101, p4v5fCB_, 0.5252, 0.62, 1.000, 63, 63, 
102, p4v97UC_, 0.5251, 0.65, 1.000, 63, 63, 
103, p4v5fMD_, 0.5251, 0.64, 1.000, 63, 63, 
104, p4v7pTB_, 0.5249, 0.65, 1.000, 63, 63, 
105, p4v52RA_, 0.5246, 0.64, 1.000, 63, 63, 
106, p4v52RC_, 0.5245, 0.65, 1.000, 63, 63, 
107, p4v84NC_, 0.5244, 0.65, 1.000, 63, 63, 
108, p4v56RA_, 0.5238, 0.84, 0.625, 65, 64, 
109, p4v56RC_, 0.5237, 0.85, 0.625, 65, 64, 
110, p4v5kGD_, 0.5235, 0.67, 1.000, 63, 63, 
111, p4v57RA_, 0.5233, 0.87, 0.625, 65, 64, 
112, p4v57RC_, 0.5232, 0.87, 0.625, 65, 64, 
113, p4v5aCD_, 0.5225, 0.72, 1.000, 63, 63, 
114, p4v67TC_, 0.5221, 0.88, 0.625, 65, 64, 
115, p5v7qQ_, 0.5220, 0.88, 0.625, 65, 64, CRYO-EM STRUCTURE OF THE LARGE RIBOSOMAL SUBUNIT FROM MYCOBACTERIUM TUBERCULOSIS BOUND WITH A POTENT LINEZOLID ANALOG
116, p4wt8KB_, 0.5217, 0.72, 1.000, 63, 63, 
117, p4v7yTA_, 0.5215, 0.75, 1.000, 63, 63, 
118, p4v9qRB_, 0.5213, 0.97, 0.469, 70, 64, 
119, p4v7xTA_, 0.5213, 0.81, 1.000, 63, 63, 
120, p4v7wTA_, 0.5207, 0.51, 1.000, 62, 62, 
121, p4v64LC_, 0.5203, 0.75, 1.000, 63, 63, 
