No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 3nfdF, 1.0000, 0.00, 1.000, 135, 135, CHRONOBACTERIUM AMMONIAGENES ACPS-COA COMPLEX
2, 3nfdA, 0.9918, 0.46, 1.000, 135, 135, CHRONOBACTERIUM AMMONIAGENES ACPS-COA COMPLEX
3, 3ne9A, 0.9871, 0.53, 1.000, 137, 135, CHRONOBACTERIUM AMMOINIAGENES APO-ACPS STRUCUTRE
4, 3ne9B, 0.9827, 0.85, 0.993, 137, 135, CHRONOBACTERIUM AMMOINIAGENES APO-ACPS STRUCUTRE
5, 3nfdB, 0.9823, 0.92, 1.000, 136, 135, CHRONOBACTERIUM AMMONIAGENES ACPS-COA COMPLEX
6, 3nfdC, 0.9772, 0.77, 1.000, 136, 135, CHRONOBACTERIUM AMMONIAGENES ACPS-COA COMPLEX
7, 3nfdD, 0.9758, 0.46, 1.000, 133, 133, CHRONOBACTERIUM AMMONIAGENES ACPS-COA COMPLEX
8, 3nfdE, 0.9742, 0.82, 1.000, 138, 135, CHRONOBACTERIUM AMMONIAGENES ACPS-COA COMPLEX
9, 3ne9C, 0.9520, 0.65, 1.000, 132, 131, CHRONOBACTERIUM AMMOINIAGENES APO-ACPS STRUCUTRE
10, 4hc6A, 0.7962, 2.18, 0.426, 129, 122, MYCOBACTERIUM TUBERCULOSIS RV2523CE77A X-RAY STRUCTURE SOLVED WITH 1.8 ANGSTROM RESOLUTION
11, 2qg8A, 0.7888, 2.28, 0.216, 137, 125, PLASMODIUM YOELII ACYL CARRIER PROTEIN SYNTHASE PY06285 WITH ADP BOUND
12, 2wdsA, 0.7863, 2.03, 0.292, 123, 120, CRYSTAL STRUCTURE OF THE STREPTOMYCES COELICOLOR H110A ACPS MUTANT IN COMPLEX WITH COFACTOR COA AT 1.3 A
13, 5vbxA, 0.7859, 2.15, 0.252, 125, 123, CRYSTAL STRUCTURE OF HOLO-[ACYL-CARRIER-PROTEIN] SYNTHASE (ACPS) FROM ESCHERICHIA COLI
14, 2wdyA, 0.7855, 2.04, 0.292, 123, 120, CRYSTAL STRUCTURE OF THE STREPTOMYCES COELICOLOR D111A ACPS MUTANT IN COMPLEX WITH COFACTOR COA AT 1.4 A
15, 2wdoA, 0.7845, 2.07, 0.292, 123, 120, CRYSTAL STRUCTURE OF THE S. COELICOLOR ACPS IN COMPLEX WITH ACETYL-COA AT 1.5 A
16, 2jbzA, 0.7829, 2.07, 0.292, 124, 120, CRYSTAL STRUCTURE OF THE STREPTOMYCES COELICOLOR HOLO- [ACYL-CARRIER-PROTEIN] SYNTHASE (ACPS) IN COMPLEX WITH COENZYME A AT 1.6 A
17, 3hqjA, 0.7818, 1.14, 0.482, 113, 112, STRUCTURE-FUNCTION ANALYSIS OF MYCOBACTERIUM TUBERCULOSIS ACYL CARRIER PROTEIN SYNTHASE (ACPS).
18, 5xuhC, 0.7808, 2.30, 0.260, 125, 123, CRYSTAL STRUCTURE OF ESCHERICHIA COLI HOLO-[ACYL-CARRIER-PROTEIN] SYNTHASE (ACPS) D9A MUTANT IN COMPLEX WITH COA 
19, 3ne1C, 0.7808, 2.47, 0.443, 129, 122, MYCOBACTERIUM TUBERCULOSIS ACYL CARRIER PROTEIN SYNTHASE IN COMPLEX WITH SULFATE ION
20, 2watA, 0.7773, 2.11, 0.264, 121, 121, STRUCTURE OF THE FUNGAL TYPE I FAS PPT DOMAIN IN COMPLEX WITH COA
21, 2jcaB, 0.7754, 2.18, 0.300, 123, 120, CRYSTAL STRUCTURE OF THE STREPTOMYCES COELICOLOR HOLO- [ACYL-CARRIER-PROTEIN] SYNTHASE (ACPS) AT 2 A.
22, 3hmjC, 0.7743, 2.18, 0.264, 1750, 121, SACCHAROMYCES CEREVISIAE FAS TYPE I
23, 3hmjB, 0.7742, 2.19, 0.264, 1750, 121, SACCHAROMYCES CEREVISIAE FAS TYPE I
24, 3hmjA, 0.7741, 2.19, 0.264, 1750, 121, SACCHAROMYCES CEREVISIAE FAS TYPE I
25, 5cmoB, 0.7739, 2.40, 0.252, 125, 123, CRYSTAL STRUCTURE OF HOLO-[ACYL-CARRIER-PROTEIN] SYNTHASE (ACPS) FROM NEISSERIA MENINGITIDIS
26, 5suvB, 0.7734, 2.42, 0.252, 126, 123, CRYSTAL STRUCTURE OF HOLO-[ACYL-CARRIER-PROTEIN] SYNTHASE (ACPS) FROM NEISSERIA MENINGITIDIS IN COMPLEX WITH COENZYME A
27, 5xuhA, 0.7723, 2.36, 0.252, 125, 123, CRYSTAL STRUCTURE OF ESCHERICHIA COLI HOLO-[ACYL-CARRIER-PROTEIN] SYNTHASE (ACPS) D9A MUTANT IN COMPLEX WITH COA 
28, 2watE, 0.7721, 2.14, 0.267, 120, 120, STRUCTURE OF THE FUNGAL TYPE I FAS PPT DOMAIN IN COMPLEX WITH COA
29, 2jcaC, 0.7719, 2.15, 0.292, 123, 120, CRYSTAL STRUCTURE OF THE STREPTOMYCES COELICOLOR HOLO- [ACYL-CARRIER-PROTEIN] SYNTHASE (ACPS) AT 2 A.
30, 2bddA, 0.7717, 2.17, 0.231, 127, 121, CRYSTAL STRUCTURE OF HOLO-ACP-SYNTHASE FROM PLASMODIUM YOELII
31, 3qmnU, 0.7699, 2.30, 0.270, 124, 122, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
32, 3ne1A, 0.7689, 2.56, 0.443, 129, 122, MYCOBACTERIUM TUBERCULOSIS ACYL CARRIER PROTEIN SYNTHASE IN COMPLEX WITH SULFATE ION
33, 5suvC, 0.7679, 2.45, 0.252, 125, 123, CRYSTAL STRUCTURE OF HOLO-[ACYL-CARRIER-PROTEIN] SYNTHASE (ACPS) FROM NEISSERIA MENINGITIDIS IN COMPLEX WITH COENZYME A
34, 3qmnP, 0.7675, 2.32, 0.270, 124, 122, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
35, 3qmnF, 0.7671, 2.32, 0.270, 124, 122, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
36, 3qmnK, 0.7670, 2.32, 0.262, 124, 122, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
37, 2watC, 0.7666, 2.14, 0.267, 120, 120, STRUCTURE OF THE FUNGAL TYPE I FAS PPT DOMAIN IN COMPLEX WITH COA
38, 2jcaA, 0.7666, 2.23, 0.283, 123, 120, CRYSTAL STRUCTURE OF THE STREPTOMYCES COELICOLOR HOLO- [ACYL-CARRIER-PROTEIN] SYNTHASE (ACPS) AT 2 A.
39, 2watD, 0.7664, 2.11, 0.269, 120, 119, STRUCTURE OF THE FUNGAL TYPE I FAS PPT DOMAIN IN COMPLEX WITH COA
40, 3qmnR, 0.7662, 2.33, 0.262, 124, 122, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
41, 3qmnG, 0.7661, 2.33, 0.270, 124, 122, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
42, 3qmnT, 0.7657, 2.32, 0.262, 124, 122, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
43, 3qmnA, 0.7655, 2.35, 0.270, 124, 122, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
44, 3qmnJ, 0.7651, 2.34, 0.270, 124, 122, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
45, 3qmnE, 0.7650, 2.39, 0.268, 125, 123, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
46, 3qmnO, 0.7646, 2.40, 0.260, 125, 123, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
47, 3qmnS, 0.7644, 2.37, 0.262, 123, 122, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
48, 3qmnN, 0.7642, 2.35, 0.262, 124, 122, CRYSTAL STRUCTURE OF 4 -PHOSPHOPANTETHEINYL TRANSFERASE ACPS FROM VIBRIO CHOLERAE O1 BIOVAR ELTOR
49, 5cmoC, 0.7641, 2.46, 0.260, 125, 123, CRYSTAL STRUCTURE OF HOLO-[ACYL-CARRIER-PROTEIN] SYNTHASE (ACPS) FROM NEISSERIA MENINGITIDIS
