No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, d4jcfA_, 1.0000, 0.00, 1.000, 258, 258, S268F VARIANT OF JC POLYOMAVIRUS MAJOR CAPSID PROTEIN VP1 IN COMPLEX WITH LSTC
2, d4jcfB_, 0.9991, 0.17, 1.000, 259, 258, S268F VARIANT OF JC POLYOMAVIRUS MAJOR CAPSID PROTEIN VP1 IN COMPLEX WITH LSTC
3, d4x0yE_, 0.9989, 0.19, 0.977, 259, 258, JC POLYOMAVIRUS VP1 FROM A GENOTYPE 3 STRAIN
4, d4jceA_, 0.9988, 0.20, 0.992, 259, 258, L54F VARIANT OF JC POLYOMAVIRUS MAJOR CAPSID PROTEIN VP1
5, d4x16A_, 0.9954, 0.16, 0.996, 258, 257, JC MAD-1 POLYOMAVIRUS VP1 IN COMPLEX WITH GD1A OLIGOSACCHARIDE
6, d4x12D_, 0.9953, 0.17, 0.977, 258, 257, JC POLYOMAVIRUS GENOTYPE 3 VP1 IN COMPLEX WITH GD1B OLIGOSACCHARIDE
7, d4x10A_, 0.9953, 0.16, 0.977, 258, 257, JC POLYOMAVIRUS GENOTYPE 3 VP1 IN COMPLEX WITH GM2 OLIGOSACCHARIDE
8, d4x0yD_, 0.9953, 0.17, 0.977, 257, 257, JC POLYOMAVIRUS VP1 FROM A GENOTYPE 3 STRAIN
9, d4jcdB_, 0.9953, 0.16, 0.996, 258, 257, S268Y VARIANT OF JC POLYOMAVIRUS MAJOR CAPSID PROTEIN VP1
10, d4x0zA_, 0.9952, 0.17, 0.977, 258, 257, JC POLYOMAVIRUS GENOTYPE 3 VP1 IN COMPLEX WITH GM1 OLIGOSACCHARIDE
11, d3nxgA_, 0.9952, 0.18, 0.996, 259, 257, JC POLYOMAVIRUS VP1
12, d3nxdA_, 0.9952, 0.18, 0.996, 259, 257, JC POLYOMAVIRUS VP1 IN COMPLEX WITH LSTC
13, d4x13E_, 0.9950, 0.20, 0.977, 258, 257, JC POLYOMAVIRUS GENOTYPE 3 VP1 IN COMPLEX WITH LSTC PENTASACCHARIDE
14, d4x13A_, 0.9950, 0.19, 0.977, 258, 257, JC POLYOMAVIRUS GENOTYPE 3 VP1 IN COMPLEX WITH LSTC PENTASACCHARIDE
15, d4x16B_, 0.9949, 0.21, 0.996, 258, 257, JC MAD-1 POLYOMAVIRUS VP1 IN COMPLEX WITH GD1A OLIGOSACCHARIDE
16, d3nxgB_, 0.9949, 0.20, 0.996, 258, 257, JC POLYOMAVIRUS VP1
