No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 6ic4B, 0.6169, 2.81, 0.190, 183, 105, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
2, 6ic4D, 0.6137, 3.13, 0.167, 183, 108, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
3, 6ic4A, 0.6021, 2.84, 0.171, 183, 105, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
4, 6ic4C, 0.5908, 3.11, 0.170, 183, 106, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
5, 5uw8D, 0.5706, 2.99, 0.204, 102, 98, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
6, 6ic4F, 0.5697, 3.45, 0.159, 183, 107, CRYO-EM STRUCTURE OF THE A. BAUMANNII MLA COMPLEX AT 8.7 A RESOLUTION 
7, 5uw8A, 0.5695, 2.95, 0.204, 105, 98, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
8, 5uw8G, 0.5679, 2.67, 0.208, 106, 96, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
9, 5uw8B, 0.5679, 2.60, 0.211, 98, 95, STRUCTURE OF E. COLI MCE PROTEIN MLAD CORE MCE DOMAIN
10, 5uvnF, 0.5667, 2.68, 0.208, 416, 96, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
11, 5uvnE, 0.5667, 2.68, 0.208, 416, 96, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
12, 5uvnD, 0.5667, 2.68, 0.208, 416, 96, STRUCTURE OF E. COLI MCE PROTEIN PQIB PERIPLASMIC DOMAIN
