No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 1d8iC, 1.0000, 0.00, 1.000, 288, 288, X-RAY CRYSTAL STRUCTURE OF YEAST RNA TRIPHOSPHATASE IN COMPLEX WITH A SULFATE ION.
2, 1d8iB, 0.9991, 0.18, 1.000, 288, 288, X-RAY CRYSTAL STRUCTURE OF YEAST RNA TRIPHOSPHATASE IN COMPLEX WITH A SULFATE ION.
3, 1d8iA, 0.9991, 0.18, 1.000, 288, 288, X-RAY CRYSTAL STRUCTURE OF YEAST RNA TRIPHOSPHATASE IN COMPLEX WITH A SULFATE ION.
4, 1d8hA, 0.9950, 0.44, 1.000, 288, 288, X-RAY CRYSTAL STRUCTURE OF YEAST RNA TRIPHOSPHATASE IN COMPLEX WITH SULFATE AND MANGANESE IONS.
5, 1d8hB, 0.9943, 0.47, 1.000, 288, 288, X-RAY CRYSTAL STRUCTURE OF YEAST RNA TRIPHOSPHATASE IN COMPLEX WITH SULFATE AND MANGANESE IONS.
6, 1d8hC, 0.9938, 0.50, 1.000, 288, 288, X-RAY CRYSTAL STRUCTURE OF YEAST RNA TRIPHOSPHATASE IN COMPLEX WITH SULFATE AND MANGANESE IONS.
7, 3kyhA, 0.8815, 0.95, 1.000, 276, 259, SACCHAROMYCES CEREVISIAE CET1-CEG1 CAPPING APPARATUS
8, 3kyhB, 0.8773, 1.10, 1.000, 276, 259, SACCHAROMYCES CEREVISIAE CET1-CEG1 CAPPING APPARATUS
9, 4pn1B, 0.7998, 1.95, 0.266, 261, 248, STRUCTURE OF S. POMBE PCT1 RNA TRIPHOSPHATASE IN COMPLEX WITH THE SPT5 CTD
10, 4pn0A, 0.7994, 2.07, 0.261, 261, 249, STRUCTURE OF S. POMBE PCT1 RNA TRIPHOSPHATASE
11, 4pn0B, 0.7981, 2.03, 0.266, 260, 248, STRUCTURE OF S. POMBE PCT1 RNA TRIPHOSPHATASE
12, 4pn1A, 0.7972, 1.84, 0.264, 259, 246, STRUCTURE OF S. POMBE PCT1 RNA TRIPHOSPHATASE IN COMPLEX WITH THE SPT5 CTD
13, 4pn1C, 0.7963, 1.86, 0.272, 256, 246, STRUCTURE OF S. POMBE PCT1 RNA TRIPHOSPHATASE IN COMPLEX WITH THE SPT5 CTD
14, 4pn1D, 0.7962, 1.98, 0.275, 255, 247, STRUCTURE OF S. POMBE PCT1 RNA TRIPHOSPHATASE IN COMPLEX WITH THE SPT5 CTD
15, 4pn0D, 0.7951, 2.12, 0.262, 257, 248, STRUCTURE OF S. POMBE PCT1 RNA TRIPHOSPHATASE
16, 4pn0C, 0.7933, 2.10, 0.263, 256, 247, STRUCTURE OF S. POMBE PCT1 RNA TRIPHOSPHATASE
17, 3bgyA, 0.5389, 3.33, 0.191, 226, 183, TRICLINIC STRUCTURE OF MIMIVIRUS CAPPING ENZYME TRIPHOSPHATASE AT 1.65 A
18, 2qy2A, 0.5364, 3.41, 0.191, 224, 183, CHARACTERIZATION OF A TRIFUNCTIONAL MIMIVIRUS MRNA CAPPING ENZYME AND CRYSTAL STRUCTURE OF THE RNA TRIPHOSPHATASE DOMAINM.
19, 3bgyB, 0.5293, 3.13, 0.191, 224, 178, TRICLINIC STRUCTURE OF MIMIVIRUS CAPPING ENZYME TRIPHOSPHATASE AT 1.65 A
20, 2qzeA, 0.5219, 3.23, 0.192, 220, 177, MONOCLINIC MIMIVIRUS CAPPING ENZYME TRIPHOSPHATASE.
21, 2qy2B, 0.5134, 3.44, 0.181, 217, 177, CHARACTERIZATION OF A TRIFUNCTIONAL MIMIVIRUS MRNA CAPPING ENZYME AND CRYSTAL STRUCTURE OF THE RNA TRIPHOSPHATASE DOMAINM.
22, 2qzeB, 0.5052, 3.51, 0.066, 222, 181, MONOCLINIC MIMIVIRUS CAPPING ENZYME TRIPHOSPHATASE.
