No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 2nt0D, 1.0000, 0.00, 1.000, 497, 143, ACID-BETA-GLUCOSIDASE LOW PH GLYCEROL BOUND
2, 1ogsB, 0.9988, 0.15, 1.000, 497, 143, HUMAN ACID-BETA-GLUCOSIDASE
3, 2nsxD, 0.9987, 0.16, 1.000, 497, 143, STRUCTURE OF ACID-BETA-GLUCOSIDASE WITH PHARMACOLOGICAL CHAPERONE PROVIDES INSIGHT INTO GAUCHER DISEASE
4, 3gxfD, 0.9980, 0.20, 1.000, 497, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE WITH ISOFAGOMINE AT NEUTRAL PH
5, 2nt0B, 0.9979, 0.22, 1.000, 497, 143, ACID-BETA-GLUCOSIDASE LOW PH GLYCEROL BOUND
6, 2nsxB, 0.9979, 0.21, 1.000, 497, 143, STRUCTURE OF ACID-BETA-GLUCOSIDASE WITH PHARMACOLOGICAL CHAPERONE PROVIDES INSIGHT INTO GAUCHER DISEASE
7, 3ke0B, 0.9978, 0.21, 0.993, 497, 143, CRYSTAL STRUCTURE OF N370S GLUCOCEREBROSIDASE AT ACIDIC PH.
8, 3gxmD, 0.9978, 0.21, 1.000, 497, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE AT PH 4.5 PHOSPHATE CRYSTALLIZATION CONDITION
9, 3gxiD, 0.9978, 0.21, 1.000, 497, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE AT PH 5.5
10, 3gxmB, 0.9977, 0.21, 1.000, 497, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE AT PH 4.5 PHOSPHATE CRYSTALLIZATION CONDITION
11, 3gxfB, 0.9976, 0.22, 1.000, 497, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE WITH ISOFAGOMINE AT NEUTRAL PH
12, 2nt1B, 0.9975, 0.22, 1.000, 497, 143, STRUCTURE OF ACID-BETA-GLUCOSIDASE AT NEUTRAL PH
13, 3gxiB, 0.9973, 0.23, 1.000, 497, 143, CRYSTAL STRUCTURE OF ACID-BETA-GLUCOSIDASE AT PH 5.5
14, 2nt1D, 0.9973, 0.23, 1.000, 497, 143, STRUCTURE OF ACID-BETA-GLUCOSIDASE AT NEUTRAL PH
15, 2f61B, 0.9972, 0.24, 1.000, 497, 143, CRYSTAL STRUCTURE OF PARTIALLY DEGLYCOSYLATED ACID BETA-GLUCOSIDASE
16, 3rikD, 0.9969, 0.25, 1.000, 497, 143, THE ACID BETA-GLUCOSIDASE ACTIVE SITE EXHIBITS PLASTICITY IN BINDING 3456-TETRAHYDROXYAZEPANE-BASED INHIBITORS: IMPLICATIONS FOR PHARMACOLOGICAL CHAPERONE DESIGN FOR GAUCHER DISEASE
17, 3kehB, 0.9967, 0.26, 0.993, 497, 143, CRYSTAL STRUCTURE OF N370S GLUCOCEREBROSIDASE MUTANT AT PH 7.4
18, 5lvxB, 0.9965, 0.27, 0.993, 497, 143, CRYSTAL STRUCTURE OF GLUCOCEREBROSIDASE WITH AN INHIBITORY QUINAZOLINE MODULATOR
19, 5lvxD, 0.9956, 0.30, 0.993, 497, 143, CRYSTAL STRUCTURE OF GLUCOCEREBROSIDASE WITH AN INHIBITORY QUINAZOLINE MODULATOR
20, 3rilB, 0.9951, 0.32, 1.000, 497, 143, THE ACID BETA-GLUCOSIDASE ACTIVE SITE EXHIBITS PLASTICITY IN BINDING 3456-TETRAHYDROXYAZEPANE-BASED INHIBITORS: IMPLICATIONS FOR PHARMACOLOGICAL CHAPERONE DESIGN FOR GAUCHER DISEASE
21, 1y7vB, 0.9947, 0.33, 1.000, 497, 143, X-RAY STRUCTURE OF HUMAN ACID-BETA-GLUCOSIDASE COVALENTLY BOUND TO CONDURITOL B EPOXIDE
22, 3rikB, 0.9945, 0.35, 1.000, 497, 143, THE ACID BETA-GLUCOSIDASE ACTIVE SITE EXHIBITS PLASTICITY IN BINDING 3456-TETRAHYDROXYAZEPANE-BASED INHIBITORS: IMPLICATIONS FOR PHARMACOLOGICAL CHAPERONE DESIGN FOR GAUCHER DISEASE
23, 5lvxA, 0.9940, 0.35, 0.993, 497, 143, CRYSTAL STRUCTURE OF GLUCOCEREBROSIDASE WITH AN INHIBITORY QUINAZOLINE MODULATOR
24, 3rilD, 0.9933, 0.38, 1.000, 497, 143, THE ACID BETA-GLUCOSIDASE ACTIVE SITE EXHIBITS PLASTICITY IN BINDING 3456-TETRAHYDROXYAZEPANE-BASED INHIBITORS: IMPLICATIONS FOR PHARMACOLOGICAL CHAPERONE DESIGN FOR GAUCHER DISEASE
25, 2j25B, 0.9928, 0.38, 1.000, 497, 143, PARTIALLY DEGLYCOSYLATED GLUCOCERAMIDASE
26, 3gxdB, 0.9926, 0.40, 1.000, 497, 143, CRYSTAL STRUCTURE OF APO ACID-BETA-GLUCOSIDASE PH 4.5
27, 3gxdD, 0.9915, 0.43, 1.000, 497, 143, CRYSTAL STRUCTURE OF APO ACID-BETA-GLUCOSIDASE PH 4.5
