No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
1, 3cfiB, 1.0000, 0.00, 1.000, 160, 160, NANOBODY-AIDED STRUCTURE DETERMINATION OF THE EPSI:EPSJ PSEUDOPILIN HETERDIMER FROM VIBRIO VULNIFICUS
2, 3cfiH, 0.9768, 0.33, 1.000, 157, 157, NANOBODY-AIDED STRUCTURE DETERMINATION OF THE EPSI:EPSJ PSEUDOPILIN HETERDIMER FROM VIBRIO VULNIFICUS
3, 3cfiE, 0.9666, 0.46, 0.987, 158, 156, NANOBODY-AIDED STRUCTURE DETERMINATION OF THE EPSI:EPSJ PSEUDOPILIN HETERDIMER FROM VIBRIO VULNIFICUS
4, 3cfiK, 0.9444, 0.65, 0.993, 153, 153, NANOBODY-AIDED STRUCTURE DETERMINATION OF THE EPSI:EPSJ PSEUDOPILIN HETERDIMER FROM VIBRIO VULNIFICUS
5, 2retB, 0.8782, 1.32, 0.973, 156, 148, THE CRYSTAL STRUCTURE OF A BINARY COMPLEX OF TWO PSEUDOPILINS: EPSI AND EPSJ FROM THE TYPE 2 SECRETION SYSTEM OF VIBRIO VULNIFICUS
6, 2retF, 0.8667, 1.32, 0.973, 153, 146, THE CRYSTAL STRUCTURE OF A BINARY COMPLEX OF TWO PSEUDOPILINS: EPSI AND EPSJ FROM THE TYPE 2 SECRETION SYSTEM OF VIBRIO VULNIFICUS
7, 2retH, 0.8629, 1.76, 0.993, 154, 148, THE CRYSTAL STRUCTURE OF A BINARY COMPLEX OF TWO PSEUDOPILINS: EPSI AND EPSJ FROM THE TYPE 2 SECRETION SYSTEM OF VIBRIO VULNIFICUS
8, 2retD, 0.8551, 1.32, 0.972, 152, 144, THE CRYSTAL STRUCTURE OF A BINARY COMPLEX OF TWO PSEUDOPILINS: EPSI AND EPSJ FROM THE TYPE 2 SECRETION SYSTEM OF VIBRIO VULNIFICUS
9, 5vtmW, 0.7945, 2.34, 0.279, 161, 147, THE CRYSTAL STRUCTURE OF MINOR PSEUDOPILIN TERNARY COMPLEX OF XCPVWX FROM THE TYPE 2 SECRETION SYSTEM OF PSEUDOMONAS AERUGINOSA 
10, 5bw0E, 0.7924, 2.47, 0.243, 163, 148, THE CRYSTAL STRUCTURE OF MINOR PSEUDOPILIN BINARY COMPLEX OF XCPV AND XCPW FROM THE TYPE 2 SECRETION SYSTEM OF PSEUDOMONAS AERUGINOSA
11, 3njeB, 0.7808, 2.76, 0.268, 164, 149, STRUCTURE OF THE MINOR PSEUDOPILIN XCPW FROM THE PSEUDOMONAS AERUGINOSA TYPE II SECRETION SYSTEM
12, 3njeA, 0.7786, 2.22, 0.254, 156, 142, STRUCTURE OF THE MINOR PSEUDOPILIN XCPW FROM THE PSEUDOMONAS AERUGINOSA TYPE II SECRETION SYSTEM
13, 5bw0A, 0.7745, 2.18, 0.250, 152, 140, THE CRYSTAL STRUCTURE OF MINOR PSEUDOPILIN BINARY COMPLEX OF XCPV AND XCPW FROM THE TYPE 2 SECRETION SYSTEM OF PSEUDOMONAS AERUGINOSA
14, 5bw0G, 0.7729, 2.36, 0.239, 159, 142, THE CRYSTAL STRUCTURE OF MINOR PSEUDOPILIN BINARY COMPLEX OF XCPV AND XCPW FROM THE TYPE 2 SECRETION SYSTEM OF PSEUDOMONAS AERUGINOSA
15, 5bw0C, 0.7692, 2.37, 0.241, 159, 141, THE CRYSTAL STRUCTURE OF MINOR PSEUDOPILIN BINARY COMPLEX OF XCPV AND XCPW FROM THE TYPE 2 SECRETION SYSTEM OF PSEUDOMONAS AERUGINOSA
16, 3ci0J, 0.7663, 2.58, 0.303, 146, 142, THE CRYSTAL STRUCTURE OF THE GSPK-GSPI-GSPJ COMPLEX FROM ENTEROTOXIGENIC ESCHERICHIA COLI TYPE 2 SECRETION SYSTEM
17, 5g23D, 0.6878, 3.24, 0.177, 194, 141, TYPE IV-LIKE PILIN TTHA1219 FROM THERMUS THERMOPHILUS
18, 5g24A, 0.6844, 3.26, 0.162, 200, 142, TYPE IV-LIKE PILIN TTHA1219 FROM THERMUS THERMOPHILUS
19, 5g23B, 0.6815, 3.30, 0.177, 194, 141, TYPE IV-LIKE PILIN TTHA1219 FROM THERMUS THERMOPHILUS
20, 5g24B, 0.6801, 3.14, 0.165, 194, 139, TYPE IV-LIKE PILIN TTHA1219 FROM THERMUS THERMOPHILUS
21, 5g23A, 0.6799, 2.85, 0.169, 191, 136, TYPE IV-LIKE PILIN TTHA1219 FROM THERMUS THERMOPHILUS
22, 5g23C, 0.6744, 3.01, 0.154, 191, 136, TYPE IV-LIKE PILIN TTHA1219 FROM THERMUS THERMOPHILUS
